"trp_id";"name";"road_reference";"road_category_and_number";"county_name";"municipality_name";"lat";"lon";"road_link_position";"msnr";"adt";"year";"index_18";"index_19";"index_20";"index"
"81009V805718";"Bjørndalstræ";"FV574 S2D1 m3561";"Fv574";"Vestland";"Bergen";60,359852;5,242661;"0.81699@805718";1204053;6780;2017;-1,1;-6,2;-11,22;-17,6
"86173V805748";"Torget";"FV577 S1D1 m1022";"Fv577";"Vestland";"Bergen";60,395323;5,325935;"0.86172@805748";1209097;12240;2017;-2,8;NA;-20,76;-23
"73916V805421";"Vågsbotn Fv578";"FV578 S3D1 m928";"Fv578";"Vestland";"Bergen";60,476641;5,34775;"0.73916@805421";1203002;5420;2017;-2,3;-12,7;-1,85;-16,3
"03038V2403072";"Skjold";"FV582 S1D1 m272";"Fv582";"Vestland";"Bergen";60,303045;5,33239;"0.03038@2403072";1200149;19010;2017;1,7;-7,5;-11,09;-16,4
"63829V805140";"Storetveitveien Bom";"FV582 S2D1 m3716";"Fv582";"Vestland";"Bergen";60,345379;5,347744;"0.63829@805140";1200092;6280;2017;-3,5;-3,1;1,28;-5,3
"27019V805142";"Michael Krohngt.bom";"FV584 S1D1 m2851";"Fv584";"Vestland";"Bergen";60,381649;5,317685;"0.27019@805142";1200091;8000;2017;0,7;-2,3;-17,35;-18,7
"57064V805714";"Gyldenpris-Pud.bro";"FV584 S1D1 m3009 KD2 m27";"Fv584";"Vestland";"Bergen";60,38196;5,316023;"0.57064@805714";1200030;500;2017;-4,5;-0,3;21,59;15,8
"40830V805015";"Laksevåg-Pud.bro";"FV584 S1D1 m3009 KD3 m80";"Fv584";"Vestland";"Bergen";60,382003;5,315859;"0.4083@805015";1200031;2460;2017;-2,9;-4,8;-54,76;-58,2
"16849V805748";"Natland Bomstasjon";"FV585 S1D1 m1689";"Fv585";"Vestland";"Bergen";60,346759;5,364217;"0.1699@805748";1203240;9060;2017;-3,4;-2,1;-3,14;-8,4
"26420V805748";"Mannsverk";"FV585 S1D1 m2624";"Fv585";"Vestland";"Bergen";60,354571;5,368386;"0.26423@805748";1200068;10820;2017;-4,3;-1,9;-4,75;-10,6
"71258V805748";"Kalfarbakken";"FV585 S1D1 m7054";"Fv585";"Vestland";"Bergen";60,387905;5,343274;"0.71258@805748";1201211;4530;2017;-0,4;-2,3;NA;-2,7
"20642V805115";"Heldal Farstavle";"FV587 S2D1 m3718";"Fv587";"Vestland";"Bergen";60,344695;5,40441;"0.20642@805115";1204427;9000;2018;2;NA;NA;2
"62279V805789";"Nordvik";"FV5158 S2D1 m242";"Fv5158";"Vestland";"Bjørnafjorden";60,225039;5,374856;"0.62279@805789";1203111;2170;2017;2,9;1,2;-10,81;-7,1
"67622V805008";"Loddefjord Nord";"FV5216 S1D1 m975";"Fv5216";"Vestland";"Bergen";60,37008;5,232315;"0.67622@805008";1200262;12920;2017;-3,9;-4,2;-3,61;-11,3
"14247V2353784";"Gamle Nygårdsbro";"FV5332 S1D1 m235";"Fv5332";"Vestland";"Bergen";60,381387;5,333237;"0.14247@2353784";1203134;5130;2017;-2,8;-4,8;-6,29;-13,3
"83347V805435";"Indre Arna Fv276";"FV5354 S2D1 m3735";"Fv5354";"Vestland";"Bergen";60,421439;5,46144;"0.83347@805435";1203252;8140;2017;0,5;2,7;-4,7;-1,6
"87138V755378";"Damsgårdsveien Bom";"KV4382 S1D1 m1203";"Kv4382";"Vestland";"Bergen";60,382816;5,31545;"0.87138@755378";1200093;660;2018;0,6;-16,3;74,1;46,6
