"felt";"year";"klasse";"month";"base_volume";"calc_volume";"indeks";"stasjon";"kode"
"BØCKM";2018;"Liten_bil";12;1862185;1845514;-0,895238657813269;"Bøckmans veg";67
"BØCKM";2018;"Stor_bil";12;35211;34033;-3,34554542614524;"Bøckmans veg";67
"BØCKM";2018;"Ukjent";12;13522;11834;-12,4833604496376;"Bøckmans veg";67
"BØCKM";2019;"Alle";12;1891381;1923334;1,68940049625115;"Bøckmans veg";67
"BØCKM";2019;"Liten_bil";12;1845514;1873301;1,50565100020916;"Bøckmans veg";67
"BØCKM";2019;"Stor_bil";12;34033;29190;-14,2303058795875;"Bøckmans veg";67
"BØCKM";2019;"Ukjent";12;11834;20843;76,1281054588474;"Bøckmans veg";67
"BØCKM";2020;"Alle";12;1923334;1790639;-6,89921771257618;"Bøckmans veg";67
"BØCKM";2020;"Liten_bil";12;1873301;1749858;-6,58959772081475;"Bøckmans veg";67
"BØCKM";2020;"Stor_bil";12;29190;28501;-2,36039739636862;"Bøckmans veg";67
"BØCKM";2020;"Ukjent";12;20843;12280;-41,0833373314782;"Bøckmans veg";67
"BØCKM";2021;"Alle";3;443614;436318;-1,64467307163435;"Bøckmans veg";67
"BØCKM";2021;"Liten_bil";3;434056;426748;-1,68365372210038;"Bøckmans veg";67
"BØCKM";2021;"Stor_bil";3;6118;6124;0,098071265119315;"Bøckmans veg";67
"BØCKM";2021;"Ukjent";3;3440;3446;0,174418604651172;"Bøckmans veg";67
"GAMLE";2017;"Alle";12;1421591;1435677;0,99086164726705;"Gamle Oslovei";69
"GAMLE";2017;"Liten_bil";12;1352746;1365688;0,956720626045104;"Gamle Oslovei";69
"GAMLE";2017;"Stor_bil";12;52708;54329;3,0754344691508;"Gamle Oslovei";69
"GAMLE";2017;"Ukjent";12;16137;15660;-2,95593976575572;"Gamle Oslovei";69
"GAMLE";2018;"Alle";12;1435677;1392707;-2,99301305237877;"Gamle Oslovei";69
"GAMLE";2018;"Liten_bil";12;1365688;1321124;-3,2631171980716;"Gamle Oslovei";69
"GAMLE";2018;"Stor_bil";12;54329;53221;-2,03942645732482;"Gamle Oslovei";69
"GAMLE";2018;"Ukjent";12;15660;18362;17,2541507024266;"Gamle Oslovei";69
"GAMLE";2019;"Alle";12;1392707;1351632;-2,9492922775573;"Gamle Oslovei";69
"GAMLE";2019;"Liten_bil";12;1321124;1278719;-3,20976683490725;"Gamle Oslovei";69
"GAMLE";2019;"Stor_bil";12;53221;55330;3,96272148212171;"Gamle Oslovei";69
"GAMLE";2019;"Ukjent";12;18362;17583;-4,24245724866572;"Gamle Oslovei";69
"GAMLE";2020;"Alle";12;1351632;1360999;0,693014074836928;"Gamle Oslovei";69
"GAMLE";2020;"Liten_bil";12;1278719;1292349;1,06591049323581;"Gamle Oslovei";69
"GAMLE";2020;"Stor_bil";12;55330;57653;4,19844568949936;"Gamle Oslovei";69
"GAMLE";2020;"Ukjent";12;17583;10997;-37,4566342489905;"Gamle Oslovei";69
"GAMLE";2021;"Alle";3;308512;342401;10,9846618608028;"Gamle Oslovei";69
"GAMLE";2021;"Liten_bil";3;290148;324245;11,7515888443139;"Gamle Oslovei";69
"GAMLE";2021;"Stor_bil";3;14414;14919;3,50353822672402;"Gamle Oslovei";69
"GAMLE";2021;"Ukjent";3;3950;3237;-18,0506329113924;"Gamle Oslovei";69
"H-VII";2017;"Alle";12;4335569;4312001;-0,543596469113972;"Haakon VII s gt";60
"H-VII";2017;"Liten_bil";12;4120841;4113787;-0,171178650183301;"Haakon VII s gt";60
"H-VII";2017;"Stor_bil";12;152362;130704;-14,2148304695397;"Haakon VII s gt";60
"H-VII";2017;"Ukjent";12;62366;67510;8,24808389186416;"Haakon VII s gt";60
"H-VII";2018;"Alle";12;4312001;4185775;-2,92731843058478;"Haakon VII s gt";60
"H-VII";2018;"Liten_bil";12;4113787;3988683;-3,04109084889422;"Haakon VII s gt";60
"H-VII";2018;"Stor_bil";12;130704;136292;4,27530909536051;"Haakon VII s gt";60
"H-VII";2018;"Ukjent";12;67510;60800;-9,93926825655459;"Haakon VII s gt";60
"H-VII";2019;"Alle";12;4185775;4272154;2,06363218280963;"Haakon VII s gt";60
"H-VII";2019;"Liten_bil";12;3988683;4038822;1,25703145624758;"Haakon VII s gt";60
"H-VII";2019;"Stor_bil";12;136292;130468;-4,2731781762686;"Haakon VII s gt";60
"H-VII";2019;"Ukjent";12;60800;102864;69,1842105263158;"Haakon VII s gt";60
"H-VII";2020;"Alle";12;4272154;4175050;-2,27295177093335;"Haakon VII s gt";60
"H-VII";2020;"Liten_bil";12;4038822;4007655;-0,771685407279643;"Haakon VII s gt";60
"H-VII";2020;"Stor_bil";12;130468;101316;-22,3441763497563;"Haakon VII s gt";60
"H-VII";2020;"Ukjent";12;102864;66079;-35,7608103904184;"Haakon VII s gt";60
"H-VII";2021;"Alle";3;965610;980694;1,56212135334142;"Haakon VII s gt";60
"H-VII";2021;"Liten_bil";3;921773;935685;1,50926529633653;"Haakon VII s gt";60
"H-VII";2021;"Stor_bil";3;24805;27190;9,61499697641603;"Haakon VII s gt";60
"H-VII";2021;"Ukjent";3;19032;17819;-6,37347625052543;"Haakon VII s gt";60
"KLETT";2017;"Alle";12;2254298;2434858;8,009588794383;"Klett - Rv.707";51
"KLETT";2017;"Liten_bil";12;2016242;2225917;10,3992973065733;"Klett - Rv.707";51
"KLETT";2017;"Stor_bil";12;111896;110870;-0,916922856938585;"Klett - Rv.707";51
"KLETT";2017;"Ukjent";12;126160;98071;-22,2645846544071;"Klett - Rv.707";51
"KLETT";2018;"Alle";12;2434858;2501091;2,72019969953072;"Klett - Rv.707";51
"KLETT";2018;"Liten_bil";12;2225917;2305439;3,57255009957693;"Klett - Rv.707";51
"KLETT";2018;"Stor_bil";12;110870;127798;15,2683322810499;"Klett - Rv.707";51
"KLETT";2018;"Ukjent";12;98071;67854;-30,8113509600188;"Klett - Rv.707";51
"KLETT";2019;"Alle";12;2501091;2169085;-13,2744470313155;"Klett - Rv.707";51
"KLETT";2019;"Liten_bil";12;2305439;2000268;-13,2370017163759;"Klett - Rv.707";51
"KLETT";2019;"Stor_bil";12;127798;138694;8,52595502277032;"Klett - Rv.707";51
"KLETT";2019;"Ukjent";12;67854;30123;-55,6061543903086;"Klett - Rv.707";51
"KLETT";2020;"Alle";12;2169085;2179734;0,490944338280896;"Klett - Rv.707";51
"KLETT";2020;"Liten_bil";12;2000268;2036303;1,80150859784789;"Klett - Rv.707";51
"KLETT";2020;"Stor_bil";12;138694;116984;-15,6531645204551;"Klett - Rv.707";51
"KLETT";2020;"Ukjent";12;30123;26447;-12,2032998041364;"Klett - Rv.707";51
"KLETT";2021;"Alle";3;463885;490741;5,7893658988758;"Klett - Rv.707";51
"KLETT";2021;"Liten_bil";3;431091;455023;5,55149608783296;"Klett - Rv.707";51
"KLETT";2021;"Stor_bil";3;26377;29361;11,3128862266368;"Klett - Rv.707";51
"KLETT";2021;"Ukjent";3;6417;6357;-0,935016362786345;"Klett - Rv.707";51
"KLETT-E6";2017;"Alle";12;8967037;8557301;-4,56935774883053;"Klett - E6";52
"KLETT-E6";2017;"Liten_bil";12;8006797;7614118;-4,90432066655367;"Klett - E6";52
"KLETT-E6";2017;"Stor_bil";12;837691;831826;-0,700138834009201;"Klett - E6";52
"KLETT-E6";2017;"Ukjent";12;122549;111357;-9,13267346122776;"Klett - E6";52
"KLETT-E6";2018;"Alle";12;8557301;8397158;-1,87141950481816;"Klett - E6";52
"KLETT-E6";2018;"Liten_bil";12;7614118;7416912;-2,59000451529645;"Klett - E6";52
"KLETT-E6";2018;"Stor_bil";12;831826;836949;0,615873992878324;"Klett - E6";52
"KLETT-E6";2018;"Ukjent";12;111357;143297;28,6825255709116;"Klett - E6";52
"KLETT-E6";2019;"Alle";12;8397158;9932531;18,2844362342593;"Klett - E6";52
"KLETT-E6";2019;"Liten_bil";12;7416912;8589536;15,8101376961194;"Klett - E6";52
"KLETT-E6";2019;"Stor_bil";12;836949;836849;-0,0119481593263138;"Klett - E6";52
"KLETT-E6";2019;"Ukjent";12;143297;506146;253,214652086226;"Klett - E6";52
"KLETT-E6";2020;"Alle";12;9932531;9802774;-1,30638404249632;"Klett - E6";52
"KLETT-E6";2020;"Liten_bil";12;8589536;8843230;2,95352391561081;"Klett - E6";52
"KLETT-E6";2020;"Stor_bil";12;836849;852675;1,89114165160023;"Klett - E6";52
"KLETT-E6";2020;"Ukjent";12;506146;106869;-78,8857365266148;"Klett - E6";52
"KLETT-E6";2021;"Alle";3;2246717;2131429;-5,13139839151972;"Klett - E6";52
"KLETT-E6";2021;"Liten_bil";3;1991474;1903066;-4,4393248418006;"Klett - E6";52
"KLETT-E6";2021;"Stor_bil";3;207999;195274;-6,1178178741244;"Klett - E6";52
"KLETT-E6";2021;"Ukjent";3;47244;33089;-29,9614765896198;"Klett - E6";52
"KROP-";2017;"Alle";12;5799398;5824221;0,428027184890567;"Kroppan bru";56
"KROP-";2017;"Liten_bil";12;5130378;5337524;4,03763621316011;"Kroppan bru";56
"KROP-";2017;"Stor_bil";12;407642;424197;4,0611615093636;"Kroppan bru";56
"KROP-";2017;"Ukjent";12;261378;62500;-76,0882706272142;"Kroppan bru";56
