"trp_id";"name";"road_reference";"road_category_and_number";"county_name";"municipality_name";"lat";"lon";"road_link_position";"msnr";"adt";"year";"index_18";"index_19";"base_volume";"calc_volume";"index_20";"index"
"94767V804742";"Christiesgt";"EV16 S1D1 m1846";"Ev16";"Vestland";"Bergen";60,391214;5,325416;"0.94767@804742";1200703;6010;2020;-1,8;NA;3061269;2411157;-19,14;NA
"87699V804741";"Blindheim";"EV16 S2D1 m1212";"Ev16";"Vestland";"Bergen";60,469488;5,370047;"0.87699@804741";1201411;15020;2018;0,2;-5,9;NA;NA;NA;NA
"86349V805605";"Indre Arna Ev16";"EV16 S3D1 m78";"Ev16";"Vestland";"Bergen";60,42121;5,460838;"0.86349@805605";1200024;12520;2020;0,6;-4,7;5338696;4955222;-7,91;-11,7
"56466V804740";"Trengereidtunnelen";"EV16 S4D1 m3215";"Ev16";"Vestland";"Bergen";60,429394;5,637662;"0.56462@804740";1201151;4500;2018;0,1;-4,2;NA;NA;NA;NA
"10990V804785";"Klauvaneset/Norh.br";"EV39 S74D1 m5079";"Ev39";"Vestland";"Bergen";60,518844;5,277124;"0.1013@804785";1200413;14900;2018;1,3;-2,5;NA;NA;NA;NA
"78017V804784";"Vågsbotn";"EV39 S76D1 m43";"Ev39";"Vestland";"Bergen";60,47701;5,347521;"0.78017@804784";1200070;27380;2020;0,4;-1,7;9161895;8544681;-7,09;-8,3
"78845V804838";"Amalie/Sandviken";"EV39 S77D1 m3165 KD1 m193";"Ev39";"Vestland";"Bergen";60,41396;5,3217;"0.78845@804838";1200021;5540;2020;-4,3;-5,5;2238368;2112177;-5,08;-14,2
"13093V804836";"Amalie/Fløyfjellet";"EV39 S77D1 m3165 KD2 m30";"Ev39";"Vestland";"Bergen";60,414043;5,321726;"0.13093@804836";1200020;2690;2020;-4;3,2;974816;977193;0,52;-0,4
"01316V804837";"Munkebotntunnelen";"EV39 S77D1 m3165 KD4 m10";"Ev39";"Vestland";"Bergen";60,414129;5,321848;"0.01316@804837";1200019;3630;2020;NA;NA;1603684;1427602;-11,82;NA
"82885V805617";"Fløyfjellstunnelen Sørgående";"EV39 S77D1 m6550";"Ev39";"Vestland";"Bergen";60,389045;5,339588;"0.82885@805617";1200026;20560;2020;-1,1;0,7;8363159;8038316;-4,39;-4,8
"67055V804829";"Danmplass-Vestre";"EV39 S77D1 m7122 KD3 m305";"Ev39";"Vestland";"Bergen";60,38307;5,336696;"0.67055@804829";1200049;5910;2020;-4,4;1,4;2408927;2342019;-2,6;-5,6
"22439V804830";"Danmarksplass-Sentr";"EV39 S77D1 m7122 KD6 m50";"Ev39";"Vestland";"Bergen";60,383785;5,335988;"0.22439@804830";1200037;6800;2017;-3,5;-3,8;2506234;2149282;-15,61;-21,7
"25132V805616";"Danmarksplass-Åsane";"EV39 S77D1 m7483";"Ev39";"Vestland";"Bergen";60,383487;5,335978;"0.25132@805616";1200036;8800;2017;-4,6;-0,7;3300631;3224790;-2,82;-7,9
"31998V805616";"Fløyfjellstunnelen Nordgående";"EV39 S77D1 m8154";"Ev39";"Vestland";"Bergen";60,388979;5,339909;"0.31998@805616";1200025;19800;2020;-1,7;0,1;8010110;7741939;-3,77;-5,3
"14630V805616";"Danmarks Plass Ved Ladestasjon";"EV39 S78D1 m996";"Ev39";"Vestland";"Bergen";60,374267;5,33995;"0.13864@805616";1200089;34850;2020;NA;NA;NA;NA;NA;NA
