"year_base";"year";"month";"index_p";"index_i";"standard_deviation";"variance";"n_points";"standard_error";"year_from_to";"area_name"
2018;2019;12;-1,68;0,9832;3,08724467376642;9,53107967569911;66;0,4;"2018-2019";"Bergensområdet"
2019;2020;12;-8;0,92;5,93808963266884;35,2609084856091;62;0,8;"2019-2020";"Bergensområdet"
2020;2021;12;5,56;1,0556;2,6510944466991;7,0283017653188;68;0,3;"2020-2021";"Bergensområdet"
2021;2022;8;4,77;1,0477;7,91681736819565;62,6759972413643;60;1;"2021-2022";"Bergensområdet"
2018;2020;12;-9,5456;0,904544;3,30598794307008;10,9295562797247;66;0,4;"2018-2020";"Bergensområdet"
2018;2021;12;-4,51633535999999;0,9548366464;3,81499079836306;14,5541547915948;68;0,5;"2018-2021";"Bergensområdet"
2018;2022;8;0,0382354433280163;1,00038235443328;5,1381341116127;26,400422148918;68;0,6;"2018-2022";"Bergensområdet"
