"trp_id";"name";"road_reference";"road_category_and_number";"county_name";"municipality_name";"lat";"lon";"road_link_position";"msnr";"year";"coverage";"length_quality";"aadt_total";"aadt_lette";"aadt_tunge";"index_17";"index_18";"index_19";"index_20";"index_21";"index_22";"index"
"98963V1719019";"Sandesund Sør";"EV6 S4D1 m17";"Ev 6";"Viken";"Fredrikstad";59,264037;11,0965;"0.98947@1719019";100001;2021;98,9;100;32620;28000;4600;2,7;2,2;0,6;-20,68;-24,46;37,87;-12,8
"71595V971806";"Hvitsten";"RV22 S2D1 m7580";"Rv 22";"Viken";"Fredrikstad";59,258374;11,059836;"0.71596@971806";100004;2021;99,73;100;9640;8220;1420;1,4;0,5;1,7;1,67;-2,02;5,83;9,3
"08132V1984223";"Værstebrua";"FV108 S1D1 m1071";"Fv 108";"Viken";"Fredrikstad";59,215639;10,926776;"0.08132@1984223";100011;2021;99,45;100;13240;12470;750;0,8;0,9;1,9;-6,17;10,21;15,86;24,2
"82913V971429";"Kråkerøy Bru";"FV108 S1D90 m97";"Fv 108";"Viken";"Fredrikstad";59,207855;10,93777;"0.85074@971429";100147;2021;84,38;100;10880;10320;560;0,8;0,7;1,4;-3,12;-0,84;10,4;9,2
"69356V971439";"Glemmen";"FV109 S1D1 m1954";"Fv 109";"Viken";"Fredrikstad";59,22961;10,958013;"0.69356@971439";100145;2021;100;100;23880;22180;1700;2,1;0,4;-1,3;-12,77;1,83;18,99;6,9
"29937V971442";"Stabburet";"FV109 S1D1 m3493";"Fv 109";"Viken";"Fredrikstad";59,241113;10,974841;"0.29937@971442";100012;2021;100;100;23410;21800;1620;2,4;-1,1;-0,3;-11,95;-0,08;11,3;-1,1
"26581V971445";"Rolvsøysund Bru";"FV109 S2D1 m4276";"Fv 109";"Viken";"Sarpsborg";59,268559;11,031226;"0.26581@971445";100163;2021;99,45;99;16040;14580;1370;1,1;0,1;-0,5;-7,29;-3,6;12,05;0,8
"47762V971800";"Fylkeshuset";"FV109 S2D1 m9005";"Fv 109";"Viken";"Sarpsborg";59,272582;11,105611;"0.4747@971800";100235;2021;100;100;6630;6090;540;1,1;2,2;1,5;-6,48;-3,83;18,08;11,4
"28001V971448";"Torsbekkdalen";"FV109 S2D30 m245";"Fv 109";"Viken";"Sarpsborg";59,277155;11,095297;"0.26699@971448";100267;2021;70,96;100;7610;7150;440;0,2;-0,9;0,9;-8,91;-2,48;17,75;4,8
"16035V971817";"Sarpsfossen Bru";"FV118 S5D1 m709";"Fv 118";"Viken";"Sarpsborg";59,279788;11,126583;"0.16035@971817";100183;2021;100;100;20660;18910;1680;-2,5;-0,9;-0,1;-4,44;-3,51;14,53;1,9
"82998V971817";"Tune Kirke";"FV118 S5D1 m3667";"Fv 118";"Viken";"Sarpsborg";59,292542;11,08388;"0.82998@971817";100010;2021;100;100;14600;13450;1150;-0,9;-0,3;3,3;-6,13;-1,36;12;5,8
"98723V971842";"Veumveien";"FV381 S1D1 m680";"Fv 381";"Viken";"Fredrikstad";59,224745;10,929511;"0.98723@971842";101002;2021;100;100;6630;6310;300;2,6;-2,9;2,7;-18,82;4,77;7,06;-6,8
