"index";"dekning";"standardavvik";"konfidensintervall";"year";"index_i";"variance";"n_points";"ki_start";"ki_slutt"
-1,815;98;3,989;1,725;"2017-2018";0,98185;15,912121;23;-3,54;-0,0899999999999999
-4,399;98;8,537;3,886;"2018-2019";0,95601;72,880369;21;-8,285;-0,513
-6,13415815;98;5,21740847160876;7,2309592245696;"2017-2019";0,9386584185;27,2213511596148;23;-13,3651173745696;1,0968010745696
