"area_name";"year";"month";"period";"month_object";"month_name";"index_p";"standard_deviation";"confidence_width";"base_volume";"calc_volume";"n_points";"standard_error"
"Nord-Jæren";2018;1;"month";2018-01-01;"Januar";-0,2;4,08535543631205;2,03159946273218;9578888;9559459;18;1
"Nord-Jæren";2018;2;"month";2018-02-01;"Februar";-1,18;4,33253912878483;2,2275860703468;8577261;8476397;17;1,1
"Nord-Jæren";2018;3;"month";2018-03-01;"Mars";-6,14;4,84720225774552;2,58289176237702;8482200;7961356;16;1,2
"Nord-Jæren";2018;4;"month";2018-04-01;"April";10,57;4,33069044205611;2,30766204367015;7673385;8484152;20;1
"Nord-Jæren";2018;5;"month";2018-05-01;"Mai";-0,93;3,16906751123733;1,57594019750794;9770012;9679548;18;0,7
"Nord-Jæren";2018;6;"month";2018-06-01;"Juni";-0,66;2,83218424914166;1,40841209256174;9867173;9801714;18;0,7
"Nord-Jæren";2018;7;"month";2018-07-01;"Juli";-0,89;2,55480931821921;1,23137867493207;8194638;8121587;19;0,6
"Nord-Jæren";2018;8;"month";2018-08-01;"August";-1,24;2,4821038672847;1,16166036811984;10058579;9933543;20;0,6
"Nord-Jæren";2018;9;"month";2018-09-01;"September";-3,18;2,99441844111196;1,36304293257039;10615456;10278036;21;0,7
"Nord-Jæren";2018;10;"month";2018-10-01;"Oktober";-5,87;9,24188891050681;4,09762398769715;11147191;10492647;22;2
"Nord-Jæren";2018;11;"month";2018-11-01;"November";-6,17;10,3231223913924;4,83136999840772;8838031;8292914;20;2,3
"Nord-Jæren";2018;12;"month";2018-12-01;"Desember";-5,37;8,88906011430847;4,04625165262548;10263362;9711851;21;1,9
"Nord-Jæren ";2019;1;"month";2019-01-01;"Januar";-4,88;8,1119556719269;3,69251795144512;10435828;9926981;21;1,8
"Nord-Jæren ";2019;2;"month";2019-02-01;"Februar";-3,95;9,04799941926906;4,36099612453729;8714500;8370036;19;2,1
"Nord-Jæren ";2019;3;"month";2019-03-01;"Mars";0,96;8,5044669083164;4,37259340482965;7769536;7843991;17;2,1
"Nord-Jæren ";2019;4;"month";2019-04-01;"April";-11,38;9,70406798137141;4,98937136363828;8213630;7278771;17;2,4
"Nord-Jæren ";2019;5;"month";2019-05-01;"Mai";-3,7;10,4002468815897;4,86746537090785;10681960;10287202;20;2,3
"Nord-Jæren ";2019;6;"month";2019-06-01;"Juni";-6,67;6,76992374761484;3,60743772383202;8606197;8031767;16;1,7
"Nord-Jæren ";2019;7;"month";2019-07-01;"Juli";-2,41;8,26774294184152;4,57852343159508;6678214;6517520;15;2,1
"Nord-Jæren ";2019;8;"month";2019-08-01;"August";-4,39;9,35171787317094;4,50738373344847;9789317;9359298;19;2,1
"Nord-Jæren ";2019;9;"month";2019-09-01;"September";-1,55;9,2332358513796;4,32128739631856;10119848;9963416;20;2,1
"Nord-Jæren ";2019;10;"month";2019-10-01;"Oktober";3,5;2,63534456923639;1,23337922428313;9671450;10009612;20;0,6
"Nord-Jæren ";2019;11;"month";2019-11-01;"November";1,64;2,26981561217794;1,06230640641613;8200737;8335037;20;0,5
"Nord-Jæren ";2019;12;"month";2019-12-01;"Desember";1,35;1,97265525297712;0,897941905530694;9613654;9743093;21;0,4
"Nord-Jæren";2020;1;"month";2020-01-01;"Januar";1,63;4,4507986296838;2,37166317915442;5718797;5811803;16;1,1
"Nord-Jæren";2020;2;"month";2020-02-01;"Februar";1,87;4,90330390669595;2,52104624022091;6516670;6638261;17;1,2
"Nord-Jæren";2020;3;"month";2020-03-01;"Mars";-21,31;3,4874907845953;1,79310230359218;7709780;6067011;17;0,8
"Nord-Jæren";2020;4;"month";2020-04-01;"April";-19,43;5,20406762356274;2,7730518928263;6938681;5590403;16;1,3
"Nord-Jæren";2020;5;"month";2020-05-01;"Mai";-12,25;6,23960896159145;3,32485292141372;7557182;6631290;16;1,6
"Nord-Jæren";2020;6;"month";2020-06-01;"Juni";3,62;7,09261948757317;3,92776175356132;5711506;5918429;15;1,8
"Nord-Jæren";2020;7;"month";2020-07-01;"Juli";7,61;9,86822041381986;5,69774083336479;3889269;4185258;14;2,6
"Nord-Jæren";2020;8;"month";2020-08-01;"August";-0,66;5,28733088488328;2,81741975295217;6511054;6467871;16;1,3
"Nord-Jæren";2020;9;"month";2020-09-01;"September";1,79;5,31916189930812;2,94565367643198;6720148;6840466;15;1,4
"Nord-Jæren";2020;10;"month";2020-10-01;"Oktober";-0,48;5,45570636594815;3,02126948166005;7304781;7269785;15;1,4
"Nord-Jæren";2020;11;"month";2020-11-01;"November";-8,86;5,18872187616449;2,76487472124673;5793576;5280295;16;1,3
"Nord-Jæren";2020;12;"month";2020-12-01;"Desember";-2,16;4,17155389905871;2,22286416560671;7044859;6892453;16;1
"Nord-Jæren";2021;1;"month";2021-01-01;"Januar";-18,47;6,7823797195669;3,48717787376277;6863441;5595835;17;1,6
"Nord-Jæren";2021;2;"month";2021-02-01;"Februar";-7,64;7,36543282788117;3,92476211345962;5356896;4947816;16;1,8
"Nord-Jæren";2021;3;"month";2021-03-01;"Mars";18,31;7,7842616404321;4,00229802495171;6049005;7156582;17;1,9
"Nord-Jæren";2021;4;"month";2021-04-01;"April";14,38;7,15413996812583;3,67831935606274;5802035;6636182;17;1,7
"Nord-Jæren";2021;5;"month";2021-05-01;"Mai";5,58;4,25463653856895;2,05066916963981;7778193;8212212;19;1
"Nord-Jæren";2021;6;"month";2021-06-01;"Juni";3,28;5,06856156684426;2,44296847576192;8528043;8807746;19;1,2
"Nord-Jæren";2021;7;"month";2021-07-01;"Juli";-1,41;8,17620509668056;4,06593113880913;7278411;7175726;18;1,9
"Nord-Jæren";2021;8;"month";2021-08-01;"August";3,84;7,91520729870351;4,06962406994915;7179353;7455182;17;1,9
"Nord-Jæren";2021;9;"month";2021-09-01;"September";4,62;8,10607007592908;4,31941984490371;5950488;6225445;16;2
"Nord-Jæren";2021;10;"month";2021-10-01;"Oktober";2,52;7,76308484285684;4,13665591511232;6569380;6734978;16;1,9
"Nord-Jæren";2021;11;"month";2021-11-01;"November";14,58;10,8058645545924;5,55586288879417;6139437;7034533;17;2,6
"Nord-Jæren";2021;12;"month";2021-12-01;"Desember";2,98;6,44103662678959;3,2030521589663;6627306;6824988;18;1,5
"Nord-Jæren";2022;1;"month";2022-01-01;"Januar";10,45;8,31287014944933;3,68572014453344;7091849;7833112;22;1,8
"Nord-Jæren";2022;2;"month";2022-02-01;"Februar";2,28;5,80091937491564;2,57198356434777;8202896;8389545;22;1,2
"Nord-Jæren";2022;3;"month";2022-03-01;"Mars";9,53;7,21740363934673;3,20001750376569;8838170;9680254;22;1,5
"Nord-Jæren";2022;4;"month";2022-04-01;"April";9,82;8,61743638962801;3,82075725044153;8474430;9306815;22;1,8
"Nord-Jæren";2022;5;"month";2022-05-01;"Mai";11,97;8,06471300630576;3,57569343112992;9232337;10337177;22;1,7
"Nord-Jæren";2022;6;"month";2022-06-01;"Juni";0,03;6,73603722818013;2,9865915935034;9985973;9988732;22;1,4
"Nord-Jæren";2022;7;"month";2022-07-01;"Juli";-6,21;4,8996440814834;2,29310401646433;7885517;7396181;20;1,1
"Nord-Jæren";2022;8;"month";2022-08-01;"August";0,86;5,98386026256398;2,80053280888363;8818063;8893575;20;1,3
