"year_base";"year";"month";"index_p";"index_i";"standard_deviation";"variance";"n_points";"standard_error";"year_from_to";"area_name"
2016;2017;12;0,1;1,001;1,79017340984735;3,2047208373245;23;0,4;"2016-2017";"Kristiansand kommune"
2017;2018;12;0,33;1,0033;1,81960276580233;3,3109542253155;22;0,4;"2017-2018";"Kristiansand kommune"
2018;2019;12;1,68;1,0168;1,82794330476003;3,34137672541703;17;0,4;"2018-2019";"Kristiansand kommune"
2019;2020;12;-2,2;0,978;2,79897005886391;7,83423339041666;13;0,8;"2019-2020";"Kristiansand kommune"
2020;2021;12;3,25;1,0325;4,04934067934476;16,3971599373963;16;1;"2020-2021";"Kristiansand kommune"
2021;2022;8;3,01;1,0301;5,56926981343499;31,0167662548382;20;1,2;"2021-2022";"Kristiansand kommune"
2016;2018;12;0,43032999999999;1,0043033;0,194031870834579;0,0376483668995667;23;0;"2016-2018";"Kristiansand kommune"
2016;2019;12;2,11755954399999;1,02117559544;0,20332207584231;0,0413398665248261;23;0;"2016-2019";"Kristiansand kommune"
2016;2020;12;-0,12902676596801;0,99870973234032;1,64682288175811;2,71202560388208;23;0,3;"2016-2020";"Kristiansand kommune"
2016;2021;12;3,11677986413803;1,03116779864138;1,17616772160833;1,38337050935334;23;0,2;"2016-2021";"Kristiansand kommune"
2016;2022;8;6,22059493804858;1,06220594938049;3,96276996817799;15,7035458206934;23;0,8;"2016-2022";"Kristiansand kommune"
