"trp_id";"name";"road_reference";"road_category_and_number";"county_name";"municipality_name";"lat";"lon";"road_link_position";"msnr";"year";"coverage";"length_quality";"aadt_total";"aadt_lette";"aadt_tunge";"index_19";"index_20";"index_21";"index_22";"index"
"74943V443384";"Gjelleråsen";"RV4 S2D1 m733";"Rv 4";"Viken";"Nittedal";59,986366;10,928465;"0.74444@443384";200160;2021;86,3;100;18890;16600;2280;-3,1;0;NA;11,84;NA
"42754V444240";"Slattum";"RV4 S3D1 m4065";"Rv 4";"Viken";"Nittedal";60,020181;10,908223;"0.42266@444240";NA;2021;81,64;100;3520;3200;310;NA;NA;NA;31,38;NA
"70816V443409";"Statoil";"RV22 S13D1 m2042";"Rv 22";"Viken";"Lillestrøm";59,927852;11,150206;"0.70816@443409";202188;2021;100;100;17900;16080;1770;1,7;-6,45;-4,88;11,06;0,5
"24927V443403";"Skedsmo Stranden";"RV22 S15D1 m1933";"Rv 22";"Viken";"Lillestrøm";59,977872;11,019726;"0.26937@443403";202077;2021;99,73;99;11630;10460;1100;2,1;NA;-0,57;8,21;NA
"31290V625405";"Hovedkjørefelt Rv150 Grefsen";"RV150 S1D1 m4269";"Rv 150";"Oslo";"Oslo";59,941347;10,78136;"0.3129@625405";300016;2021;98,62;100;51330;46400;4900;NA;-0,37;1,38;4,56;NA
"82177V625405";"Gaustad 1,2,3,4,5";"RV150 S2D1 m1524";"Rv 150";"Oslo";"Oslo";59,946013;10,713019;"0.82177@625405";300093;2021;100;100;46940;42540;4360;NA;1,69;2,98;4,06;NA
"87161V2659404";"Granfosstunnelen Mot Lysaker";"RV150 S3D1 m551";"Rv 150";"Viken";"Bærum";59,913867;10,62897;"0.87161@2659404";NA;2021;100;99;15300;13640;1570;NA;2,59;0,5;3,59;NA
"13658V2659403";"Granfosstunnelen Mot Oslo";"RV150 S3D1 m1781";"Rv 150";"Viken";"Bærum";59,913962;10,629457;"0.13658@2659403";NA;2021;100;100;14700;13350;1350;NA;2,29;-2,16;5,09;NA
"16477V625646";"Karihaugen Rampe Mot Skårer";"RV159 S1D1 m289";"Rv 159";"Oslo";"Oslo";59,939205;10,926731;"0.16477@625646";NA;2021;98,36;100;23480;20950;2500;NA;-5,43;-6,38;15,21;NA
"68539V625646";"Karihaugen Rampe Mot Furuset";"RV159 S1D1 m1206";"Rv 159";"Oslo";"Oslo";59,939972;10,925961;"0.68539@625646";NA;2021;79,72;100;23390;20750;2630;NA;NA;-6,28;NA;NA
"88563V444277";"Rælingstunnellen";"RV159 S3D1 m4010";"Rv 159";"Viken";"Rælingen";59,944816;11,032251;"0.88563@444277";200229;2021;100;100;29520;26710;2700;0,2;0;NA;16,69;NA
"28516V444278";"Rv159 Varemessa";"RV159 S3D1 m5647";"Rv 159";"Viken";"Lillestrøm";59,948201;11,057354;"0.28516@444278";202200;2021;99,71;98;18500;15850;2330;NA;NA;-4,91;18,95;NA
