"trp_id";"name";"road_reference";"road_category_and_number";"county_name";"municipality_name";"lat";"lon";"road_link_position";"msnr";"year";"coverage";"length_quality";"aadt_total";"aadt_lette";"aadt_tunge";"adt_lette";"index_17";"index_18";"index_19";"index_20";"index_21";"index"
"47077V121488";"Lundsbrua Bil";"FV471 S1D1 m2556";"Fv 471";"Agder";"Kristiansand";58,150597;8,006553;"0.47077@121488";1000057;2021;98,36;100;9320;7970;1320;NA;-0,8;4,8;NA;NA;0,2;NA
"95764V121488";"Jernbanen";"FV471 S1D1 m4136";"Fv 471";"Agder";"Kristiansand";58,146393;7,988021;"0.9575@121488";1000062;2020;98,09;59;16110;8360;1070;NA;0,6;1,8;NA;NA;NA;NA
"13278V121819";"Aukland Vegstasjon";"FV478 S1D1 m1263";"Fv 478";"Agder";"Kristiansand";58,204951;7,90418;"0.13278@121819";1000016;2021;100;100;1400;1290;110;NA;2,1;1,6;7,2;-2,37;0,93;9,6
"16947V121800";"Sødal";"FV482 S1D1 m1718";"Fv 482";"Agder";"Kristiansand";58,164388;7,990764;"0.11414@121800";1000730;2021;97,67;100;6800;6320;480;NA;-2;0,9;3,5;-6,05;9,13;4,9
"47254V121508";"Festningsgata";"FV484 S1D1 m599";"Fv 484";"Agder";"Kristiansand";58,148466;7,994621;"0.47254@121508";1000270;2021;99,72;98;10660;8080;2320;NA;NA;NA;NA;NA;-4,69;NA
"05898V121506";"Østre Ringveg Sør";"FV490 S1D1 m64";"Fv 490";"Agder";"Kristiansand";58,150814;8,023829;"0.05898@121506";1000293;2020;62,29;63;5710;3300;280;NA;6,7;12,9;NA;0;NA;NA
"18321V121493";"Torsvik";"FV496 S1D1 m1827";"Fv 496";"Agder";"Kristiansand";58,156577;8,057004;"0.18325@121493";1000136;2021;72,87;65;1500;900;70;NA;NA;NA;0,4;NA;NA;NA
"27139V121510";"Stokkåsen";"FV498 S1D1 m351";"Fv 498";"Agder";"Kristiansand";58,170564;8,111675;"0.27139@121510";1000272;2021;98,08;100;10350;8820;1530;NA;-1,9;-3;-1,4;-2,34;1,22;-7,3
"58182V1787571";"Barselvannet";"FV498 S1D1 m2281";"Fv 498";"Agder";"Kristiansand";58,179453;8,13736;"0.58182@1787571";1000273;2021;100;100;9960;8900;1060;NA;0,7;0,8;6;6,63;5,26;20,8
"08057V2475663";"Rosseland";"FV4234 S1D1 m934";"Fv 4234";"Agder";"Kristiansand";58,129015;7,855598;"0.08057@2475663";1000284;2021;100;99;1420;1290;110;NA;-0,6;-3,2;3,4;0,16;2,8;2,4
