"year_base";"year";"month";"index_p";"index_i";"standard_deviation";"variance";"n_points";"standard_error";"year_from_to";"area_name"
2016;2017;12;0,03;1,0003;1,86441416481313;3,47604017795584;33;0,3;"2016-2017";"Kristiansand og omegn"
2017;2018;12;0,19;1,0019;2,02423977792949;4,09754667855202;32;0,4;"2017-2018";"Kristiansand og omegn"
2018;2019;12;1,05;1,0105;1,61096495970602;2,59520810140063;28;0,3;"2018-2019";"Kristiansand og omegn"
2019;2020;12;-2,45;0,9755;3,28990878681721;10,8234998255771;24;0,7;"2019-2020";"Kristiansand og omegn"
2020;2021;12;3,69;1,0369;3,26276583968276;10,6456409246008;27;0,6;"2020-2021";"Kristiansand og omegn"
2021;2022;8;2,69;1,0269;5,02284721561071;25,2289941513683;31;0,9;"2021-2022";"Kristiansand og omegn"
2016;2018;12;0,220057000000007;1,00220057;0,13193079437126;0,0174057345034317;33;0;"2016-2018";"Kristiansand og omegn"
2016;2019;12;1,2723675985;1,012723675985;0,0715452592137982;0,00511872411596957;33;0;"2016-2019";"Kristiansand og omegn"
2016;2020;12;-1,20880540766325;0,987911945923368;0,855043791383174;0,731099885182913;33;0,1;"2016-2020";"Kristiansand og omegn"
2016;2021;12;2,43658967279397;1,02436589672794;0,941554076541773;0,886524079052431;33;0,2;"2016-2021";"Kristiansand og omegn"
2016;2022;8;5,19213393499212;1,05192133934992;2,24677340987053;5,04799075530124;33;0,4;"2016-2022";"Kristiansand og omegn"
