"year_base";"year";"month";"index_p";"index_i";"standard_deviation";"variance";"n_points";"standard_error";"year_from_to";"area_name"
2016;2017;12;0,22;1,0022;3,08450442870421;9,5141675706959;13;0,9;"2016-2017";"Tromsø"
2017;2018;12;0,94;1,0094;3,12894655419509;9,7903065390093;10;1;"2017-2018";"Tromsø"
2018;2019;12;-0,58;0,9942;1,45410357482179;2,11441720630951;12;0,4;"2018-2019";"Tromsø"
2019;2020;12;-6,53;0,9347;2,46722900823724;6,08721897908731;13;0,7;"2019-2020";"Tromsø"
2020;2021;12;3,57;1,0357;1,83953719091936;3,3838970767755;13;0,5;"2020-2021";"Tromsø"
2021;2022;8;-0,76;0,9924;2,92603650909493;8,56168965255646;13;0,8;"2021-2022";"Tromsø"
2016;2018;12;1,162068;1,01162068;1,18767342866252;1,41056817315098;13;0,3;"2016-2018";"Tromsø"
2016;2019;12;0,575328005600007;1,005753280056;0,541814284455895;0,293562718840453;13;0,2;"2016-2019";"Tromsø"
2016;2020;12;-5,99224091316568;0,940077590868343;1,06229512589363;1,12847093449736;13;0,3;"2016-2020";"Tromsø"
2016;2021;12;-2,63616391376569;0,973638360862343;3,23658672315583;10,4754936165086;13;0,9;"2016-2021";"Tromsø"
2016;2022;8;-3,37612906802107;0,966238709319789;2,36070363430084;5,5729216490012;13;0,7;"2016-2022";"Tromsø"
