"trp_id";"name";"road_reference";"road";"section_number";"subsection_number";"meter";"intersection_part_number";"intersection_meter";"road_category_and_number";"municipality_name";"lat";"lon";"road_link_position";"station_type";"adt";"year";"index_2020";"index_2021";"index_2022";"road_category";"road_number";"index"
"67";"Bøckmans veg";"FV6656 S1D1 m526";"FV6656";1;1;526;NA;NA;"Fv 6656";"Trondheim";63,405479;10,382963;"0.22001901@41468";"Bomstasjon";4300;2021;-6,6;-9,7;-35,2;"F";6656;-45,3
"64";"Thorbjørn Bratts veg";"FV6658 S1D1 m688";"FV6658";1;1;688;NA;NA;"Fv 6658";"Trondheim";63,408781;10,420685;"0.82201616@42636";"Bomstasjon";12000;2021;-9,6;2,1;10,6;"F";6658;2,1
"75341V41863";"Jonsvannsveien Vest For Steinanvegen";"FV6660 S1D1 m329";"FV6660";1;1;329;NA;NA;"Fv 6660";"Trondheim";63,408359;10,446365;"0.75341@41863";"Trafikkregistrering";11550;2021;NA;2,92;2,35;"F";6660;NA
"65625V41945";"Kong Øysteins Veg Ved Eberg";"FV6664 S1D1 m2150";"FV6664";1;1;2150;NA;NA;"Fv 6664";"Trondheim";63,419179;10,436044;"0.86638@41945";"Trafikkregistrering";5430;2018;NA;NA;NA;"F";6664;NA
"06750V2429605";"Bromstadvegens Forlengelse";"FV6664 S1D1 m4425";"FV6664";1;1;4425;NA;NA;"Fv 6664";"Trondheim";63,436626;10,458946;"0.06824@2429605";"Trafikkregistrering";12500;2021;NA;NA;NA;"F";6664;NA
"81008V41567";"Festningsgata";"FV6666 S1D1 m1857";"FV6666";1;1;1857;NA;NA;"Fv 6666";"Trondheim";63,428343;10,416221;"0.81134@41567";"Trafikkregistrering";7320;2020;NA;NA;NA;"F";6666;NA
"90656V41781";"Haakon Vii Gt Øst";"FV6668 S1D1 m3041";"FV6668";1;1;3041;NA;NA;"Fv 6668";"Trondheim";63,44002;10,461145;"0.90628@41781";"Trafikkregistrering";15360;2021;NA;-1,84;5,05;"F";6668;NA
"60";"Haakon VII s gt ";"FV6668 S1D1 m4418";"FV6668";1;1;4418;NA;NA;"Fv 6668";"Trondheim";63,430184;10,476018;"0.64977347@2449259";"Bomstasjon";11500;2021;-0,8;3,4;11,6;"F";6668;14,5
"65";"Bratsbergveien";"FV6680 S1D1 m330";"FV6680";1;1;330;NA;NA;"Fv 6680";"Trondheim";63,402406;10,400545;"0.39966273@41394";"Bomstasjon";6600;2021;-3;14,5;24,4;"F";6680;38,2
"86";"Tillerbrua";"FV6680 S1D1 m7590";"FV6680";1;1;7590;NA;NA;"Fv 6680";"Trondheim";63,348996;10,437413;"0.31061835@42831";"Bomstasjon";1400;2021;-36,8;55,8;6,7;"F";6680;5,1
"25280V41723";"Heimdalsvegen Ved Esp";"FV6682 S1D1 m1100";"FV6682";1;1;1100;NA;NA;"Fv 6682";"Trondheim";63,328545;10,325948;"0.2528@41723";"Trafikkregistrering";3470;2021;-3,59;1,61;NA;"F";6682;NA
"48351V2411216";"Østre Rosten Ved Sandmoen";"FV6686 S1D1 m5639";"FV6686";1;1;5639;NA;NA;"Fv 6686";"Trondheim";63,333889;10,36738;"0.48324@2411216";"Trafikkregistrering";8440;2021;NA;NA;NA;"F";6686;NA
"10236V72161";"Innherredsveien Ved Bakke Kirke";"FV6690 S1D1 m447";"FV6690";1;1;447;NA;NA;"Fv 6690";"Trondheim";63,433039;10,410484;"0.24124@72161";"Trafikkregistrering";8020;2021;-15,21;4,3;20,47;"F";6690;6,5
"16219V72812";"Prinsens Gt Nord For Elgeseter Bru";"FV6690 S1D3 m608";"FV6690";1;3;608;NA;NA;"Fv 6690";"Trondheim";63,424987;10,393782;"0.64129@72812";"Trafikkregistrering";19180;2021;-13,84;5,33;NA;"F";6690;NA
"56";"Kroppan bru";"FV6690 S4D1 m565";"FV6690";4;1;565;NA;NA;"Fv 6690";"Trondheim";63,399149;10,394246;"0.03882139@72812";"Bomstasjon";15000;2021;-7,1;9,4;19;"F";6690;20,9
"88356V72157";"Jernbanebrua";"FV6692 S1D1 m243";"FV6692";1;1;243;NA;NA;"Fv 6692";"Trondheim";63,435497;10,400043;"0.88356@72157";"Trafikkregistrering";3100;2021;-22,95;-37,88;NA;"F";6692;NA
"04300V72813";"Innherredsveien Ved Fjæregata";"FV6692 S2D1 m161";"FV6692";2;1;161;NA;NA;"Fv 6692";"Trondheim";63,436144;10,420863;"0.043@72813";"Trafikkregistrering";6640;2021;-4,68;NA;4,55;"F";6692;NA
"34938V72813";"Innherredsveien Ved Saxenborg Alle";"FV6692 S2D1 m1292";"FV6692";2;1;1292;NA;NA;"Fv 6692";"Trondheim";63,437778;10,443218;"0.34933@72813";"Trafikkregistrering";5870;2021;-2,17;1,61;-0,08;"F";6692;-0,7
"53";"Nedre Leirfoss (Fossestuvegen)";"KV1827 S1D1 m794";"KV1827";1;1;794;NA;NA;"Kv 1827";"Trondheim";63,381561;10,392406;"0.75353368@41587";"Bomstasjon";4100;2021;-1,6;40,1;23,1;"K";1827;69,7
"69";"Gamle Oslovei";"KV2020 S1D1 m1301";"KV2020";1;1;1301;NA;NA;"Kv 2020";"Trondheim";63,406508;10,34658;"0.52917111@41628";"Bomstasjon";5000;2021;1,1;7,8;1,2;"K";2020;10,3
"03476V41818";"Jakobslivegen Ved Skovgård";"KV3330 S1D1 m70";"KV3330";1;1;70;NA;NA;"Kv 3330";"Trondheim";63,428213;10,495449;"0.03476@41818";"Trafikkregistrering";8610;2021;-11,91;2,94;3,05;"K";3330;-6,6
"61";"Landbruksvegen";"KV4235 S1D1 m313";"KV4235";1;1;313;NA;NA;"Kv 4235";"Trondheim";63,426825;10,475053;"0.88418079@42003";"Bomstasjon";4500;2021;-1;15,6;8,3;"K";4235;23,9
"66";"Tempeveien";"KV7440 S2D1 m258";"KV7440";2;1;258;NA;NA;"Kv 7440";"Trondheim";63,406283;10,397135;"0.20559896@42597";"Bomstasjon";4000;2021;-12,5;-15,7;-4;"K";7440;-29,2
"62";"Tungasletta";"KV7703 S1D1 m311";"KV7703";1;1;311;NA;NA;"Kv 7703";"Trondheim";63,422193;10,462099;"0.78505722@42659";"Bomstasjon";9300;2021;-3,4;1,3;0,9;"K";7703;-1,3
"84826V42881";"Tungasletta Mot I. Ystgaardsv.";"KV7703 S3D1 m283";"KV7703";3;1;283;NA;NA;"Kv 7703";"Trondheim";63,419533;10,464411;"0.84826@42881";"Trafikkregistrering";9300;2021;NA;NA;NA;"K";7703;NA
