"index";"dekning";"standardavvik";"konfidensintervall";"year";"index_i";"variance";"n_points";"ki_start";"ki_slutt"
-0,224;94;2,78;0,826;"2016-2017";0,99776;7,7284;46;-1,05;0,602
-1,091;96;2,261;0,664;"2017-2018";0,98909;5,112121;47;-1,755;-0,427
-2,048;96;2,943;0,906;"2018-2019";0,97952;8,661249;43;-2,954;-1,142
-13,559;71,27;6,334;1,881;"2019-2020";0,86441;40,119556;46;-15,44;-11,678
-16,4406620152586;83,385;3,33747842034616;4,62550910125745;"2016-2020";0,835593379847414;11,1387622062763;47;-21,066171116516;-11,8151529140011
