"index";"dekning";"standardavvik";"konfidensintervall";"year";"index_i";"variance";"n_points";"ki_start";"ki_slutt"
-0,198;94;2,053;0,829;"2016-2017";0,99802;4,214809;26;-1,027;0,631
-0,114;96;2,964;1,387;"2017-2018";0,99886;8,785296;20;-1,501;1,273
0,258;97;2,494;1,24;"2018-2019";1,00258;6,220036;18;-0,982;1,498
-12,728;23,5;5,97;4,271;"2019-2020";0,87272;35,6409;10;-16,999;-8,457
-12,7756318860977;59,75;0,483372967122914;0,669920753673955;"2016-2020";0,872243681139023;0,23364942534521;26;-13,4455526397716;-12,1057111324237
