"index_p";"index_i";"month_name";"month_object";"year"
-3,65860495723165;0,963413950427684;"Desember";2019-12-01;2019
-3,2043310021192;0,967956689978808;"Januar";2020-01-01;2020
-2,34123958488025;0,976587604151197;"Februar";2020-02-01;2020
-4,83448403719206;0,951655159628079;"Mars";2020-03-01;2020
-5,57764173011907;0,944223582698809;"April";2020-04-01;2020
-5,72380038885405;0,942761996111459;"Mai";2020-05-01;2020
-4,88909702584027;0,951109029741597;"Juni";2020-06-01;2020
-3,82637858604855;0,961736214139514;"Juli";2020-07-01;2020
-3,48528006885942;0,965147199311406;"August";2020-08-01;2020
-2,73262553574848;0,972673744642515;"September";2020-09-01;2020
-2,98090942141157;0,970190905785884;"Oktober";2020-10-01;2020
-3,77784723658543;0,962221527634146;"November";2020-11-01;2020
-4,2004406542736;0,957995593457264;"Desember";2020-12-01;2020
-5,94341779841914;0,940565822015809;"Januar";2021-01-01;2021
-6,54650003618024;0,934534999638198;"Februar";2021-02-01;2021
-5,18208609769916;0,948179139023008;"Mars";2021-03-01;2021
-4,88791875910558;0,951120812408944;"April";2021-04-01;2021
-5,25234620177203;0,94747653798228;"Mai";2021-05-01;2021
-5,18502434263275;0,948149756573673;"Juni";2021-06-01;2021
-4,91134556769259;0,950886544323074;"Juli";2021-07-01;2021
-4,60178259303224;0,953982174069678;"August";2021-08-01;2021
-4,12583220347863;0,958741677965214;"September";2021-09-01;2021
-4,10190976515481;0,958980902348452;"Oktober";2021-10-01;2021
-3,37110167382063;0,966288983261794;"November";2021-11-01;2021
-3,04381650046565;0,969561834995344;"Desember";2021-12-01;2021
