"index";"dekning";"standardavvik";"konfidensintervall";"year";"index_i";"variance";"n_points";"ki_start";"ki_slutt"
1,129;95;1,807;1,092;"2016-2017";1,01129;3,265249;13;0,0369999999999999;2,221
0,163;98;1,418;0,857;"2017-2018";1,00163;2,010724;13;-0,694;1,02
0,509;98;1,284;0,816;"2018-2019";1,00509;1,648656;12;-0,307;1,325
1,80942591697433;97,25;0,487228449523874;0,675264179664864;"2016-2019";1,01809425916974;0,237391562025438;13;1,13416173730946;2,48469009663919
1,29384027000001;96,5;0,49261821931523;0,682734019491128;"2016-2018";1,0129384027;0,242672710001308;13;0,611106250508885;1,97657428949114
0,672829669999997;98;0,254897134092589;0,353269404362897;"2017-2019";1,0067282967;0,0649725489686154;13;0,319560265637099;1,02609907436289
