"index";"index_i";"periode";"year"
-3,33379238776198;0,96666207612238;"Desember";"2019"
-3,72358028023733;0,962764197197627;"Januar";"2020"
-3,82932779751484;0,961706722024852;"Februar";"2020"
-6,57962394480588;0,934203760551941;"Mars";"2020"
-7,45495527687838;0,925450447231216;"April";"2020"
