"trp_id";"name";"road_reference";"road_category_and_number";"county_name";"municipality_name";"lat";"lon";"road_link_position";"adt";"year";"index_20"
"29403V625517";"VATERLANDTUNNELEN";"RV162 S1D1 m2982";"Rv162";"Oslo";"Oslo";59,916034;10,749144;"0.29926@625517";11330;2018;NA
"60739V625530";"Grorud Stasjon 1,2,3,4";"RV163 S1D1 m6467";"Rv163";"Oslo";"Oslo";59,950602;10,88577;"0.60739@625530";20500;2019;0
"99353V625530";"Ø.Akersvei 1,2";"RV163 S1D1 m10234";"Rv163";"Oslo";"Oslo";59,948418;10,947038;"0.99353@625530";14610;2016;-23,385
"88046V1874722";"FJERDINGBY";"FV120 S11D1 m2909";"Fv120";"Viken";"Rælingen";59,916662;11,080284;"0.37419@1874722";8920;2018;NA
"63730V443521";"ULLERUDSLETTA";"FV152 S1D120 m605";"Fv152";"Viken";"Frogn";59,669764;10,64825;"0.6373@443521";13240;2017;-6,185
"76429V2548000";"ÅS NLH VOLLEBEKK";"FV152 S2D1 m698";"Fv152";"Viken";"Ås";59,664586;10,758511;"0.05@2548000";10600;2017;NA
"79110V444262";"HOLSTADVN. AAS";"FV152 S3D1 m2029";"Fv152";"Viken";"Ås";59,683787;10,813038;"0.7911@444262";8620;2018;NA
"56322V444263";"HALSTAD NORDRE";"FV152 S4D1 m1142";"Fv152";"Viken";"Ås";59,694714;10,829099;"0.35661@444263";5730;2019;-12,591
"77294V2571508";"ROÅS";"FV152 S6D1 m1657";"Fv152";"Viken";"Nordre Follo";59,736309;10,84239;"0.77294@2571508";10170;2017;-8,16
"10924V2275488";"Mastemyrveien N1";"FV152 S7D1 m6026";"Fv152";"Viken";"Nordre Follo";59,81622;10,789545;"0.10924@2275488";6800;2019;NA
"22654V443542";"Nygårdskrysset xf";"FV154 S1D1 m344";"Fv154";"Viken";"Ås";59,723709;10,790262;"0.22654@443542";14840;2018;NA
"59048V2545015";"RÅKEN ENEBAKK";"FV155 S2D1 m4366";"Fv155";"Viken";"Enebakk";59,739362;11,008667;"0.59048@2545015";4080;2017;NA
"27857V444273";"Nessetveien";"FV156 S1D1 m9271";"Fv156";"Viken";"Ås";59,724112;10,729355;"0.27857@444273";7970;2019;-12,219
"60538V443575";"BLÅKOLLEN";"FV158 S1D1 m1774";"Fv158";"Viken";"Lørenskog";59,944016;10,992731;"0.60538@443575";11620;2017;NA
