"index_p";"index_i";"month_name";"month_object";"year"
0,575530638997579;1,00575530638998;"Desember";2019-12-01;2019
0,331650263786298;1,00331650263786;"Januar";2020-01-01;2020
0,0994575555854471;1,00099457555585;"Februar";2020-02-01;2020
-2,80509894545675;0,971949010545432;"Mars";2020-03-01;2020
-3,26118274356619;0,967388172564338;"April";2020-04-01;2020
-4,5114473162692;0,954885526837308;"Mai";2020-05-01;2020
-4,67086625981488;0,953291337401851;"Juni";2020-06-01;2020
-4,65199550943116;0,953480044905688;"Juli";2020-07-01;2020
-5,01002089173296;0,94989979108267;"August";2020-08-01;2020
-5,20314205967884;0,947968579403212;"September";2020-09-01;2020
-5,47778902019675;0,945222109798032;"Oktober";2020-10-01;2020
-6,20313197773577;0,937968680222642;"November";2020-11-01;2020
-6,20190820278222;0,937980917972178;"Desember";2020-12-01;2020
-7,28056255789228;0,927194374421077;"Januar";2021-01-01;2021
-7,98329851107171;0,920167014889283;"Februar";2021-02-01;2021
-5,72908206729722;0,942709179327028;"Mars";2021-03-01;2021
-4,68157087083024;0,953184291291698;"April";2021-04-01;2021
-3,92072590951242;0,960792740904876;"Mai";2021-05-01;2021
-3,65722004155055;0,963427799584495;"Juni";2021-06-01;2021
-3,6454218033967;0,963545781966033;"Juli";2021-07-01;2021
-3,54594050877307;0,964540594912269;"August";2021-08-01;2021
-3,56987809261363;0,964301219073864;"September";2021-09-01;2021
-3,8149375476545;0,961850624523455;"Oktober";2021-10-01;2021
-3,75685137719975;0,962431486228002;"November";2021-11-01;2021
-3,76005621052041;0,962399437894796;"Desember";2021-12-01;2021
