"area_name";"year";"month";"period";"month_object";"month_name";"index_p";"standard_deviation";"confidence_width";"base_volume";"calc_volume";"n_points";"standard_error"
"Buskerudbyen uten E18";2017;1;"month";2017-01-01;"Januar";3,21;3,2778935796241;1,81523695960983;4965371;5124932;15;0,8
"Buskerudbyen uten E18";2017;2;"month";2017-02-01;"Februar";-0,59;4,91318418683996;2,5261262115185;5839781;5805353;17;1,2
"Buskerudbyen uten E18";2017;3;"month";2017-03-01;"Mars";8,63;5,38902772410314;2,45305600977964;7354416;7988740;21;1,2
"Buskerudbyen uten E18";2017;4;"month";2017-04-01;"April";-6,95;6,10605790180374;2,77944423352821;7968954;7415275;21;1,3
"Buskerudbyen uten E18";2017;5;"month";2017-05-01;"Mai";-0,03;6,23002869279412;2,91574318063711;7288723;7286487;20;1,4
"Buskerudbyen uten E18";2017;6;"month";2017-06-01;"Juni";-1,76;4,38297422728184;2,25351740518971;6273883;6163612;17;1,1
"Buskerudbyen uten E18";2017;7;"month";2017-07-01;"Juli";-1,25;7,64881472742279;3,68661069015511;6279083;6200550;19;1,8
"Buskerudbyen uten E18";2017;8;"month";2017-08-01;"August";-1,11;5,12851869030084;2,40022063065462;7372717;7290564;20;1,1
"Buskerudbyen uten E18";2017;9;"month";2017-09-01;"September";-0,92;2,637346734937;1,16933403437328;8630633;8551506;22;0,6
"Buskerudbyen uten E18";2017;10;"month";2017-10-01;"Oktober";0,78;3,15396153775604;1,33180115517339;9072532;9143528;24;0,6
"Buskerudbyen uten E18";2017;11;"month";2017-11-01;"November";0,14;3,90473486215467;1,77741399944248;7569459;7579957;21;0,9
"Buskerudbyen uten E18";2017;12;"month";2017-12-01;"Desember";-1,64;2,76281499514663;1,37391557412083;6296703;6193551;18;0,7
"Buskerudbyen uten E18";2018;1;"month";2018-01-01;"Januar";-1,76;2,99997189767454;1,9060912066262;3811643;3744434;12;0,9
"Buskerudbyen uten E18";2018;2;"month";2018-02-01;"Februar";-2,23;4,47306499376182;2,70304612297866;4107831;4016076;13;1,2
"Buskerudbyen uten E18";2018;3;"month";2018-03-01;"Mars";-4,69;4,30287820037346;2,3828545229687;5995487;5714548;15;1,1
"Buskerudbyen uten E18";2018;4;"month";2018-04-01;"April";7,43;3,76589913831672;2,08548543019486;5510559;5919958;15;1
"Buskerudbyen uten E18";2018;5;"month";2018-05-01;"Mai";-1,2;3,61948816296556;2,29971306240041;4565594;4510656;12;1
"Buskerudbyen uten E18";2018;6;"month";2018-06-01;"Juni";1,49;3,27794702197825;1,98084356061104;4618128;4686989;13;0,9
"Buskerudbyen uten E18";2018;7;"month";2018-07-01;"Juli";2,09;5,70428271571805;3,29355478409129;4493801;4587565;14;1,5
"Buskerudbyen uten E18";2018;8;"month";2018-08-01;"August";1,38;5,93557889290155;3,77128690530925;4738510;4804026;12;1,7
"Buskerudbyen uten E18";2018;9;"month";2018-09-01;"September";-2,45;4,46905261150661;2,47487884453465;5640949;5502545;15;1,2
"Buskerudbyen uten E18";2018;10;"month";2018-10-01;"Oktober";0,37;4,51170262501635;2,3197034400131;6152338;6175163;17;1,1
"Buskerudbyen uten E18";2018;11;"month";2018-11-01;"November";-0,19;3,22975483910015;1,72101487101739;5614741;5604342;16;0,8
"Buskerudbyen uten E18";2018;12;"month";2018-12-01;"Desember";-1,38;3,29374034840505;1,75511034219997;5527677;5451194;16;0,8
"Buskerudbyen uten E18";2019;1;"month";2019-01-01;"Januar";1,82;4,33086807560803;2,50056877973159;4518899;4600967;14;1,2
"Buskerudbyen uten E18";2019;2;"month";2019-02-01;"Februar";-0,12;3,24152939480233;1,79509914528148;4629994;4624542;15;0,8
"Buskerudbyen uten E18";2019;3;"month";2019-03-01;"Mars";4,38;5,22700333996958;3,15864650583112;4584616;4785524;13;1,4
