"trp_id";"msnr";"name";"traffic_type";"road_reference";"county_name";"county_no";"lat";"lon";"road_network_position";"road_network_link";"validFrom";"validTo";"road_link_position";"adt";"year";"index_16_17";"index_17_18";"index_18_19";"index"
"70816V443409";202188;"STATOIL";"VEHICLE";"RV22 S13D1 m2124";"Viken";30;59,927793;11,150268;0,70816;443409;2016-02-12;2016-08-03;"0.70816@443409";16930;2017;3,5;-0,6;1,7;4,6
"41331V443662";202194;"LOMMEDALSVEIEN";"VEHICLE";"FV168 S3D1 m283";"Viken";30;59,911077;10,489273;0,41331;443662;2015-11-19;NA;"0.41331@443662";10080;2016;NA;NA;NA;NA
"28516V444278";202200;"RV159 VAREMESSA";"VEHICLE";"RV159 S3D1 m5646";"Viken";30;59,948201;11,057354;0,28516;444278;2016-02-19;2019-01-23;"0.28516@444278";14740;2018;3,3;-0,8;NA;2,5
"47719V443837";205310;"VOLLSVEIEN";"VEHICLE";"FV1632 S1D1 m1146";"Viken";30;59,940888;10,626436;0,47717;443837;2016-02-26;2016-07-30;"0.47717@443837";3130;2018;-4;-3,9;5,1;-3
"48300V443646";209676;"Fornebuveien";"VEHICLE";"FV166 S1D1 m401";"Viken";30;59,905127;10,629208;0,483;443646;2016-05-18;NA;"0.483@443646";20000;2016;4,6;0,8;-1,1;4,3
"31290V625405";300016;"Hovedkjørefelt Rv150 Grefsen";"VEHICLE";"RV150 S1D1 m4269";"Oslo";3;59,941347;10,78136;0,3129;625405;2015-05-21;2015-05-21;"0.3129@625405";43410;2016;3,8;-0,9;NA;2,9
"12357V625212";300022;"Klemetsrud";"VEHICLE";"EV6 S15D1 m1191";"Oslo";3;59,827071;10,843871;0,12357;625212;2015-06-11;2016-05-20;"0.12357@625212";40930;2018;0,8;-0,1;-0,3;0,4
"33808V625649";300030;"Helsfyr 1,2,3,4";"VEHICLE";"EV6 S16D20 m2636";"Oslo";3;59,91174;10,79652;0,33808;625649;2015-04-23;NA;"0.33808@625649";52000;2016;-4,6;-5,4;NA;-9,8
"60739V625530";300086;"Grorud Stasjon 1,2,3,4";"VEHICLE";"RV163 S1D1 m6467";"Oslo";3;59,950602;10,885769;0,60739;625530;2016-08-10;2018-08-30;"0.60739@625530";22000;2018;NA;NA;NA;NA
"82177V625405";300093;"Gaustad 1,2,3,4,5";"VEHICLE";"RV150 S2D1 m1523";"Oslo";3;59,946007;10,71305;0,82177;625405;2015-09-28;NA;"0.82177@625405";38140;2016;2,9;-1,3;NA;1,6
"02087V625292";300096;"EV 18 V/ MASTEMYR";"VEHICLE";"EV18 S56D1 m8543";"Oslo";3;59,828033;10,777597;0,02087;625292;2015-03-24;NA;"0.02087@625292";14760;2016;-3,3;-6,8;-4,5;-13,9
"29852V2460300";300108;"Kong Håkon 5.s gt Sydgående";"VEHICLE";"RV162 S1D1 m1053";"Oslo";3;59,905927;10,761306;0,29852;2460300;2015-07-01;2015-07-01;"0.29852@2460300";11380;2016;NA;0,9;3,9;4,8
"79755V625294";300225;"MARITIM-510B";"VEHICLE";"EV18 S55D1 m1540";"Oslo";3;59,918562;10,666507;0,79755;625294;2015-04-10;2019-05-24;"0.79755@625294";74270;2016;-3,1;-6,3;1,3;-8
"66410V625367";300231;"AMMERUD";"VEHICLE";"RV4 S1D1 m6785";"Oslo";3;59,959309;10,879109;0,67901;625367;2015-03-25;2019-05-21;"0.67901@625367";22740;2016;-1,2;-2,5;-1,7;-5,3
"48379V625405";300233;"ST.RINGV V/NYDALSBR";"VEHICLE";"RV150 S1D1 m5940";"Oslo";3;59,953374;10,767581;0,48492;625405;2015-03-20;2017-03-19;"0.48492@625405";53000;2016;NA;NA;NA;NA
"79854V625215";300349;"E6 V/KARIHAUGEN";"VEHICLE";"EV6 S17D1 m6003";"Oslo";3;59,940023;10,933963;0,79854;625215;2015-03-24;2016-08-22;"0.79854@625215";37520;2018;-1,4;-3,1;-2,6;-6,9
"29403V625517";302137;"VATERLANDTUNNELEN";"VEHICLE";"RV162 S1D1 m2984";"Oslo";3;59,916034;10,749144;0,29926;625517;2017-11-09;NA;"0.29926@625517";11500;2017;NA;-6,4;4,9;-1,8
