"index_p";"index_i";"month_name";"month_object";"year"
2,1125017072168;1,02112501707217;"Desember";2019-12-01;2019
2,06052222979631;1,02060522229796;"Januar";2020-01-01;2020
2,33900227106358;1,02339002271064;"Februar";2020-02-01;2020
0,95229022156631;1,00952290221566;"Mars";2020-03-01;2020
1,05199243184622;1,01051992431846;"April";2020-04-01;2020
0,419353200943218;1,00419353200943;"Mai";2020-05-01;2020
0,68183911261992;1,0068183911262;"Juni";2020-06-01;2020
0,837040930713839;1,00837040930714;"Juli";2020-07-01;2020
0,709187660156063;1,00709187660156;"August";2020-08-01;2020
0,955131599237369;1,00955131599237;"September";2020-09-01;2020
0,581446823013931;1,00581446823014;"Oktober";2020-10-01;2020
-0,037566060900851;0,999624339390991;"November";2020-11-01;2020
-0,233149831472101;0,997668501685279;"Desember";2020-12-01;2020
-1,43043240765754;0,985695675923425;"Januar";2021-01-01;2021
-2,05377677843663;0,979462232215634;"Februar";2021-02-01;2021
0,894365999161373;1,00894365999161;"Mars";2021-03-01;2021
2,73578332647506;1,02735783326475;"April";2021-04-01;2021
3,54126128872736;1,03541261288727;"Mai";2021-05-01;2021
3,55296275174637;1,03552962751746;"Juni";2021-06-01;2021
3,44095875349391;1,03440958753494;"Juli";2021-07-01;2021
3,7404959162606;1,03740495916261;"August";2021-08-01;2021
3,73903955031738;1,03739039550317;"September";2021-09-01;2021
3,08768679993292;1,03087686799933;"Oktober";2021-10-01;2021
3,36596987938846;1,03365969879388;"November";2021-11-01;2021
2,66602580682167;1,02666025806822;"Desember";2021-12-01;2021
