"index_p";"index_i";"month_name";"month_object";"year"
-9,27740790190414;0,907225920980959;"Desember";2020-12-01;2020
-10,8180865102073;0,891819134897927;"Januar";2021-01-01;2021
-11,3861587480095;0,886138412519905;"Februar";2021-02-01;2021
-9,17818198343324;0,908218180165668;"Mars";2021-03-01;2021
-8,35930867507366;0,916406913249263;"April";2021-04-01;2021
-7,55259355427416;0,924474064457258;"Mai";2021-05-01;2021
-7,30060161189763;0,926993983881024;"Juni";2021-06-01;2021
-7,55221977862456;0,924477802213754;"Juli";2021-07-01;2021
-7,1739992164719;0,928260007835281;"August";2021-08-01;2021
-6,66200611248209;0,933379938875179;"September";2021-09-01;2021
-6,12069998876431;0,938793000112357;"Oktober";2021-10-01;2021
-4,81806299526766;0,951819370047323;"November";2021-11-01;2021
-4,31330660809169;0,956866933919083;"Desember";2021-12-01;2021
