"year_base";"year";"month";"index_p";"index_i";"standard_deviation";"variance";"n_points";"standard_error";"year_from_to";"area_name"
2018;2019;12;-0,26;0,9974;1,73783770736147;3,02007989712738;24;0,4;"2018-2019";"Osloområdet"
2019;2020;12;-6,86;0,9314;6,24133246772064;38,9542309726238;41;1;"2019-2020";"Osloområdet"
2020;2021;12;2,37;1,0237;5,00193532875764;25,0193570330738;68;0,6;"2020-2021";"Osloområdet"
2021;2022;4;15,16;1,1516;11,0909486365126;123,009141657762;80;1,2;"2021-2022";"Osloområdet"
2018;2020;12;-7,102164;0,92897836;2,47095280970811;6,10560778780442;41;0,4;"2018-2020";"Osloområdet"
2018;2021;12;-4,90048528679999;0,950995147132;4,41021435337866;19,4499906427472;68;0,5;"2018-2021";"Osloområdet"
2018;2022;4;9,51660114372113;1,09516601143721;10,1539196298368;103,102083849185;80;1,1;"2018-2022";"Osloområdet"
