"trp_id";"name";"road_reference";"road_category_and_number";"county_name";"municipality_name";"lat";"lon";"road_link_position";"msnr";"year";"coverage";"length_quality";"aadt_total";"aadt_lette";"aadt_tunge";"index_19";"index_20";"index_21";"index"
"13617V2518814";"Rampe Sotra - Knappetunnelen";"RV555 S1D1 m6270 KD3 m138";"Rv 555";"Vestland";"Bergen";60,366444;5,249153;"0.13617@2518814";NA;2021;98,89;100;7110;6400;710;1,77;-11,26;5,33;-4,9
"90500V805707";"Harafjelltunnelen";"RV555 S1D1 m8548";"Rv 555";"Vestland";"Bergen";60,371811;5,210907;"0.90531@805707";NA;2021;99,99;100;29800;27030;2710;-0,57;-7,25;4,47;-3,7
"29614V805708";"Sotrabrua Vest";"RV555 S1D1 m11739";"Rv 555";"Vestland";"Øygarden";60,372083;5,155691;"0.2961@805708";1201371;2021;99,73;100;26920;24260;2660;0,14;-6,46;3,24;-3,3
"97841V805708";"Kolltveittunnelen";"RV555 S1D1 m16428";"Rv 555";"Vestland";"Øygarden";60,349583;5,09316;"0.89979@805708";NA;2021;95,33;100;19320;17760;1540;-1,19;-5,15;4,75;-1,8
"21768V805002";"Torborg Nedreaasgt.";"RV555 S1D20 m342";"Rv 555";"Vestland";"Bergen";60,388476;5,314642;"0.21762@805002";1200032;2021;99,99;100;16270;15570;680;-1,21;NA;10,71;NA
"99254V1696548";"Troldhaugtunnelen - Lagunen";"RV580 S1D1 m2801";"Rv 580";"Vestland";"Bergen";60,299362;5,328239;"0.99254@1696548";NA;2021;88,76;100;8360;7600;740;-5,03;-14,35;7,09;-12,9
"16868V805119";"Lagunen - Troldhaugtunnelen Og Sørås";"RV580 S1D1 m2869";"Rv 580";"Vestland";"Bergen";60,299765;5,328693;"0.16592@805119";NA;2021;99,73;100;17850;16400;1450;-6,1;-11,78;6,57;-11,7
"75005V805120";"Håvardstun";"RV580 S1D1 m5298";"Rv 580";"Vestland";"Bergen";60,290684;5,295801;"0.75023@805120";1201311;2021;98,08;100;21730;19470;2260;-6,32;NA;NA;NA
"93526V805122";"Bg.lufthavn,Flesland";"RV580 S2D1 m1472";"Rv 580";"Vestland";"Bergen";60,292318;5,236729;"0.93501@805122";1201315;2021;99,71;100;9110;8000;1080;NA;NA;15,15;NA
"62778V805646";"Gullbotn";"FV49 S12D1 m3689";"Fv 49";"Vestland";"Samnanger";60,398249;5,650308;"0.62778@805646";1200052;2021;99,72;99;4960;4320;580;NA;NA;6,16;NA
"04049V805680";"Knarvik - Isdalstø";"FV57 S1D1 m399";"Fv 57";"Vestland";"Alver";60,548747;5,280855;"0.04049@805680";NA;2021;99,73;99;13170;11760;1320;0;0;5,28;5,3
"37541V805680";"Isdalstø Fartstavle";"FV57 S1D1 m3671";"Fv 57";"Vestland";"Alver";60,574864;5,270705;"0.37541@805680";NA;2021;100;100;6050;5230;810;1,11;-9,6;5,41;-3,7
"49658V804949";"Løvstakktunnelen";"FV540 S1D1 m1201";"Fv 540";"Vestland";"Bergen";60,371819;5,304316;"0.49658@804949";1200277;2021;100;100;12330;11010;1320;3,12;0,4;8,84;12,7
"12021V805693";"Rådal";"FV546 S1D1 m1164";"Fv 546";"Vestland";"Bergen";60,283242;5,325618;"0.12021@805693";1201532;2018;99,73;100;15210;12910;2290;-1,52;NA;NA;NA
"61215V2782426";"Fana V/Kirkevoll Sk";"FV546 S1D1 m3712";"Fv 546";"Vestland";"Bergen";60,263836;5,344402;"0.61215@2782426";NA;2021;100;99;10920;9560;1280;0;NA;2,99;NA
"14868V805624";"Moberg ";"FV552 S1D1 m227";"Fv 552";"Vestland";"Bjørnafjorden";60,183202;5,454315;"0.14868@805624";NA;2019;99,15;68;6290;4020;260;NA;0;NA;NA
"52242V805706";"Hattvik Fartstavle";"FV552 S1D1 m4094";"Fv 552";"Vestland";"Bjørnafjorden";60,195403;5,504656;"0.52242@805706";NA;2021;100;100;1780;1640;130;2,2;-4,97;4,33;1,3
"52794V805054";"Bønes";"FV556 S1D1 m2620";"Fv 556";"Vestland";"Bergen";60,328319;5,31105;"0.52794@805054";1200011;2019;100;100;15730;14740;990;-5,49;NA;NA;NA
"23323V805716";"Straume Bro";"FV556 S1D1 m5178";"Fv 556";"Vestland";"Bergen";60,322399;5,270436;"0.23323@805716";1204343;2021;100;100;4300;3980;320;4,86;2,32;5,58;13,3
"97126V1993682";"Knappetunnelen Ved Dolvik - Fyllingsdalsveien";"FV557 S1D1 m2515";"Fv 557";"Vestland";"Bergen";60,310864;5,268447;"0.00372@1885973";NA;2021;100;100;11430;10480;930;6,06;-16,28;8,2;-3,9
"17155V2518835";"Knappetunnelen Nord, Nordgående";"FV557 S1D1 m5509";"Fv 557";"Vestland";"Bergen";60,336616;5,264413;"0.17155@2518835";NA;2021;100;100;7600;6810;790;5,93;-18,33;8,95;-5,7
"82840V2518807";"Knappetunnelen Nord, Sørgående";"FV557 S1D1 m13590";"Fv 557";"Vestland";"Bergen";60,336689;5,264063;"0.8284@2518807";NA;2021;100;100;7480;6650;830;4,44;-20,04;8,51;-9,4
"00000V1993681";"Knappetunnelen Ved Dolvik - Ytrebygdsvegen";"FV557 S1D1 m16575";"Fv 557";"Vestland";"Bergen";60,310989;5,268185;"0.00552@1885995";NA;2021;100;100;11630;10290;1330;1,23;-18,65;7,65;-11,3
"98948V805142";"Lyderhornsveien V/Gravdal";"FV558 S1D1 m3267";"Fv 558";"Vestland";"Bergen";60,382901;5,270133;"0.98948@805142";NA;2021;100;100;11740;10600;1140;-1,28;2,62;-3,44;-2,2
"73171V2394461";"Håkonsvernveien";"FV558 S1D1 m7129";"Fv 558";"Vestland";"Bergen";60,359939;5,233886;"0.73171@2394461";1203221;2020;98,62;70;13240;8730;590;NA;NA;0;NA
"11192V805709";"Fjell Kirke";"FV560 S1D1 m1485";"Fv 560";"Vestland";"Øygarden";60,338204;5,080564;"0.14929@805709";NA;2021;100;99;11090;9950;1070;NA;NA;4,74;NA
"38587V805074";"Knappskog Fartstvale";"FV561 S1D1 m3338";"Fv 561";"Vestland";"Øygarden";60,377003;5,056655;"0.3875@805074";NA;2021;64,93;100;11390;10430;960;NA;-6,96;3,48;NA
"13600V805722";"Olsviktunnelen";"FV562 S1D1 m1355";"Fv 562";"Vestland";"Bergen";60,38428;5,215827;"0.136@805722";1200234;2021;99,45;100;20070;18440;1630;-0,88;-5,47;4,36;-2,2
"88975V805079";"Storeklubben, Rampe Askøybrua-Kleppestø";"FV562 S1D1 m3555 KD1 m269";"Fv 562";"Vestland";"Askøy";60,402649;5,211518;"0.88975@805079";NA;2020;100;100;3820;3490;330;-3,15;-8,03;NA;NA
"08446V805082";"Storeklubben, Rampe Kleppestø-Strusshamn";"FV562 S1D1 m3555 KD2 m34";"Fv 562";"Vestland";"Askøy";60,402518;5,210758;"0.08446@805082";NA;2020;100;100;1710;1630;80;0,53;-8,06;NA;NA
"05406V805081";"Storeklubben, Strusshamn-Kleppestø-Askøybrua";"FV562 S1D1 m3555 KD4 m29";"Fv 562";"Vestland";"Askøy";60,402497;5,210879;"0.05406@805081";NA;2020;100;100;4900;4530;370;-3,71;-7,39;NA;NA
"65743V805722";"Juvik Nord";"FV562 S1D1 m6520";"Fv 562";"Vestland";"Askøy";60,426053;5,195758;"0.65743@805722";NA;2021;100;65;14610;8650;830;NA;NA;NA;NA
"02345V805724";"Florvågtunnelen (Bil)";"FV563 S1D1 m1685";"Fv 563";"Vestland";"Askøy";60,412734;5,232013;"0.02447@805724";NA;2021;100;100;7200;6740;460;-4,01;-4,98;6,43;-2,9
"27366V805728";"Alversund Skule";"FV565 S1D1 m2379";"Fv 565";"Vestland";"Alver";60,56943;5,237176;"0.30023@3226759";NA;2019;79,27;100;7360;6810;540;0,58;NA;NA;NA
"81009V805718";"Bjørndalstræ";"FV574 S2D1 m3561";"Fv 574";"Vestland";"Bergen";60,359852;5,242661;"0.81699@805718";1204053;2020;99,98;98;5900;5410;350;-5,84;-12,92;NA;NA
"86173V805748";"Torget";"FV577 S1D1 m1022";"Fv 577";"Vestland";"Bergen";60,395323;5,325935;"0.86172@805748";1209097;2021;100;97;10860;8980;1520;-8,68;-19,99;7,05;-21,8
"68392V2574613";"Åsamyrene Sør";"FV578 S2D1 m300";"Fv 578";"Vestland";"Bergen";60,470648;5,326825;"0.68392@2574613";NA;2021;98,08;100;14290;13150;1120;-3,42;-3,22;7,86;0,8
"81885V2574569";"Åsamyrane";"FV578 S2D1 m413";"Fv 578";"Vestland";"Bergen";60,471455;5,328995;"0.83241@2574569";NA;2021;100;100;15390;13880;1510;-3,62;-2,41;7;0,6
"73916V805421";"Vågsbotn Fv578";"FV578 S3D1 m928";"Fv 578";"Vestland";"Bergen";60,476641;5,34775;"0.73916@805421";1203002;2021;85,48;100;5580;4800;770;-11,99;-1,85;2,87;-11,1
"03038V2403072";"Skjold";"FV582 S1D1 m272";"Fv 582";"Vestland";"Bergen";60,303045;5,33239;"0.03038@2403072";1200149;2021;93,98;100;18580;17140;1400;-7,29;-10,72;7,13;-11,3
"63829V805140";"Storetveitveien Bom";"FV582 S2D1 m3716";"Fv 582";"Vestland";"Bergen";60,345379;5,347744;"0.63829@805140";1200092;2021;100;100;6600;6240;360;-2,94;0,4;4,37;1,7
"57211V805408";"Ibsensgate";"FV584 S1D1 m640";"Fv 584";"Vestland";"Bergen";60,373142;5,350081;"0.57792@805408";NA;2021;100;99;9790;8980;730;NA;NA;NA;NA
"27019V805142";"Michael Krohns Gate Ved Bomstasjon";"FV584 S1D1 m2851";"Fv 584";"Vestland";"Bergen";60,381649;5,317685;"0.27019@805142";1200091;2020;100;99;7210;6500;670;-2,24;-17,42;NA;NA
"57064V805714";"Gyldenpris - Puddefjordsbroen";"FV584 S1D1 m3009 KD2 m27";"Fv 584";"Vestland";"Bergen";60,38196;5,316023;"0.57064@805714";1200030;2020;99,95;100;740;540;200;0,23;12,03;NA;NA
"40830V805015";"Laksevåg - Puddefjordsbroen";"FV584 S1D1 m3009 KD3 m80";"Fv 584";"Vestland";"Bergen";60,382003;5,315859;"0.4083@805015";1200031;2021;75,61;100;1530;1250;280;-4,48;-54,22;16,37;-49,1
"16849V805748";"Natland Bomstasjon";"FV585 S1D1 m1689";"Fv 585";"Vestland";"Bergen";60,346759;5,364217;"0.1699@805748";1203240;2020;100;100;9040;8420;620;-1,86;-3,05;7,57;2,3
"26420V805748";"Mannsverk";"FV585 S1D1 m2625";"Fv 585";"Vestland";"Bergen";60,354571;5,368386;"0.26423@805748";1200068;2020;68,85;100;10390;9660;720;-1,75;-4,75;NA;NA
"71258V805748";"Kalfarbakken";"FV585 S1D1 m7055";"Fv 585";"Vestland";"Bergen";60,387905;5,343274;"0.71258@805748";1201211;2021;100;98;5280;4450;730;NA;NA;-2,05;NA
"20642V805115";"Heldal Farstavle";"FV587 S2D1 m3718";"Fv 587";"Vestland";"Bergen";60,344695;5,40441;"0.20642@805115";1204427;2021;62,19;100;8970;7820;1150;NA;NA;3,82;NA
"62279V805789";"Nordvik";"FV5158 S2D1 m243";"Fv 5158";"Vestland";"Bjørnafjorden";60,22503;5,374839;"0.62279@805789";1203111;2021;100;100;2100;1990;100;1,37;-10,81;-1,45;-10,9
"67622V805008";"Loddefjord Nord";"FV5216 S1D1 m975";"Fv 5216";"Vestland";"Bergen";60,37008;5,232315;"0.67622@805008";1200262;2021;99,99;100;12570;11920;650;-4,06;-3,84;4,1;-4
"54357V805355";"Steinrusten";"FV5256 S1D1 m1667";"Fv 5256";"Vestland";"Askøy";60,447379;5,207246;"0.55016@805355";NA;2021;100;100;4520;4190;340;4,11;-0,92;4,8;8,1
"31498V2574580";"Salhusveien";"FV5300 S1D1 m43";"Fv 5300";"Vestland";"Bergen";60,471445;5,327028;"0.31498@2574580";NA;2021;98,08;100;7490;6580;880;1,03;-1,75;6,54;5,8
"14247V2353784";"Gamle Nygårdsbro";"FV5332 S1D1 m235";"Fv 5332";"Vestland";"Bergen";60,381387;5,333237;"0.14247@2353784";1203134;2021;100;99;5060;4450;560;-4,76;-7,79;1,27;-11,1
"83347V805435";"Indre Arna";"FV5354 S2D1 m3728";"Fv 5354";"Vestland";"Bergen";60,421439;5,46144;"0.83347@805435";1203252;2021;99,73;100;8960;8080;880;2,83;-5,1;1,26;-1,2
"87138V755378";"Damsgårdsveien Bom";"KV4382 S1D1 m1203";"Kv 4382";"Vestland";"Bergen";60,382815;5,315452;"0.87128@755378";1200093;2021;99,73;98;920;830;70;-11,35;64,73;-12,04;28,5
