"road_category";"length_km";"municipality_number";"municipality_name"
"E";46;1103;"Stavanger"
"F";231;1103;"Stavanger"
"K";713;1103;"Stavanger"
"R";18;1103;"Stavanger"
"E";16;1108;"Sandnes"
"F";223;1108;"Sandnes"
"K";401;1108;"Sandnes"
"R";8;1108;"Sandnes"
"F";48;1124;"Sola"
"K";161;1124;"Sola"
"R";14;1124;"Sola"
"E";5;1127;"Randaberg"
"F";36;1127;"Randaberg"
"K";45;1127;"Randaberg"
