"road_category";"length_km";"municipality_number";"municipality_name";"county_number"
"E";4;3004;"Fredrikstad";30
"F";183;3004;"Fredrikstad";30
"K";460;3004;"Fredrikstad";30
"R";28;3004;"Fredrikstad";30
"E";24;3003;"Sarpsborg";30
"F";201;3003;"Sarpsborg";30
"K";319;3003;"Sarpsborg";30
"R";15;3003;"Sarpsborg";30
