"road_category";"length_km";"municipality_number";"municipality_name";"county_number"
"E";21;3312;"Lier";33
"F";90;3312;"Lier";33
"K";143;3312;"Lier";33
"E";26;3301;"Drammen";33
"F";130;3301;"Drammen";33
"K";369;3301;"Drammen";33
"R";2;3301;"Drammen";33
"E";19;3314;"Øvre Eiker";33
"F";123;3314;"Øvre Eiker";33
"K";110;3314;"Øvre Eiker";33
"R";14;3314;"Øvre Eiker";33
"E";20;3303;"Kongsberg";33
"F";154;3303;"Kongsberg";33
"K";180;3303;"Kongsberg";33
