"road_category";"length_km";"municipality_number";"municipality_name";"county_number"
"E";28;5001;"Trondheim";50
"F";243;5001;"Trondheim";50
"K";601;5001;"Trondheim";50
"R";14;5001;"Trondheim";50
"E";35;5028;"Melhus";50
"F";161;5028;"Melhus";50
"K";73;5028;"Melhus";50
"R";0;5028;"Melhus";50
"E";33;5031;"Malvik";50
"F";56;5031;"Malvik";50
"K";83;5031;"Malvik";50
"E";67;5035;"Stjørdal";50
"F";163;5035;"Stjørdal";50
"K";175;5035;"Stjørdal";50
"E";18;5029;"Skaun";50
"F";103;5029;"Skaun";50
"K";48;5029;"Skaun";50
"E";35;5059;"Orkland";50
"F";411;5059;"Orkland";50
"K";274;5059;"Orkland";50
