"road_category";"length_km";"municipality_number";"municipality_name"
"E";83;4601;"Bergen"
"F";340;4601;"Bergen"
"K";626;4601;"Bergen"
"R";22;4601;"Bergen"
"E";51;4631;"Alver"
"F";324;4631;"Alver"
"K";331;4631;"Alver"
"F";78;4627;"Askøy"
"K";92;4627;"Askøy"
"E";22;4624;"Bjørnafjorden"
"F";166;4624;"Bjørnafjorden"
"K";173;4624;"Bjørnafjorden"
