"road_category";"length_km";"municipality_number";"municipality_name";"county_number"
"E";77;4601;"Bergen";46
"F";328;4601;"Bergen";46
"K";631;4601;"Bergen";46
"R";19;4601;"Bergen";46
"E";51;4631;"Alver";46
"F";331;4631;"Alver";46
"K";328;4631;"Alver";46
"F";81;4627;"Askøy";46
"K";92;4627;"Askøy";46
"E";20;4624;"Bjørnafjorden";46
"F";166;4624;"Bjørnafjorden";46
"K";176;4624;"Bjørnafjorden";46
