"road_category";"length_km";"municipality_number";"municipality_name"
"F";42;3812;"Siljan"
"K";20;3812;"Siljan"
"E";19;3806;"Porsgrunn"
"F";72;3806;"Porsgrunn"
"K";244;3806;"Porsgrunn"
"R";12;3806;"Porsgrunn"
"F";191;3807;"Skien"
"K";418;3807;"Skien"
"R";27;3807;"Skien"
