"road_category";"length_km";"municipality_number";"municipality_name";"county_number"
"E";36;1103;"Stavanger";11
"F";240;1103;"Stavanger";11
"K";712;1103;"Stavanger";11
"R";11;1103;"Stavanger";11
"E";16;1108;"Sandnes";11
"F";235;1108;"Sandnes";11
"K";396;1108;"Sandnes";11
"R";7;1108;"Sandnes";11
"F";50;1124;"Sola";11
"K";161;1124;"Sola";11
"R";14;1124;"Sola";11
"E";14;1127;"Randaberg";11
"F";36;1127;"Randaberg";11
"K";45;1127;"Randaberg";11
