"road_category";"length_km";"municipality_number";"municipality_name";"county_number"
"E";38;4204;"Kristiansand";42
"F";322;4204;"Kristiansand";42
"K";559;4204;"Kristiansand";42
"R";28;4204;"Kristiansand";42
"F";130;4223;"Vennesla";42
"K";122;4223;"Vennesla";42
"R";31;4223;"Vennesla";42
