"road_category";"length_km";"municipality_number";"municipality_name"
"E";26;5001;"Trondheim"
"F";239;5001;"Trondheim"
"K";594;5001;"Trondheim"
"R";15;5001;"Trondheim"
"E";35;5028;"Melhus"
"F";158;5028;"Melhus"
"K";74;5028;"Melhus"
"R";0;5028;"Melhus"
"E";16;5031;"Malvik"
"F";54;5031;"Malvik"
"K";79;5031;"Malvik"
"E";54;5035;"Stjørdal"
"F";163;5035;"Stjørdal"
"K";176;5035;"Stjørdal"
