"road_category";"length_km";"municipality_number";"municipality_name"
"E";21;3049;"Lier"
"F";91;3049;"Lier"
"K";142;3049;"Lier"
"E";26;3005;"Drammen"
"F";131;3005;"Drammen"
"K";376;3005;"Drammen"
"R";2;3005;"Drammen"
"E";19;3048;"Øvre Eiker"
"F";123;3048;"Øvre Eiker"
"K";105;3048;"Øvre Eiker"
"R";14;3048;"Øvre Eiker"
"E";38;3006;"Kongsberg"
"F";145;3006;"Kongsberg"
"K";170;3006;"Kongsberg"
