Område;Vegkategori;døgn;lengdeklasse;periode;indeks;dekning;trafikkmengde indeksår;trafikkmengde basisår;standardavvik;konfidensintervall
Nord-Jæren ;K;Helgedøgn;>= 16,0m;Mars;-;-;-;-;-;-
Nord-Jæren ;K;Alle;Alle;April;-;-;-;-;-;-
Nord-Jæren ;K;Alle;< 5,6m;April;-;-;-;-;-;-
Nord-Jæren ;K;Alle;>= 5,6m;April;-;-;-;-;-;-
Nord-Jæren ;K;Alle;5,6m - 7,6m;April;-;-;-;-;-;-
Nord-Jæren ;K;Alle;7,6m - 12,5m;April;-;-;-;-;-;-
Nord-Jæren ;K;Alle;12,5m - 16,0m;April;-;-;-;-;-;-
Nord-Jæren ;K;Alle;>= 16,0m;April;-;-;-;-;-;-
Nord-Jæren ;K;Yrkesdøgn;Alle;April;-;-;-;-;-;-
Nord-Jæren ;K;Yrkesdøgn;< 5,6m;April;-;-;-;-;-;-
Nord-Jæren ;K;Yrkesdøgn;>= 5,6m;April;-;-;-;-;-;-
Nord-Jæren ;K;Yrkesdøgn;5,6m - 7,6m;April;-;-;-;-;-;-
Nord-Jæren ;K;Yrkesdøgn;7,6m - 12,5m;April;-;-;-;-;-;-
Nord-Jæren ;K;Yrkesdøgn;12,5m - 16,0m;April;-;-;-;-;-;-
Nord-Jæren ;K;Yrkesdøgn;>= 16,0m;April;-;-;-;-;-;-
Nord-Jæren ;K;Helgedøgn;Alle;April;-;-;-;-;-;-
Nord-Jæren ;K;Helgedøgn;< 5,6m;April;-;-;-;-;-;-
Nord-Jæren ;K;Helgedøgn;>= 5,6m;April;-;-;-;-;-;-
Nord-Jæren ;K;Helgedøgn;5,6m - 7,6m;April;-;-;-;-;-;-
Nord-Jæren ;K;Helgedøgn;7,6m - 12,5m;April;-;-;-;-;-;-
Nord-Jæren ;K;Helgedøgn;12,5m - 16,0m;April;-;-;-;-;-;-
Nord-Jæren ;K;Helgedøgn;>= 16,0m;April;-;-;-;-;-;-
Nord-Jæren ;K;Alle;Alle;Mai;-;-;-;-;-;-
Nord-Jæren ;K;Alle;< 5,6m;Mai;-;-;-;-;-;-
Nord-Jæren ;K;Alle;>= 5,6m;Mai;-;-;-;-;-;-
Nord-Jæren ;K;Alle;5,6m - 7,6m;Mai;-;-;-;-;-;-
Nord-Jæren ;K;Alle;7,6m - 12,5m;Mai;-;-;-;-;-;-
Nord-Jæren ;K;Alle;12,5m - 16,0m;Mai;-;-;-;-;-;-
Nord-Jæren ;K;Alle;>= 16,0m;Mai;-;-;-;-;-;-
Nord-Jæren ;K;Yrkesdøgn;Alle;Mai;-;-;-;-;-;-
Nord-Jæren ;K;Yrkesdøgn;< 5,6m;Mai;-;-;-;-;-;-
Nord-Jæren ;K;Yrkesdøgn;>= 5,6m;Mai;-;-;-;-;-;-
Nord-Jæren ;K;Yrkesdøgn;5,6m - 7,6m;Mai;-;-;-;-;-;-
Nord-Jæren ;K;Yrkesdøgn;7,6m - 12,5m;Mai;-;-;-;-;-;-
Nord-Jæren ;K;Yrkesdøgn;12,5m - 16,0m;Mai;-;-;-;-;-;-
Nord-Jæren ;K;Yrkesdøgn;>= 16,0m;Mai;-;-;-;-;-;-
Nord-Jæren ;K;Helgedøgn;Alle;Mai;-;-;-;-;-;-
Nord-Jæren ;K;Helgedøgn;< 5,6m;Mai;-;-;-;-;-;-
Nord-Jæren ;K;Helgedøgn;>= 5,6m;Mai;-;-;-;-;-;-
Nord-Jæren ;K;Helgedøgn;5,6m - 7,6m;Mai;-;-;-;-;-;-
Nord-Jæren ;K;Helgedøgn;7,6m - 12,5m;Mai;-;-;-;-;-;-
Nord-Jæren ;K;Helgedøgn;12,5m - 16,0m;Mai;-;-;-;-;-;-
Nord-Jæren ;K;Helgedøgn;>= 16,0m;Mai;-;-;-;-;-;-
Nord-Jæren ;K;Alle;Alle;Juni;-;-;-;-;-;-
Nord-Jæren ;K;Alle;< 5,6m;Juni;-;-;-;-;-;-
Nord-Jæren ;K;Alle;>= 5,6m;Juni;-;-;-;-;-;-
Nord-Jæren ;K;Alle;5,6m - 7,6m;Juni;-;-;-;-;-;-
Nord-Jæren ;K;Alle;7,6m - 12,5m;Juni;-;-;-;-;-;-
Nord-Jæren ;K;Alle;12,5m - 16,0m;Juni;-;-;-;-;-;-
Nord-Jæren ;K;Alle;>= 16,0m;Juni;-;-;-;-;-;-
Nord-Jæren ;K;Yrkesdøgn;Alle;Juni;-;-;-;-;-;-
Nord-Jæren ;K;Yrkesdøgn;< 5,6m;Juni;-;-;-;-;-;-
Nord-Jæren ;K;Yrkesdøgn;>= 5,6m;Juni;-;-;-;-;-;-
Nord-Jæren ;K;Yrkesdøgn;5,6m - 7,6m;Juni;-;-;-;-;-;-
Nord-Jæren ;K;Yrkesdøgn;7,6m - 12,5m;Juni;-;-;-;-;-;-
Nord-Jæren ;K;Yrkesdøgn;12,5m - 16,0m;Juni;-;-;-;-;-;-
Nord-Jæren ;K;Yrkesdøgn;>= 16,0m;Juni;-;-;-;-;-;-
Nord-Jæren ;K;Helgedøgn;Alle;Juni;-;-;-;-;-;-
Nord-Jæren ;K;Helgedøgn;< 5,6m;Juni;-;-;-;-;-;-
Nord-Jæren ;K;Helgedøgn;>= 5,6m;Juni;-;-;-;-;-;-
Nord-Jæren ;K;Helgedøgn;5,6m - 7,6m;Juni;-;-;-;-;-;-
Nord-Jæren ;K;Helgedøgn;7,6m - 12,5m;Juni;-;-;-;-;-;-
Nord-Jæren ;K;Helgedøgn;12,5m - 16,0m;Juni;-;-;-;-;-;-
Nord-Jæren ;K;Helgedøgn;>= 16,0m;Juni;-;-;-;-;-;-
Nord-Jæren ;K;Alle;Alle;Juli;-;-;-;-;-;-
Nord-Jæren ;K;Alle;< 5,6m;Juli;-;-;-;-;-;-
Nord-Jæren ;K;Alle;>= 5,6m;Juli;-;-;-;-;-;-
Nord-Jæren ;K;Alle;5,6m - 7,6m;Juli;-;-;-;-;-;-
Nord-Jæren ;K;Alle;7,6m - 12,5m;Juli;-;-;-;-;-;-
Nord-Jæren ;K;Alle;12,5m - 16,0m;Juli;-;-;-;-;-;-
Nord-Jæren ;K;Alle;>= 16,0m;Juli;-;-;-;-;-;-
Nord-Jæren ;K;Yrkesdøgn;Alle;Juli;-;-;-;-;-;-
Nord-Jæren ;K;Yrkesdøgn;< 5,6m;Juli;-;-;-;-;-;-
Nord-Jæren ;K;Yrkesdøgn;>= 5,6m;Juli;-;-;-;-;-;-
Nord-Jæren ;K;Yrkesdøgn;5,6m - 7,6m;Juli;-;-;-;-;-;-
Nord-Jæren ;K;Yrkesdøgn;7,6m - 12,5m;Juli;-;-;-;-;-;-
Nord-Jæren ;K;Yrkesdøgn;12,5m - 16,0m;Juli;-;-;-;-;-;-
Nord-Jæren ;K;Yrkesdøgn;>= 16,0m;Juli;-;-;-;-;-;-
Nord-Jæren ;K;Helgedøgn;Alle;Juli;-;-;-;-;-;-
Nord-Jæren ;K;Helgedøgn;< 5,6m;Juli;-;-;-;-;-;-
Nord-Jæren ;K;Helgedøgn;>= 5,6m;Juli;-;-;-;-;-;-
Nord-Jæren ;K;Helgedøgn;5,6m - 7,6m;Juli;-;-;-;-;-;-
Nord-Jæren ;K;Helgedøgn;7,6m - 12,5m;Juli;-;-;-;-;-;-
Nord-Jæren ;K;Helgedøgn;12,5m - 16,0m;Juli;-;-;-;-;-;-
Nord-Jæren ;K;Helgedøgn;>= 16,0m;Juli;-;-;-;-;-;-
Nord-Jæren ;K;Alle;Alle;August;-;-;-;-;-;-
Nord-Jæren ;K;Alle;< 5,6m;August;-;-;-;-;-;-
Nord-Jæren ;K;Alle;>= 5,6m;August;-;-;-;-;-;-
Nord-Jæren ;K;Alle;5,6m - 7,6m;August;-;-;-;-;-;-
Nord-Jæren ;K;Alle;7,6m - 12,5m;August;-;-;-;-;-;-
Nord-Jæren ;K;Alle;12,5m - 16,0m;August;-;-;-;-;-;-
Nord-Jæren ;K;Alle;>= 16,0m;August;-;-;-;-;-;-
Nord-Jæren ;K;Yrkesdøgn;Alle;August;-;-;-;-;-;-
Nord-Jæren ;K;Yrkesdøgn;< 5,6m;August;-;-;-;-;-;-
Nord-Jæren ;K;Yrkesdøgn;>= 5,6m;August;-;-;-;-;-;-
Nord-Jæren ;K;Yrkesdøgn;5,6m - 7,6m;August;-;-;-;-;-;-
Nord-Jæren ;K;Yrkesdøgn;7,6m - 12,5m;August;-;-;-;-;-;-
Nord-Jæren ;K;Yrkesdøgn;12,5m - 16,0m;August;-;-;-;-;-;-
Nord-Jæren ;K;Yrkesdøgn;>= 16,0m;August;-;-;-;-;-;-
Nord-Jæren ;K;Helgedøgn;Alle;August;-;-;-;-;-;-
Nord-Jæren ;K;Helgedøgn;< 5,6m;August;-;-;-;-;-;-
Nord-Jæren ;K;Helgedøgn;>= 5,6m;August;-;-;-;-;-;-
Nord-Jæren ;K;Helgedøgn;5,6m - 7,6m;August;-;-;-;-;-;-
Nord-Jæren ;K;Helgedøgn;7,6m - 12,5m;August;-;-;-;-;-;-
Nord-Jæren ;K;Helgedøgn;12,5m - 16,0m;August;-;-;-;-;-;-
Nord-Jæren ;K;Helgedøgn;>= 16,0m;August;-;-;-;-;-;-
Nord-Jæren ;K;Alle;Alle;Siste 12 måneder;-;-;-;-;-;-
Nord-Jæren ;K;Alle;< 5,6m;Siste 12 måneder;-;-;-;-;-;-
Nord-Jæren ;K;Alle;>= 5,6m;Siste 12 måneder;-;-;-;-;-;-
Nord-Jæren ;K;Alle;5,6m - 7,6m;Siste 12 måneder;-;-;-;-;-;-
Nord-Jæren ;K;Alle;7,6m - 12,5m;Siste 12 måneder;-;-;-;-;-;-
Nord-Jæren ;K;Alle;12,5m - 16,0m;Siste 12 måneder;-;-;-;-;-;-
Nord-Jæren ;K;Alle;>= 16,0m;Siste 12 måneder;-;-;-;-;-;-
Nord-Jæren ;K;Yrkesdøgn;Alle;Siste 12 måneder;-;-;-;-;-;-
Nord-Jæren ;K;Yrkesdøgn;< 5,6m;Siste 12 måneder;-;-;-;-;-;-
Nord-Jæren ;K;Yrkesdøgn;>= 5,6m;Siste 12 måneder;-;-;-;-;-;-
Nord-Jæren ;K;Yrkesdøgn;5,6m - 7,6m;Siste 12 måneder;-;-;-;-;-;-
Nord-Jæren ;K;Yrkesdøgn;7,6m - 12,5m;Siste 12 måneder;-;-;-;-;-;-
Nord-Jæren ;K;Yrkesdøgn;12,5m - 16,0m;Siste 12 måneder;-;-;-;-;-;-
Nord-Jæren ;K;Yrkesdøgn;>= 16,0m;Siste 12 måneder;-;-;-;-;-;-
Nord-Jæren ;K;Helgedøgn;Alle;Siste 12 måneder;-;-;-;-;-;-
Nord-Jæren ;K;Helgedøgn;< 5,6m;Siste 12 måneder;-;-;-;-;-;-
Nord-Jæren ;K;Helgedøgn;>= 5,6m;Siste 12 måneder;-;-;-;-;-;-
Nord-Jæren ;K;Helgedøgn;5,6m - 7,6m;Siste 12 måneder;-;-;-;-;-;-
Nord-Jæren ;K;Helgedøgn;7,6m - 12,5m;Siste 12 måneder;-;-;-;-;-;-
Nord-Jæren ;K;Helgedøgn;12,5m - 16,0m;Siste 12 måneder;-;-;-;-;-;-
Nord-Jæren ;K;Helgedøgn;>= 16,0m;Siste 12 måneder;-;-;-;-;-;-
Nord-Jæren ;K;Alle;Alle;Hittil i år;-;-;-;-;-;-
Nord-Jæren ;K;Alle;< 5,6m;Hittil i år;-;-;-;-;-;-
Nord-Jæren ;K;Alle;>= 5,6m;Hittil i år;-;-;-;-;-;-
Nord-Jæren ;K;Alle;5,6m - 7,6m;Hittil i år;-;-;-;-;-;-
Nord-Jæren ;K;Alle;7,6m - 12,5m;Hittil i år;-;-;-;-;-;-
Nord-Jæren ;K;Alle;12,5m - 16,0m;Hittil i år;-;-;-;-;-;-
Nord-Jæren ;K;Alle;>= 16,0m;Hittil i år;-;-;-;-;-;-
Nord-Jæren ;K;Yrkesdøgn;Alle;Hittil i år;-;-;-;-;-;-
Nord-Jæren ;K;Yrkesdøgn;< 5,6m;Hittil i år;-;-;-;-;-;-
Nord-Jæren ;K;Yrkesdøgn;>= 5,6m;Hittil i år;-;-;-;-;-;-
Nord-Jæren ;K;Yrkesdøgn;5,6m - 7,6m;Hittil i år;-;-;-;-;-;-
Nord-Jæren ;K;Yrkesdøgn;7,6m - 12,5m;Hittil i år;-;-;-;-;-;-
Nord-Jæren ;K;Yrkesdøgn;12,5m - 16,0m;Hittil i år;-;-;-;-;-;-
Nord-Jæren ;K;Yrkesdøgn;>= 16,0m;Hittil i år;-;-;-;-;-;-
Nord-Jæren ;K;Helgedøgn;Alle;Hittil i år;-;-;-;-;-;-
Nord-Jæren ;K;Helgedøgn;< 5,6m;Hittil i år;-;-;-;-;-;-
Nord-Jæren ;K;Helgedøgn;>= 5,6m;Hittil i år;-;-;-;-;-;-
Nord-Jæren ;K;Helgedøgn;5,6m - 7,6m;Hittil i år;-;-;-;-;-;-
Nord-Jæren ;K;Helgedøgn;7,6m - 12,5m;Hittil i år;-;-;-;-;-;-
Nord-Jæren ;K;Helgedøgn;12,5m - 16,0m;Hittil i år;-;-;-;-;-;-
Nord-Jæren ;K;Helgedøgn;>= 16,0m;Hittil i år;-;-;-;-;-;-
Nord-Jæren ;R;Alle;Alle;Januar;0,140;99,000;2140246;2137247;6.511;10.361
Nord-Jæren ;R;Alle;< 5,6m;Januar;0,116;99,000;1953107;1950852;7.003;11.143
Nord-Jæren ;R;Alle;>= 5,6m;Januar;0,276;99,000;186313;185800;3.037;4.832
Nord-Jæren ;R;Alle;5,6m - 7,6m;Januar;6,181;99,000;64747;60978;14.247;22.670
Nord-Jæren ;R;Alle;7,6m - 12,5m;Januar;0,671;99,000;54797;54432;4.267;6.790
Nord-Jæren ;R;Alle;12,5m - 16,0m;Januar;8,563;99,000;25939;23893;60.817;96.774
Nord-Jæren ;R;Alle;>= 16,0m;Januar;-12,188;99,000;40830;46497;2.606;4.147
Nord-Jæren ;R;Yrkesdøgn;Alle;Januar;0,130;99,000;1701117;1698906;6.627;10.544
Nord-Jæren ;R;Yrkesdøgn;< 5,6m;Januar;0,126;99,000;1533329;1531406;7.237;11.516
Nord-Jæren ;R;Yrkesdøgn;>= 5,6m;Januar;0,078;99,000;167100;166969;3.325;5.290
Nord-Jæren ;R;Yrkesdøgn;5,6m - 7,6m;Januar;6,199;99,000;57206;53867;14.487;23.052
Nord-Jæren ;R;Yrkesdøgn;7,6m - 12,5m;Januar;0,724;99,000;50235;49874;5.069;8.066
Nord-Jæren ;R;Yrkesdøgn;12,5m - 16,0m;Januar;9,532;99,000;22776;20794;67.738;107.786
Nord-Jæren ;R;Yrkesdøgn;>= 16,0m;Januar;-13,081;99,000;36883;42434;3.533;5.621
Nord-Jæren ;R;Helgedøgn;Alle;Januar;0,180;99,000;439129;438341;6.103;9.712
Nord-Jæren ;R;Helgedøgn;< 5,6m;Januar;0,079;99,000;419778;419446;6.189;9.848
Nord-Jæren ;R;Helgedøgn;>= 5,6m;Januar;2,029;99,000;19213;18831;5.284;8.408
Nord-Jæren ;R;Helgedøgn;5,6m - 7,6m;Januar;6,047;99,000;7541;7111;14.018;22.306
Nord-Jæren ;R;Helgedøgn;7,6m - 12,5m;Januar;0,088;99,000;4562;4558;4.213;6.705
Nord-Jæren ;R;Helgedøgn;12,5m - 16,0m;Januar;2,065;99,000;3163;3099;22.637;36.020
Nord-Jæren ;R;Helgedøgn;>= 16,0m;Januar;-2,855;99,000;3947;4063;7.664;12.195
Nord-Jæren ;R;Alle;Alle;Februar;0,525;96,000;1897910;1887993;6.401;10.185
Nord-Jæren ;R;Alle;< 5,6m;Februar;0,592;96,000;1729348;1719172;7.178;11.422
Nord-Jæren ;R;Alle;>= 5,6m;Februar;-0,378;96,000;167507;168143;3.254;5.178
Nord-Jæren ;R;Alle;5,6m - 7,6m;Februar;4,154;96,000;56183;53942;12.750;20.288
Nord-Jæren ;R;Alle;7,6m - 12,5m;Februar;-0,418;96,000;49806;50015;4.566;7.265
Nord-Jæren ;R;Alle;12,5m - 16,0m;Februar;8,544;96,000;23935;22051;60.499;96.268
Nord-Jæren ;R;Alle;>= 16,0m;Februar;-10,803;96,000;37583;42135;4.831;7.688
Nord-Jæren ;R;Yrkesdøgn;Alle;Februar;-0,582;95,000;1487481;1496189;4.624;7.358
Nord-Jæren ;R;Yrkesdøgn;< 5,6m;Februar;-0,505;95,000;1337831;1344624;5.413;8.613
Nord-Jæren ;R;Yrkesdøgn;>= 5,6m;Februar;-1,399;95,000;148849;150961;4.259;6.778
Nord-Jæren ;R;Yrkesdøgn;5,6m - 7,6m;Februar;2,854;95,000;49051;47690;11.851;18.857
Nord-Jæren ;R;Yrkesdøgn;7,6m - 12,5m;Februar;-1,593;95,000;44974;45702;6.223;9.902
Nord-Jæren ;R;Yrkesdøgn;12,5m - 16,0m;Februar;9,086;95,000;20855;19118;67.353;107.173
Nord-Jæren ;R;Yrkesdøgn;>= 16,0m;Februar;-11,656;95,000;33969;38451;5.702;9.074
Nord-Jæren ;R;Helgedøgn;Alle;Februar;4,754;98,000;410429;391804;13.723;21.836
Nord-Jæren ;R;Helgedøgn;< 5,6m;Februar;4,531;98,000;391517;374548;13.633;21.693
Nord-Jæren ;R;Helgedøgn;>= 5,6m;Februar;8,590;98,000;18658;17182;16.934;26.946
Nord-Jæren ;R;Helgedøgn;5,6m - 7,6m;Februar;14,075;98,000;7132;6252;23.904;38.037
Nord-Jæren ;R;Helgedøgn;7,6m - 12,5m;Februar;12,033;98,000;4832;4313;22.845;36.352
Nord-Jæren ;R;Helgedøgn;12,5m - 16,0m;Februar;5,012;98,000;3080;2933;29.786;47.396
Nord-Jæren ;R;Helgedøgn;>= 16,0m;Februar;-1,900;98,000;3614;3684;2.504;3.984
Nord-Jæren ;R;Alle;Alle;Mars;4,195;99,000;1702524;1633983;1.280;3.181
Nord-Jæren ;R;Alle;< 5,6m;Mars;4,039;99,000;1554894;1494523;1.199;2.978
Nord-Jæren ;R;Alle;>= 5,6m;Mars;5,879;99,000;147192;139019;2.697;6.701
Nord-Jæren ;R;Alle;5,6m - 7,6m;Mars;6,034;99,000;45989;43372;3.120;7.752
Nord-Jæren ;R;Alle;7,6m - 12,5m;Mars;5,663;99,000;42581;40299;3.604;8.953
Nord-Jæren ;R;Alle;12,5m - 16,0m;Mars;37,529;99,000;21482;15620;67.871;168.601
Nord-Jæren ;R;Alle;>= 16,0m;Mars;-6,514;99,000;37140;39728;5.218;12.963
Nord-Jæren ;R;Yrkesdøgn;Alle;Mars;5,302;99,000;1302968;1237358;1.940;4.819
Nord-Jæren ;R;Yrkesdøgn;< 5,6m;Mars;5,142;99,000;1174495;1117060;1.867;4.637
Nord-Jæren ;R;Yrkesdøgn;>= 5,6m;Mars;6,825;99,000;128111;119926;3.275;8.135
