Område;Vegkategori;døgn;lengdeklasse;periode;indeks;dekning;trafikkmengde indeksår;trafikkmengde basisår;standardavvik;konfidensintervall
Oslo og Akershus;E;Yrkesdøgn;< 5,6m;Mars;24,276;87,000;6641937;5344503;4.167;4.373
Oslo og Akershus;E;Yrkesdøgn;>= 5,6m;Mars;24,950;87,000;945829;756964;5.319;5.582
Oslo og Akershus;E;Yrkesdøgn;5,6m - 7,6m;Mars;30,605;87,000;253722;194267;7.672;8.051
Oslo og Akershus;E;Yrkesdøgn;7,6m - 12,5m;Mars;26,523;87,000;256329;202595;7.633;8.010
Oslo og Akershus;E;Yrkesdøgn;12,5m - 16,0m;Mars;19,325;87,000;169310;141890;16.645;17.468
Oslo og Akershus;E;Yrkesdøgn;>= 16,0m;Mars;22,114;87,000;266468;218212;5.878;6.168
Oslo og Akershus;E;Helgedøgn;Alle;Mars;-17,252;94,000;1929187;2331401;4.147;4.352
Oslo og Akershus;E;Helgedøgn;< 5,6m;Mars;-17,366;94,000;1826774;2210682;3.992;4.189
Oslo og Akershus;E;Helgedøgn;>= 5,6m;Mars;-15,165;94,000;102326;120617;9.087;9.536
Oslo og Akershus;E;Helgedøgn;5,6m - 7,6m;Mars;-10,734;94,000;28284;31685;11.840;12.425
Oslo og Akershus;E;Helgedøgn;7,6m - 12,5m;Mars;-12,963;94,000;28919;33226;8.053;8.451
Oslo og Akershus;E;Helgedøgn;12,5m - 16,0m;Mars;-21,648;94,000;23722;30276;17.525;18.391
Oslo og Akershus;E;Helgedøgn;>= 16,0m;Mars;-15,843;94,000;21401;25430;3.215;3.374
Oslo og Akershus;E;Alle;Alle;April;-7,312;92,000;8775980;9468318;4.462;4.683
Oslo og Akershus;E;Alle;< 5,6m;April;-6,833;92,000;7827794;8401891;4.918;5.161
Oslo og Akershus;E;Alle;>= 5,6m;April;-11,076;92,000;946275;1064139;2.168;2.276
Oslo og Akershus;E;Alle;5,6m - 7,6m;April;-10,479;92,000;250311;279613;4.712;4.945
Oslo og Akershus;E;Alle;7,6m - 12,5m;April;-9,843;92,000;278022;308375;5.126;5.379
Oslo og Akershus;E;Alle;12,5m - 16,0m;April;-11,112;92,000;173041;194673;8.984;9.428
Oslo og Akershus;E;Alle;>= 16,0m;April;-12,995;92,000;244901;281478;5.716;5.999
Oslo og Akershus;E;Yrkesdøgn;Alle;April;-18,174;93,000;5958119;7281427;2.932;3.077
Oslo og Akershus;E;Yrkesdøgn;< 5,6m;April;-18,389;93,000;5179689;6346825;3.093;3.245
Oslo og Akershus;E;Yrkesdøgn;>= 5,6m;April;-16,693;93,000;776799;932459;2.494;2.617
Oslo og Akershus;E;Yrkesdøgn;5,6m - 7,6m;April;-16,243;93,000;205159;244945;4.772;5.008
Oslo og Akershus;E;Yrkesdøgn;7,6m - 12,5m;April;-15,871;93,000;222780;264809;5.839;6.128
Oslo og Akershus;E;Yrkesdøgn;12,5m - 16,0m;April;-18,420;93,000;135258;165799;7.987;8.382
Oslo og Akershus;E;Yrkesdøgn;>= 16,0m;April;-16,856;93,000;213602;256906;4.850;5.090
Oslo og Akershus;E;Helgedøgn;Alle;April;28,852;92,000;2817861;2186891;12.646;13.272
Oslo og Akershus;E;Helgedøgn;< 5,6m;April;28,857;92,000;2648105;2055066;13.002;13.645
Oslo og Akershus;E;Helgedøgn;>= 5,6m;April;28,703;92,000;169476;131680;8.349;8.761
Oslo og Akershus;E;Helgedøgn;5,6m - 7,6m;April;30,241;92,000;45152;34668;10.128;10.629
Oslo og Akershus;E;Helgedøgn;7,6m - 12,5m;April;26,801;92,000;55242;43566;7.495;7.866
Oslo og Akershus;E;Helgedøgn;12,5m - 16,0m;April;30,855;92,000;37783;28874;16.909;17.744
Oslo og Akershus;E;Helgedøgn;>= 16,0m;April;27,377;92,000;31299;24572;17.776;18.654
Oslo og Akershus;E;Alle;Alle;Mai;4,277;97,000;10753868;10312826;4.765;5.001
Oslo og Akershus;E;Alle;< 5,6m;Mai;3,521;97,000;9458085;9136350;4.598;4.825
