Område;Vegkategori;døgn;lengdeklasse;periode;indeks;dekning;trafikkmengde indeksår;trafikkmengde basisår;standardavvik;konfidensintervall
Nedre Glomma;K;Alle;Alle;Januar;-;-;-;-;-;-
Nedre Glomma;K;Alle;< 5,6m;Januar;-;-;-;-;-;-
Nedre Glomma;K;Alle;>= 5,6m;Januar;-;-;-;-;-;-
Nedre Glomma;K;Alle;5,6m - 7,6m;Januar;-;-;-;-;-;-
Nedre Glomma;K;Alle;7,6m - 12,5m;Januar;-;-;-;-;-;-
Nedre Glomma;K;Alle;12,5m - 16,0m;Januar;-;-;-;-;-;-
Nedre Glomma;K;Alle;>= 16,0m;Januar;-;-;-;-;-;-
Nedre Glomma;K;Yrkesdøgn;Alle;Januar;-;-;-;-;-;-
Nedre Glomma;K;Yrkesdøgn;< 5,6m;Januar;-;-;-;-;-;-
Nedre Glomma;K;Yrkesdøgn;>= 5,6m;Januar;-;-;-;-;-;-
Nedre Glomma;K;Yrkesdøgn;5,6m - 7,6m;Januar;-;-;-;-;-;-
Nedre Glomma;K;Yrkesdøgn;7,6m - 12,5m;Januar;-;-;-;-;-;-
Nedre Glomma;K;Yrkesdøgn;12,5m - 16,0m;Januar;-;-;-;-;-;-
Nedre Glomma;K;Yrkesdøgn;>= 16,0m;Januar;-;-;-;-;-;-
Nedre Glomma;K;Helgedøgn;Alle;Januar;-;-;-;-;-;-
Nedre Glomma;K;Helgedøgn;< 5,6m;Januar;-;-;-;-;-;-
Nedre Glomma;K;Helgedøgn;>= 5,6m;Januar;-;-;-;-;-;-
Nedre Glomma;K;Helgedøgn;5,6m - 7,6m;Januar;-;-;-;-;-;-
Nedre Glomma;K;Helgedøgn;7,6m - 12,5m;Januar;-;-;-;-;-;-
Nedre Glomma;K;Helgedøgn;12,5m - 16,0m;Januar;-;-;-;-;-;-
Nedre Glomma;K;Helgedøgn;>= 16,0m;Januar;-;-;-;-;-;-
Nedre Glomma;K;Alle;Alle;Februar;-;-;-;-;-;-
Nedre Glomma;K;Alle;< 5,6m;Februar;-;-;-;-;-;-
Nedre Glomma;K;Alle;>= 5,6m;Februar;-;-;-;-;-;-
Nedre Glomma;K;Alle;5,6m - 7,6m;Februar;-;-;-;-;-;-
Nedre Glomma;K;Alle;7,6m - 12,5m;Februar;-;-;-;-;-;-
Nedre Glomma;K;Alle;12,5m - 16,0m;Februar;-;-;-;-;-;-
Nedre Glomma;K;Alle;>= 16,0m;Februar;-;-;-;-;-;-
Nedre Glomma;K;Yrkesdøgn;Alle;Februar;-;-;-;-;-;-
Nedre Glomma;K;Yrkesdøgn;< 5,6m;Februar;-;-;-;-;-;-
Nedre Glomma;K;Yrkesdøgn;>= 5,6m;Februar;-;-;-;-;-;-
Nedre Glomma;K;Yrkesdøgn;5,6m - 7,6m;Februar;-;-;-;-;-;-
Nedre Glomma;K;Yrkesdøgn;7,6m - 12,5m;Februar;-;-;-;-;-;-
Nedre Glomma;K;Yrkesdøgn;12,5m - 16,0m;Februar;-;-;-;-;-;-
Nedre Glomma;K;Yrkesdøgn;>= 16,0m;Februar;-;-;-;-;-;-
Nedre Glomma;K;Helgedøgn;Alle;Februar;-;-;-;-;-;-
Nedre Glomma;K;Helgedøgn;< 5,6m;Februar;-;-;-;-;-;-
Nedre Glomma;K;Helgedøgn;>= 5,6m;Februar;-;-;-;-;-;-
Nedre Glomma;K;Helgedøgn;5,6m - 7,6m;Februar;-;-;-;-;-;-
Nedre Glomma;K;Helgedøgn;7,6m - 12,5m;Februar;-;-;-;-;-;-
Nedre Glomma;K;Helgedøgn;12,5m - 16,0m;Februar;-;-;-;-;-;-
Nedre Glomma;K;Helgedøgn;>= 16,0m;Februar;-;-;-;-;-;-
Nedre Glomma;K;Alle;Alle;Mars;-;-;-;-;-;-
Nedre Glomma;K;Alle;< 5,6m;Mars;-;-;-;-;-;-
Nedre Glomma;K;Alle;>= 5,6m;Mars;-;-;-;-;-;-
Nedre Glomma;K;Alle;5,6m - 7,6m;Mars;-;-;-;-;-;-
Nedre Glomma;K;Alle;7,6m - 12,5m;Mars;-;-;-;-;-;-
Nedre Glomma;K;Alle;12,5m - 16,0m;Mars;-;-;-;-;-;-
Nedre Glomma;K;Alle;>= 16,0m;Mars;-;-;-;-;-;-
Nedre Glomma;K;Yrkesdøgn;Alle;Mars;-;-;-;-;-;-
Nedre Glomma;K;Yrkesdøgn;< 5,6m;Mars;-;-;-;-;-;-
Nedre Glomma;K;Yrkesdøgn;>= 5,6m;Mars;-;-;-;-;-;-
Nedre Glomma;K;Yrkesdøgn;5,6m - 7,6m;Mars;-;-;-;-;-;-
Nedre Glomma;K;Yrkesdøgn;7,6m - 12,5m;Mars;-;-;-;-;-;-
Nedre Glomma;K;Yrkesdøgn;12,5m - 16,0m;Mars;-;-;-;-;-;-
Nedre Glomma;K;Yrkesdøgn;>= 16,0m;Mars;-;-;-;-;-;-
Nedre Glomma;K;Helgedøgn;Alle;Mars;-;-;-;-;-;-
Nedre Glomma;K;Helgedøgn;< 5,6m;Mars;-;-;-;-;-;-
Nedre Glomma;K;Helgedøgn;>= 5,6m;Mars;-;-;-;-;-;-
Nedre Glomma;K;Helgedøgn;5,6m - 7,6m;Mars;-;-;-;-;-;-
Nedre Glomma;K;Helgedøgn;7,6m - 12,5m;Mars;-;-;-;-;-;-
Nedre Glomma;K;Helgedøgn;12,5m - 16,0m;Mars;-;-;-;-;-;-
Nedre Glomma;K;Helgedøgn;>= 16,0m;Mars;-;-;-;-;-;-
Nedre Glomma;K;Alle;Alle;April;-;-;-;-;-;-
Nedre Glomma;K;Alle;< 5,6m;April;-;-;-;-;-;-
Nedre Glomma;K;Alle;>= 5,6m;April;-;-;-;-;-;-
Nedre Glomma;K;Alle;5,6m - 7,6m;April;-;-;-;-;-;-
Nedre Glomma;K;Alle;7,6m - 12,5m;April;-;-;-;-;-;-
Nedre Glomma;K;Alle;12,5m - 16,0m;April;-;-;-;-;-;-
Nedre Glomma;K;Alle;>= 16,0m;April;-;-;-;-;-;-
Nedre Glomma;K;Yrkesdøgn;Alle;April;-;-;-;-;-;-
Nedre Glomma;K;Yrkesdøgn;< 5,6m;April;-;-;-;-;-;-
Nedre Glomma;K;Yrkesdøgn;>= 5,6m;April;-;-;-;-;-;-
Nedre Glomma;K;Yrkesdøgn;5,6m - 7,6m;April;-;-;-;-;-;-
Nedre Glomma;K;Yrkesdøgn;7,6m - 12,5m;April;-;-;-;-;-;-
Nedre Glomma;K;Yrkesdøgn;12,5m - 16,0m;April;-;-;-;-;-;-
Nedre Glomma;K;Yrkesdøgn;>= 16,0m;April;-;-;-;-;-;-
Nedre Glomma;K;Helgedøgn;Alle;April;-;-;-;-;-;-
Nedre Glomma;K;Helgedøgn;< 5,6m;April;-;-;-;-;-;-
Nedre Glomma;K;Helgedøgn;>= 5,6m;April;-;-;-;-;-;-
Nedre Glomma;K;Helgedøgn;5,6m - 7,6m;April;-;-;-;-;-;-
Nedre Glomma;K;Helgedøgn;7,6m - 12,5m;April;-;-;-;-;-;-
Nedre Glomma;K;Helgedøgn;12,5m - 16,0m;April;-;-;-;-;-;-
Nedre Glomma;K;Helgedøgn;>= 16,0m;April;-;-;-;-;-;-
Nedre Glomma;K;Alle;Alle;Mai;-;-;-;-;-;-
Nedre Glomma;K;Alle;< 5,6m;Mai;-;-;-;-;-;-
Nedre Glomma;K;Alle;>= 5,6m;Mai;-;-;-;-;-;-
Nedre Glomma;K;Alle;5,6m - 7,6m;Mai;-;-;-;-;-;-
Nedre Glomma;K;Alle;7,6m - 12,5m;Mai;-;-;-;-;-;-
Nedre Glomma;K;Alle;12,5m - 16,0m;Mai;-;-;-;-;-;-
Nedre Glomma;K;Alle;>= 16,0m;Mai;-;-;-;-;-;-
Nedre Glomma;K;Yrkesdøgn;Alle;Mai;-;-;-;-;-;-
Nedre Glomma;K;Yrkesdøgn;< 5,6m;Mai;-;-;-;-;-;-
Nedre Glomma;K;Yrkesdøgn;>= 5,6m;Mai;-;-;-;-;-;-
Nedre Glomma;K;Yrkesdøgn;5,6m - 7,6m;Mai;-;-;-;-;-;-
Nedre Glomma;K;Yrkesdøgn;7,6m - 12,5m;Mai;-;-;-;-;-;-
Nedre Glomma;K;Yrkesdøgn;12,5m - 16,0m;Mai;-;-;-;-;-;-
Nedre Glomma;K;Yrkesdøgn;>= 16,0m;Mai;-;-;-;-;-;-
Nedre Glomma;K;Helgedøgn;Alle;Mai;-;-;-;-;-;-
Nedre Glomma;K;Helgedøgn;< 5,6m;Mai;-;-;-;-;-;-
Nedre Glomma;K;Helgedøgn;>= 5,6m;Mai;-;-;-;-;-;-
Nedre Glomma;K;Helgedøgn;5,6m - 7,6m;Mai;-;-;-;-;-;-
Nedre Glomma;K;Helgedøgn;7,6m - 12,5m;Mai;-;-;-;-;-;-
Nedre Glomma;K;Helgedøgn;12,5m - 16,0m;Mai;-;-;-;-;-;-
Nedre Glomma;K;Helgedøgn;>= 16,0m;Mai;-;-;-;-;-;-
Nedre Glomma;K;Alle;Alle;Juni;-;-;-;-;-;-
Nedre Glomma;K;Alle;< 5,6m;Juni;-;-;-;-;-;-
Nedre Glomma;K;Alle;>= 5,6m;Juni;-;-;-;-;-;-
Nedre Glomma;K;Alle;5,6m - 7,6m;Juni;-;-;-;-;-;-
Nedre Glomma;K;Alle;7,6m - 12,5m;Juni;-;-;-;-;-;-
Nedre Glomma;K;Alle;12,5m - 16,0m;Juni;-;-;-;-;-;-
Nedre Glomma;K;Alle;>= 16,0m;Juni;-;-;-;-;-;-
Nedre Glomma;K;Yrkesdøgn;Alle;Juni;-;-;-;-;-;-
Nedre Glomma;K;Yrkesdøgn;< 5,6m;Juni;-;-;-;-;-;-
Nedre Glomma;K;Yrkesdøgn;>= 5,6m;Juni;-;-;-;-;-;-
Nedre Glomma;K;Yrkesdøgn;5,6m - 7,6m;Juni;-;-;-;-;-;-
Nedre Glomma;K;Yrkesdøgn;7,6m - 12,5m;Juni;-;-;-;-;-;-
Nedre Glomma;K;Yrkesdøgn;12,5m - 16,0m;Juni;-;-;-;-;-;-
Nedre Glomma;K;Yrkesdøgn;>= 16,0m;Juni;-;-;-;-;-;-
Nedre Glomma;K;Helgedøgn;Alle;Juni;-;-;-;-;-;-
Nedre Glomma;K;Helgedøgn;< 5,6m;Juni;-;-;-;-;-;-
Nedre Glomma;K;Helgedøgn;>= 5,6m;Juni;-;-;-;-;-;-
Nedre Glomma;K;Helgedøgn;5,6m - 7,6m;Juni;-;-;-;-;-;-
