Område;Vegkategori;døgn;lengdeklasse;periode;indeks;dekning;trafikkmengde indeksår;trafikkmengde basisår;standardavvik;konfidensintervall
Kristiansand kommune;E;Helgedøgn;< 5,6m;Mars;-28,583;88,000;370932;519388;9.407;23.367
Kristiansand kommune;E;Helgedøgn;>= 5,6m;Mars;-19,400;88,000;25904;32139;4.585;11.389
Kristiansand kommune;E;Helgedøgn;5,6m - 7,6m;Mars;-18,680;88,000;8585;10557;13.020;32.344
Kristiansand kommune;E;Helgedøgn;7,6m - 12,5m;Mars;-15,173;88,000;9873;11639;7.171;17.813
Kristiansand kommune;E;Helgedøgn;12,5m - 16,0m;Mars;-33,270;88,000;3183;4770;8.155;20.259
Kristiansand kommune;E;Helgedøgn;>= 16,0m;Mars;-17,591;88,000;4263;5173;10.382;25.791
Kristiansand kommune;E;Alle;Alle;April;-6,328;96,000;2478022;2645414;1.631;4.051
Kristiansand kommune;E;Alle;< 5,6m;April;-6,412;96,000;2183465;2333054;2.229;5.536
Kristiansand kommune;E;Alle;>= 5,6m;April;-6,046;96,000;293439;312321;3.663;9.098
Kristiansand kommune;E;Alle;5,6m - 7,6m;April;3,747;96,000;86060;82952;14.216;35.314
Kristiansand kommune;E;Alle;7,6m - 12,5m;April;-8,929;96,000;109950;120730;3.645;9.056
Kristiansand kommune;E;Alle;12,5m - 16,0m;April;-13,174;96,000;36777;42357;6.262;15.555
Kristiansand kommune;E;Alle;>= 16,0m;April;-8,494;96,000;60652;66282;4.501;11.182
Kristiansand kommune;E;Yrkesdøgn;Alle;April;-16,023;95,000;1735297;2066394;1.662;4.129
Kristiansand kommune;E;Yrkesdøgn;< 5,6m;April;-16,723;95,000;1499121;1800170;1.792;4.452
Kristiansand kommune;E;Yrkesdøgn;>= 5,6m;April;-11,564;95,000;235407;266190;3.547;8.812
Kristiansand kommune;E;Yrkesdøgn;5,6m - 7,6m;April;-6,078;95,000;65427;69661;12.397;30.795
Kristiansand kommune;E;Yrkesdøgn;7,6m - 12,5m;April;-13,056;95,000;86716;99738;3.079;7.648
Kristiansand kommune;E;Yrkesdøgn;12,5m - 16,0m;April;-17,099;95,000;29895;36061;5.802;14.414
Kristiansand kommune;E;Yrkesdøgn;>= 16,0m;April;-12,121;95,000;53369;60730;4.337;10.774
Kristiansand kommune;E;Helgedøgn;Alle;April;28,273;96,000;742725;579020;5.247;13.035
Kristiansand kommune;E;Helgedøgn;< 5,6m;April;28,423;96,000;684344;532884;6.301;15.653
Kristiansand kommune;E;Helgedøgn;>= 5,6m;April;25,798;96,000;58032;46131;4.683;11.634
Kristiansand kommune;E;Helgedøgn;5,6m - 7,6m;April;55,240;96,000;20633;13291;20.380;50.626
Kristiansand kommune;E;Helgedøgn;7,6m - 12,5m;April;10,680;96,000;23234;20992;6.327;15.718
Kristiansand kommune;E;Helgedøgn;12,5m - 16,0m;April;9,307;96,000;6882;6296;11.730;29.139
Kristiansand kommune;E;Helgedøgn;>= 16,0m;April;31,178;96,000;7283;5552;7.663;19.036
Kristiansand kommune;E;Alle;Alle;Mai;1,788;96,000;5576453;5478505;2.742;2.877
Kristiansand kommune;E;Alle;< 5,6m;Mai;0,982;96,000;4961968;4913700;2.887;3.029
Kristiansand kommune;E;Alle;>= 5,6m;Mai;8,533;96,000;612735;564561;5.295;5.557
Kristiansand kommune;E;Alle;5,6m - 7,6m;Mai;6,063;96,000;177150;167024;13.039;13.683
Kristiansand kommune;E;Alle;7,6m - 12,5m;Mai;8,456;96,000;236544;218101;6.059;6.359
Kristiansand kommune;E;Alle;12,5m - 16,0m;Mai;0,250;96,000;68179;68009;7.232;7.590
Kristiansand kommune;E;Alle;>= 16,0m;Mai;17,442;96,000;130862;111427;8.736;9.167
Kristiansand kommune;E;Yrkesdøgn;Alle;Mai;4,382;96,000;4186338;4010606;3.724;3.908
Kristiansand kommune;E;Yrkesdøgn;< 5,6m;Mai;3,660;96,000;3675153;3545394;3.643;3.823
Kristiansand kommune;E;Yrkesdøgn;>= 5,6m;Mai;9,630;96,000;509837;465054;6.755;7.089
Kristiansand kommune;E;Yrkesdøgn;5,6m - 7,6m;Mai;6,671;96,000;142495;133584;12.565;13.186
Kristiansand kommune;E;Yrkesdøgn;7,6m - 12,5m;Mai;9,985;96,000;195553;177800;7.087;7.437
Kristiansand kommune;E;Yrkesdøgn;12,5m - 16,0m;Mai;2,654;96,000;57325;55843;9.261;9.719
Kristiansand kommune;E;Yrkesdøgn;>= 16,0m;Mai;17,007;96,000;114464;97827;10.079;10.577
Kristiansand kommune;E;Helgedøgn;Alle;Mai;-5,299;96,000;1390115;1467899;4.758;4.993
Kristiansand kommune;E;Helgedøgn;< 5,6m;Mai;-5,956;96,000;1286815;1368306;4.829;5.067
Kristiansand kommune;E;Helgedøgn;>= 5,6m;Mai;3,408;96,000;102898;99507;3.480;3.652
Kristiansand kommune;E;Helgedøgn;5,6m - 7,6m;Mai;3,633;96,000;34655;33440;15.846;16.629
Kristiansand kommune;E;Helgedøgn;7,6m - 12,5m;Mai;1,712;96,000;40991;40301;7.950;8.343
Kristiansand kommune;E;Helgedøgn;12,5m - 16,0m;Mai;-10,784;96,000;10854;12166;7.319;7.681
Kristiansand kommune;E;Helgedøgn;>= 16,0m;Mai;20,574;96,000;16398;13600;6.519;6.842
Kristiansand kommune;E;Alle;Alle;Juni;-2,694;98,000;3342831;3435381;1.421;3.529
Kristiansand kommune;E;Alle;< 5,6m;Juni;-3,158;98,000;2952012;3048263;1.983;4.926
Kristiansand kommune;E;Alle;>= 5,6m;Juni;0,927;98,000;390434;386849;3.676;9.132
