områdetype;område;vegkategori;døgn;lengdeklasse;periode;indeks;dekning;trafikkmengde indeksår;trafikkmengde basisår;standardavvik;konfidensintervall
By;Tromsø;E;Yrkesdøgn;5,6m - 7,6m;Desember;-;0,000;0;0;-;-
By;Tromsø;E;Yrkesdøgn;7,6m - 12,5m;Desember;-;0,000;0;0;-;-
By;Tromsø;E;Yrkesdøgn;12,5m - 16,0m;Desember;-;0,000;0;0;-;-
By;Tromsø;E;Yrkesdøgn;16,0m - 24,0m;Desember;-;0,000;0;0;-;-
By;Tromsø;E;Yrkesdøgn;>= 24,0m;Desember;-;0,000;0;0;-;-
By;Tromsø;E;Helgedøgn;Alle;Desember;-;0,000;0;0;-;-
By;Tromsø;E;Helgedøgn;< 5,6m;Desember;-;0,000;0;0;-;-
By;Tromsø;E;Helgedøgn;>= 5,6m;Desember;-;0,000;0;0;-;-
By;Tromsø;E;Helgedøgn;5,6m - 7,6m;Desember;-;0,000;0;0;-;-
By;Tromsø;E;Helgedøgn;7,6m - 12,5m;Desember;-;0,000;0;0;-;-
By;Tromsø;E;Helgedøgn;12,5m - 16,0m;Desember;-;0,000;0;0;-;-
By;Tromsø;E;Helgedøgn;16,0m - 24,0m;Desember;-;0,000;0;0;-;-
By;Tromsø;E;Helgedøgn;>= 24,0m;Desember;-;0,000;0;0;-;-
By;Tromsø;E;Alle;Alle;Januar;-0,359;99,950;1723617;1729829;2.751;3.416
By;Tromsø;E;Alle;< 5,6m;Januar;-0,593;99,250;1577720;1587136;2.382;2.957
By;Tromsø;E;Alle;>= 5,6m;Januar;2,545;99,250;144950;141353;7.638;9.484
By;Tromsø;E;Alle;5,6m - 7,6m;Januar;-2,203;99,250;51848;53016;5.949;7.386
By;Tromsø;E;Alle;7,6m - 12,5m;Januar;-10,924;99,250;48548;54502;14.910;18.514
By;Tromsø;E;Alle;12,5m - 16,0m;Januar;66,327;99,250;27735;16675;31.316;38.884
By;Tromsø;E;Alle;16,0m - 24,0m;Januar;-3,075;99,250;15951;16457;2.252;2.796
By;Tromsø;E;Alle;>= 24,0m;Januar;23,471;99,250;868;703;5.337;6.626
By;Tromsø;E;Yrkesdøgn;Alle;Januar;-0,165;99,920;1399392;1401699;3.033;3.766
By;Tromsø;E;Yrkesdøgn;< 5,6m;Januar;-0,455;99,130;1269119;1274914;2.538;3.152
By;Tromsø;E;Yrkesdøgn;>= 5,6m;Januar;2,848;99,130;129386;125803;8.258;10.254
By;Tromsø;E;Yrkesdøgn;5,6m - 7,6m;Januar;-2,133;99,130;46791;47811;6.711;8.332
By;Tromsø;E;Yrkesdøgn;7,6m - 12,5m;Januar;-9,946;99,130;44013;48874;16.156;20.060
By;Tromsø;E;Yrkesdøgn;12,5m - 16,0m;Januar;71,249;99,130;23694;13836;30.414;37.763
By;Tromsø;E;Yrkesdøgn;16,0m - 24,0m;Januar;-3,396;99,130;14222;14722;2.967;3.684
By;Tromsø;E;Yrkesdøgn;>= 24,0m;Januar;18,929;99,130;666;560;5.083;6.312
By;Tromsø;E;Helgedøgn;Alle;Januar;-1,190;100,000;324225;328130;3.350;4.159
By;Tromsø;E;Helgedøgn;< 5,6m;Januar;-1,160;99,540;308601;312222;3.226;4.006
