fylkenr;trpid;trpnavn;vegkategori;vegref;døgn;lengdeklasse;periode;indeks;dekning;trafikkmengde indeksår;trafikkmengde basisår
30;77103V181318;HERSTRØM;F;FV283 S2D1 m2352;Alle;12,5m - 16,0m;Juli;-;0,000;0;0
30;77103V181318;HERSTRØM;F;FV283 S2D1 m2352;Alle;12,5m - 16,0m;August;-;0,000;0;0
30;77103V181318;HERSTRØM;F;FV283 S2D1 m2352;Alle;12,5m - 16,0m;September;-;0,000;0;0
30;77103V181318;HERSTRØM;F;FV283 S2D1 m2352;Alle;12,5m - 16,0m;Oktober;-;0,000;0;0
30;77103V181318;HERSTRØM;F;FV283 S2D1 m2352;Alle;12,5m - 16,0m;November;-;0,000;0;0
30;77103V181318;HERSTRØM;F;FV283 S2D1 m2352;Alle;12,5m - 16,0m;Desember;-;0,000;0;0
30;77103V181318;HERSTRØM;F;FV283 S2D1 m2352;Alle;12,5m - 16,0m;Januar;-;0,000;0;0
30;77103V181318;HERSTRØM;F;FV283 S2D1 m2352;Alle;12,5m - 16,0m;Februar;-;0,000;0;0
30;77103V181318;HERSTRØM;F;FV283 S2D1 m2352;Alle;12,5m - 16,0m;Mars;-;0,000;-;-
30;77103V181318;HERSTRØM;F;FV283 S2D1 m2352;Alle;12,5m - 16,0m;April;-;0,000;-;-
30;77103V181318;HERSTRØM;F;FV283 S2D1 m2352;Alle;12,5m - 16,0m;Siste 12 måneder;0,000;0,000;0;0
30;77103V181318;HERSTRØM;F;FV283 S2D1 m2352;Alle;12,5m - 16,0m;Hittil i år;0,000;0,000;0;0
30;77103V181318;HERSTRØM;F;FV283 S2D1 m2352;Alle;16,0m - 24,0m;Mai;-;0,000;0;0
30;77103V181318;HERSTRØM;F;FV283 S2D1 m2352;Alle;16,0m - 24,0m;Juni;-;0,000;0;0
30;77103V181318;HERSTRØM;F;FV283 S2D1 m2352;Alle;16,0m - 24,0m;Juli;-;0,000;0;0
30;77103V181318;HERSTRØM;F;FV283 S2D1 m2352;Alle;16,0m - 24,0m;August;-;0,000;0;0
30;77103V181318;HERSTRØM;F;FV283 S2D1 m2352;Alle;16,0m - 24,0m;September;-;0,000;0;0
30;77103V181318;HERSTRØM;F;FV283 S2D1 m2352;Alle;16,0m - 24,0m;Oktober;-;0,000;0;0
30;77103V181318;HERSTRØM;F;FV283 S2D1 m2352;Alle;16,0m - 24,0m;November;-;0,000;0;0
30;77103V181318;HERSTRØM;F;FV283 S2D1 m2352;Alle;16,0m - 24,0m;Desember;-;0,000;0;0
30;77103V181318;HERSTRØM;F;FV283 S2D1 m2352;Alle;16,0m - 24,0m;Januar;-;0,000;0;0
30;77103V181318;HERSTRØM;F;FV283 S2D1 m2352;Alle;16,0m - 24,0m;Februar;-;0,000;0;0
30;77103V181318;HERSTRØM;F;FV283 S2D1 m2352;Alle;16,0m - 24,0m;Mars;-;0,000;-;-
30;77103V181318;HERSTRØM;F;FV283 S2D1 m2352;Alle;16,0m - 24,0m;April;-;0,000;-;-
30;77103V181318;HERSTRØM;F;FV283 S2D1 m2352;Alle;16,0m - 24,0m;Siste 12 måneder;0,000;0,000;0;0
30;77103V181318;HERSTRØM;F;FV283 S2D1 m2352;Alle;16,0m - 24,0m;Hittil i år;0,000;0,000;0;0
30;77103V181318;HERSTRØM;F;FV283 S2D1 m2352;Alle;>= 24,0m;Mai;-;0,000;0;0
30;77103V181318;HERSTRØM;F;FV283 S2D1 m2352;Alle;>= 24,0m;Juni;-;0,000;0;0
30;77103V181318;HERSTRØM;F;FV283 S2D1 m2352;Alle;>= 24,0m;Juli;-;0,000;0;0
30;77103V181318;HERSTRØM;F;FV283 S2D1 m2352;Alle;>= 24,0m;August;-;0,000;0;0
30;77103V181318;HERSTRØM;F;FV283 S2D1 m2352;Alle;>= 24,0m;September;-;0,000;0;0
30;77103V181318;HERSTRØM;F;FV283 S2D1 m2352;Alle;>= 24,0m;Oktober;-;0,000;0;0
30;77103V181318;HERSTRØM;F;FV283 S2D1 m2352;Alle;>= 24,0m;November;-;0,000;0;0
30;77103V181318;HERSTRØM;F;FV283 S2D1 m2352;Alle;>= 24,0m;Desember;-;0,000;0;0
30;77103V181318;HERSTRØM;F;FV283 S2D1 m2352;Alle;>= 24,0m;Januar;-;0,000;0;0
30;77103V181318;HERSTRØM;F;FV283 S2D1 m2352;Alle;>= 24,0m;Februar;-;0,000;0;0
30;77103V181318;HERSTRØM;F;FV283 S2D1 m2352;Alle;>= 24,0m;Mars;-;0,000;-;-
30;77103V181318;HERSTRØM;F;FV283 S2D1 m2352;Alle;>= 24,0m;April;-;0,000;-;-
30;77103V181318;HERSTRØM;F;FV283 S2D1 m2352;Alle;>= 24,0m;Siste 12 måneder;0,000;0,000;0;0
30;77103V181318;HERSTRØM;F;FV283 S2D1 m2352;Alle;>= 24,0m;Hittil i år;0,000;0,000;0;0
30;77103V181318;HERSTRØM;F;FV283 S2D1 m2352;Yrkesdøgn;Alle;Mai;-;0,000;0;0
30;77103V181318;HERSTRØM;F;FV283 S2D1 m2352;Yrkesdøgn;Alle;Juni;-;0,000;0;0
30;77103V181318;HERSTRØM;F;FV283 S2D1 m2352;Yrkesdøgn;Alle;Juli;-;0,000;0;0
30;77103V181318;HERSTRØM;F;FV283 S2D1 m2352;Yrkesdøgn;Alle;August;-;0,000;0;0
30;77103V181318;HERSTRØM;F;FV283 S2D1 m2352;Yrkesdøgn;Alle;September;-;0,000;0;0
30;77103V181318;HERSTRØM;F;FV283 S2D1 m2352;Yrkesdøgn;Alle;Oktober;-;0,000;0;0
30;77103V181318;HERSTRØM;F;FV283 S2D1 m2352;Yrkesdøgn;Alle;November;-;0,000;0;0
30;77103V181318;HERSTRØM;F;FV283 S2D1 m2352;Yrkesdøgn;Alle;Desember;-;0,000;0;0
30;77103V181318;HERSTRØM;F;FV283 S2D1 m2352;Yrkesdøgn;Alle;Januar;1,206;100,000;434962;429779
30;77103V181318;HERSTRØM;F;FV283 S2D1 m2352;Yrkesdøgn;Alle;Februar;4,082;99,790;406539;390594
30;77103V181318;HERSTRØM;F;FV283 S2D1 m2352;Yrkesdøgn;Alle;Mars;-;0,000;-;-
30;77103V181318;HERSTRØM;F;FV283 S2D1 m2352;Yrkesdøgn;Alle;April;-;0,000;-;-
30;77103V181318;HERSTRØM;F;FV283 S2D1 m2352;Yrkesdøgn;Alle;Siste 12 måneder;2,575;16,690;841501;820373
30;77103V181318;HERSTRØM;F;FV283 S2D1 m2352;Yrkesdøgn;Alle;Hittil i år;2,575;50,880;841501;820373
30;77103V181318;HERSTRØM;F;FV283 S2D1 m2352;Yrkesdøgn;< 5,6m;Mai;-;0,000;0;0
30;77103V181318;HERSTRØM;F;FV283 S2D1 m2352;Yrkesdøgn;< 5,6m;Juni;-;0,000;0;0
30;77103V181318;HERSTRØM;F;FV283 S2D1 m2352;Yrkesdøgn;< 5,6m;Juli;-;0,000;0;0
30;77103V181318;HERSTRØM;F;FV283 S2D1 m2352;Yrkesdøgn;< 5,6m;August;-;0,000;0;0
30;77103V181318;HERSTRØM;F;FV283 S2D1 m2352;Yrkesdøgn;< 5,6m;September;-;0,000;0;0
30;77103V181318;HERSTRØM;F;FV283 S2D1 m2352;Yrkesdøgn;< 5,6m;Oktober;-;0,000;0;0
30;77103V181318;HERSTRØM;F;FV283 S2D1 m2352;Yrkesdøgn;< 5,6m;November;-;0,000;0;0
30;77103V181318;HERSTRØM;F;FV283 S2D1 m2352;Yrkesdøgn;< 5,6m;Desember;-;0,000;0;0
30;77103V181318;HERSTRØM;F;FV283 S2D1 m2352;Yrkesdøgn;< 5,6m;Januar;-;0,000;0;0
30;77103V181318;HERSTRØM;F;FV283 S2D1 m2352;Yrkesdøgn;< 5,6m;Februar;-;0,000;0;0
30;77103V181318;HERSTRØM;F;FV283 S2D1 m2352;Yrkesdøgn;< 5,6m;Mars;-;0,000;-;-
30;77103V181318;HERSTRØM;F;FV283 S2D1 m2352;Yrkesdøgn;< 5,6m;April;-;0,000;-;-
30;77103V181318;HERSTRØM;F;FV283 S2D1 m2352;Yrkesdøgn;< 5,6m;Siste 12 måneder;0,000;0,000;0;0
30;77103V181318;HERSTRØM;F;FV283 S2D1 m2352;Yrkesdøgn;< 5,6m;Hittil i år;0,000;0,000;0;0
30;77103V181318;HERSTRØM;F;FV283 S2D1 m2352;Yrkesdøgn;>= 5,6m;Mai;-;0,000;0;0
30;77103V181318;HERSTRØM;F;FV283 S2D1 m2352;Yrkesdøgn;>= 5,6m;Juni;-;0,000;0;0
30;77103V181318;HERSTRØM;F;FV283 S2D1 m2352;Yrkesdøgn;>= 5,6m;Juli;-;0,000;0;0
30;77103V181318;HERSTRØM;F;FV283 S2D1 m2352;Yrkesdøgn;>= 5,6m;August;-;0,000;0;0
30;77103V181318;HERSTRØM;F;FV283 S2D1 m2352;Yrkesdøgn;>= 5,6m;September;-;0,000;0;0
30;77103V181318;HERSTRØM;F;FV283 S2D1 m2352;Yrkesdøgn;>= 5,6m;Oktober;-;0,000;0;0
30;77103V181318;HERSTRØM;F;FV283 S2D1 m2352;Yrkesdøgn;>= 5,6m;November;-;0,000;0;0
30;77103V181318;HERSTRØM;F;FV283 S2D1 m2352;Yrkesdøgn;>= 5,6m;Desember;-;0,000;0;0
30;77103V181318;HERSTRØM;F;FV283 S2D1 m2352;Yrkesdøgn;>= 5,6m;Januar;-;0,000;0;0
30;77103V181318;HERSTRØM;F;FV283 S2D1 m2352;Yrkesdøgn;>= 5,6m;Februar;-;0,000;0;0
30;77103V181318;HERSTRØM;F;FV283 S2D1 m2352;Yrkesdøgn;>= 5,6m;Mars;-;0,000;-;-
