fylkenr;msnr;msnavn;Vegkategori;vegnr;hp;meter;ant_kjørefelt;ådt;første_igangsetting_datainn;døgn;lengdeklasse;periode;indeks;dekning;trafikkmengde indeksår;trafikkmengde basisår
6;600006;NYMOEN;F;88;1;414;2;;;Alle;5,6m - 7,6m;November;86,605;100,000;8470;4539
6;600006;NYMOEN;F;88;1;414;2;;;Alle;5,6m - 7,6m;Desember;84,819;99,000;8997;4868
6;600006;NYMOEN;F;88;1;414;2;;;Alle;5,6m - 7,6m;Siste 12 måneder;59,050;99,000;63224;39751
6;600006;NYMOEN;F;88;1;414;2;;;Alle;5,6m - 7,6m;Hittil i år;59,050;99,000;63224;39751
6;600006;NYMOEN;F;88;1;414;2;;;Alle;7,6m - 12,5m;Januar;-4,637;96,000;3126;3278
6;600006;NYMOEN;F;88;1;414;2;;;Alle;7,6m - 12,5m;Februar;2,830;97,000;3016;2933
6;600006;NYMOEN;F;88;1;414;2;;;Alle;7,6m - 12,5m;Mars;-;-;-;-
6;600006;NYMOEN;F;88;1;414;2;;;Alle;7,6m - 12,5m;April;-;-;-;-
6;600006;NYMOEN;F;88;1;414;2;;;Alle;7,6m - 12,5m;Mai;-;-;-;-
6;600006;NYMOEN;F;88;1;414;2;;;Alle;7,6m - 12,5m;Juni;-;-;-;-
6;600006;NYMOEN;F;88;1;414;2;;;Alle;7,6m - 12,5m;Juli;26,109;99,000;3951;3133
6;600006;NYMOEN;F;88;1;414;2;;;Alle;7,6m - 12,5m;August;13,456;99,000;4553;4013
6;600006;NYMOEN;F;88;1;414;2;;;Alle;7,6m - 12,5m;September;9,054;100,000;4276;3921
6;600006;NYMOEN;F;88;1;414;2;;;Alle;7,6m - 12,5m;Oktober;2,743;100,000;4645;4521
6;600006;NYMOEN;F;88;1;414;2;;;Alle;7,6m - 12,5m;November;3,545;100,000;3622;3498
6;600006;NYMOEN;F;88;1;414;2;;;Alle;7,6m - 12,5m;Desember;10,385;99,000;2753;2494
6;600006;NYMOEN;F;88;1;414;2;;;Alle;7,6m - 12,5m;Siste 12 måneder;7,740;99,000;29942;27791
6;600006;NYMOEN;F;88;1;414;2;;;Alle;7,6m - 12,5m;Hittil i år;7,740;99,000;29942;27791
6;600006;NYMOEN;F;88;1;414;2;;;Alle;12,5m - 16,0m;Januar;12,471;96,000;478;425
6;600006;NYMOEN;F;88;1;414;2;;;Alle;12,5m - 16,0m;Februar;8,857;97,000;381;350
6;600006;NYMOEN;F;88;1;414;2;;;Alle;12,5m - 16,0m;Mars;-;-;-;-
6;600006;NYMOEN;F;88;1;414;2;;;Alle;12,5m - 16,0m;April;-;-;-;-
6;600006;NYMOEN;F;88;1;414;2;;;Alle;12,5m - 16,0m;Mai;-;-;-;-
6;600006;NYMOEN;F;88;1;414;2;;;Alle;12,5m - 16,0m;Juni;-;-;-;-
6;600006;NYMOEN;F;88;1;414;2;;;Alle;12,5m - 16,0m;Juli;122,311;99,000;558;251
6;600006;NYMOEN;F;88;1;414;2;;;Alle;12,5m - 16,0m;August;56,111;99,000;562;360
6;600006;NYMOEN;F;88;1;414;2;;;Alle;12,5m - 16,0m;September;39,687;100,000;535;383
6;600006;NYMOEN;F;88;1;414;2;;;Alle;12,5m - 16,0m;Oktober;20,513;100,000;517;429
6;600006;NYMOEN;F;88;1;414;2;;;Alle;12,5m - 16,0m;November;52,593;100,000;618;405
6;600006;NYMOEN;F;88;1;414;2;;;Alle;12,5m - 16,0m;Desember;-6,769;99,000;303;325
6;600006;NYMOEN;F;88;1;414;2;;;Alle;12,5m - 16,0m;Siste 12 måneder;34,973;99,000;3952;2928
6;600006;NYMOEN;F;88;1;414;2;;;Alle;12,5m - 16,0m;Hittil i år;34,973;99,000;3952;2928
6;600006;NYMOEN;F;88;1;414;2;;;Alle;>= 16,0m;Januar;9,016;96,000;266;244
6;600006;NYMOEN;F;88;1;414;2;;;Alle;>= 16,0m;Februar;-20,400;97,000;199;250
6;600006;NYMOEN;F;88;1;414;2;;;Alle;>= 16,0m;Mars;-;-;-;-
6;600006;NYMOEN;F;88;1;414;2;;;Alle;>= 16,0m;April;-;-;-;-
6;600006;NYMOEN;F;88;1;414;2;;;Alle;>= 16,0m;Mai;-;-;-;-
6;600006;NYMOEN;F;88;1;414;2;;;Alle;>= 16,0m;Juni;-;-;-;-
6;600006;NYMOEN;F;88;1;414;2;;;Alle;>= 16,0m;Juli;377,880;99,000;1037;217
6;600006;NYMOEN;F;88;1;414;2;;;Alle;>= 16,0m;August;103,268;99,000;622;306
6;600006;NYMOEN;F;88;1;414;2;;;Alle;>= 16,0m;September;60,219;100,000;439;274
6;600006;NYMOEN;F;88;1;414;2;;;Alle;>= 16,0m;Oktober;17,579;100,000;408;347
6;600006;NYMOEN;F;88;1;414;2;;;Alle;>= 16,0m;November;28,070;100,000;438;342
6;600006;NYMOEN;F;88;1;414;2;;;Alle;>= 16,0m;Desember;23,232;99,000;244;198
6;600006;NYMOEN;F;88;1;414;2;;;Alle;>= 16,0m;Siste 12 måneder;67,723;99,000;3653;2178
6;600006;NYMOEN;F;88;1;414;2;;;Alle;>= 16,0m;Hittil i år;67,723;99,000;3653;2178
6;600006;NYMOEN;F;88;1;414;2;;;Yrkesdøgn;Alle;Januar;1,732;96,000;94076;92474
6;600006;NYMOEN;F;88;1;414;2;;;Yrkesdøgn;Alle;Februar;0,534;98,000;85895;85439
6;600006;NYMOEN;F;88;1;414;2;;;Yrkesdøgn;Alle;Mars;-;-;-;-
6;600006;NYMOEN;F;88;1;414;2;;;Yrkesdøgn;Alle;April;-;-;-;-
6;600006;NYMOEN;F;88;1;414;2;;;Yrkesdøgn;Alle;Mai;-;-;-;-
6;600006;NYMOEN;F;88;1;414;2;;;Yrkesdøgn;Alle;Juni;-;-;-;-
6;600006;NYMOEN;F;88;1;414;2;;;Yrkesdøgn;Alle;Juli;7,939;99,000;83035;76928
6;600006;NYMOEN;F;88;1;414;2;;;Yrkesdøgn;Alle;August;0,734;99,000;99239;98516
6;600006;NYMOEN;F;88;1;414;2;;;Yrkesdøgn;Alle;September;3,263;100,000;98251;95146
6;600006;NYMOEN;F;88;1;414;2;;;Yrkesdøgn;Alle;Oktober;3,383;100,000;106428;102945
6;600006;NYMOEN;F;88;1;414;2;;;Yrkesdøgn;Alle;November;-1,931;100,000;96670;98573
6;600006;NYMOEN;F;88;1;414;2;;;Yrkesdøgn;Alle;Desember;8,277;99,000;88902;82106
6;600006;NYMOEN;F;88;1;414;2;;;Yrkesdøgn;Alle;Siste 12 måneder;2,782;99,000;752496;732127
6;600006;NYMOEN;F;88;1;414;2;;;Yrkesdøgn;Alle;Hittil i år;2,782;99,000;752496;732127
6;600006;NYMOEN;F;88;1;414;2;;;Yrkesdøgn;< 5,6m;Januar;-0,182;96,000;83514;83666
6;600006;NYMOEN;F;88;1;414;2;;;Yrkesdøgn;< 5,6m;Februar;-2,091;98,000;75587;77201
6;600006;NYMOEN;F;88;1;414;2;;;Yrkesdøgn;< 5,6m;Mars;-;-;-;-
6;600006;NYMOEN;F;88;1;414;2;;;Yrkesdøgn;< 5,6m;April;-;-;-;-
6;600006;NYMOEN;F;88;1;414;2;;;Yrkesdøgn;< 5,6m;Mai;-;-;-;-
6;600006;NYMOEN;F;88;1;414;2;;;Yrkesdøgn;< 5,6m;Juni;-;-;-;-
6;600006;NYMOEN;F;88;1;414;2;;;Yrkesdøgn;< 5,6m;Juli;2,885;99,000;72390;70360
6;600006;NYMOEN;F;88;1;414;2;;;Yrkesdøgn;< 5,6m;August;-2,847;99,000;87383;89944
6;600006;NYMOEN;F;88;1;414;2;;;Yrkesdøgn;< 5,6m;September;0,159;100,000;87016;86878
6;600006;NYMOEN;F;88;1;414;2;;;Yrkesdøgn;< 5,6m;Oktober;0,774;100,000;94266;93542
6;600006;NYMOEN;F;88;1;414;2;;;Yrkesdøgn;< 5,6m;November;-5,931;100,000;85230;90604
6;600006;NYMOEN;F;88;1;414;2;;;Yrkesdøgn;< 5,6m;Desember;3,802;99,000;78653;75772
6;600006;NYMOEN;F;88;1;414;2;;;Yrkesdøgn;< 5,6m;Siste 12 måneder;-0,588;99,000;664039;667967
6;600006;NYMOEN;F;88;1;414;2;;;Yrkesdøgn;< 5,6m;Hittil i år;-0,588;99,000;664039;667967
6;600006;NYMOEN;F;88;1;414;2;;;Yrkesdøgn;>= 5,6m;Januar;20,318;96,000;10511;8736
6;600006;NYMOEN;F;88;1;414;2;;;Yrkesdøgn;>= 5,6m;Februar;25,616;98,000;10254;8163
6;600006;NYMOEN;F;88;1;414;2;;;Yrkesdøgn;>= 5,6m;Mars;-;-;-;-
6;600006;NYMOEN;F;88;1;414;2;;;Yrkesdøgn;>= 5,6m;April;-;-;-;-
6;600006;NYMOEN;F;88;1;414;2;;;Yrkesdøgn;>= 5,6m;Mai;-;-;-;-
6;600006;NYMOEN;F;88;1;414;2;;;Yrkesdøgn;>= 5,6m;Juni;-;-;-;-
6;600006;NYMOEN;F;88;1;414;2;;;Yrkesdøgn;>= 5,6m;Juli;55,804;99,000;10174;6530
6;600006;NYMOEN;F;88;1;414;2;;;Yrkesdøgn;>= 5,6m;August;38,068;99,000;11780;8532
6;600006;NYMOEN;F;88;1;414;2;;;Yrkesdøgn;>= 5,6m;September;35,919;100,000;11178;8224
6;600006;NYMOEN;F;88;1;414;2;;;Yrkesdøgn;>= 5,6m;Oktober;29,548;100,000;12114;9351
6;600006;NYMOEN;F;88;1;414;2;;;Yrkesdøgn;>= 5,6m;November;43,606;100,000;11365;7914
6;600006;NYMOEN;F;88;1;414;2;;;Yrkesdøgn;>= 5,6m;Desember;61,455;99,000;10141;6281
6;600006;NYMOEN;F;88;1;414;2;;;Yrkesdøgn;>= 5,6m;Siste 12 måneder;37,322;99,000;87517;63731
6;600006;NYMOEN;F;88;1;414;2;;;Yrkesdøgn;>= 5,6m;Hittil i år;37,322;99,000;87517;63731
6;600006;NYMOEN;F;88;1;414;2;;;Yrkesdøgn;5,6m - 7,6m;Januar;31,998;96,000;6918;5241
6;600006;NYMOEN;F;88;1;414;2;;;Yrkesdøgn;5,6m - 7,6m;Februar;42,685;98,000;6983;4894
6;600006;NYMOEN;F;88;1;414;2;;;Yrkesdøgn;5,6m - 7,6m;Mars;-;-;-;-
6;600006;NYMOEN;F;88;1;414;2;;;Yrkesdøgn;5,6m - 7,6m;April;-;-;-;-
6;600006;NYMOEN;F;88;1;414;2;;;Yrkesdøgn;5,6m - 7,6m;Mai;-;-;-;-
6;600006;NYMOEN;F;88;1;414;2;;;Yrkesdøgn;5,6m - 7,6m;Juni;-;-;-;-
6;600006;NYMOEN;F;88;1;414;2;;;Yrkesdøgn;5,6m - 7,6m;Juli;57,616;99,000;5236;3322
6;600006;NYMOEN;F;88;1;414;2;;;Yrkesdøgn;5,6m - 7,6m;August;54,461;99,000;6631;4293
6;600006;NYMOEN;F;88;1;414;2;;;Yrkesdøgn;5,6m - 7,6m;September;53,171;100,000;6496;4241
6;600006;NYMOEN;F;88;1;414;2;;;Yrkesdøgn;5,6m - 7,6m;Oktober;55,653;100,000;7132;4582
6;600006;NYMOEN;F;88;1;414;2;;;Yrkesdøgn;5,6m - 7,6m;November;77,151;100,000;7102;4009
6;600006;NYMOEN;F;88;1;414;2;;;Yrkesdøgn;5,6m - 7,6m;Desember;97,652;99,000;7240;3663
6;600006;NYMOEN;F;88;1;414;2;;;Yrkesdøgn;5,6m - 7,6m;Siste 12 måneder;56,922;99,000;53738;34245
6;600006;NYMOEN;F;88;1;414;2;;;Yrkesdøgn;5,6m - 7,6m;Hittil i år;56,922;99,000;53738;34245
6;600006;NYMOEN;F;88;1;414;2;;;Yrkesdøgn;7,6m - 12,5m;Januar;0,914;96,000;2870;2844
6;600006;NYMOEN;F;88;1;414;2;;;Yrkesdøgn;7,6m - 12,5m;Februar;0,893;98,000;2711;2687
6;600006;NYMOEN;F;88;1;414;2;;;Yrkesdøgn;7,6m - 12,5m;Mars;-;-;-;-
6;600006;NYMOEN;F;88;1;414;2;;;Yrkesdøgn;7,6m - 12,5m;April;-;-;-;-
6;600006;NYMOEN;F;88;1;414;2;;;Yrkesdøgn;7,6m - 12,5m;Mai;-;-;-;-
6;600006;NYMOEN;F;88;1;414;2;;;Yrkesdøgn;7,6m - 12,5m;Juni;-;-;-;-
6;600006;NYMOEN;F;88;1;414;2;;;Yrkesdøgn;7,6m - 12,5m;Juli;26,972;99,000;3526;2777
6;600006;NYMOEN;F;88;1;414;2;;;Yrkesdøgn;7,6m - 12,5m;August;14,162;99,000;4103;3594
6;600006;NYMOEN;F;88;1;414;2;;;Yrkesdøgn;7,6m - 12,5m;September;12,075;100,000;3759;3354
6;600006;NYMOEN;F;88;1;414;2;;;Yrkesdøgn;7,6m - 12,5m;Oktober;2,783;100,000;4137;4025
6;600006;NYMOEN;F;88;1;414;2;;;Yrkesdøgn;7,6m - 12,5m;November;1,727;100,000;3239;3184
6;600006;NYMOEN;F;88;1;414;2;;;Yrkesdøgn;7,6m - 12,5m;Desember;11,704;99,000;2386;2136
6;600006;NYMOEN;F;88;1;414;2;;;Yrkesdøgn;7,6m - 12,5m;Siste 12 måneder;8,658;99,000;26731;24601
6;600006;NYMOEN;F;88;1;414;2;;;Yrkesdøgn;7,6m - 12,5m;Hittil i år;8,658;99,000;26731;24601
6;600006;NYMOEN;F;88;1;414;2;;;Yrkesdøgn;12,5m - 16,0m;Januar;14,181;96,000;467;409
6;600006;NYMOEN;F;88;1;414;2;;;Yrkesdøgn;12,5m - 16,0m;Februar;9,281;98,000;365;334
6;600006;NYMOEN;F;88;1;414;2;;;Yrkesdøgn;12,5m - 16,0m;Mars;-;-;-;-
6;600006;NYMOEN;F;88;1;414;2;;;Yrkesdøgn;12,5m - 16,0m;April;-;-;-;-
6;600006;NYMOEN;F;88;1;414;2;;;Yrkesdøgn;12,5m - 16,0m;Mai;-;-;-;-
6;600006;NYMOEN;F;88;1;414;2;;;Yrkesdøgn;12,5m - 16,0m;Juni;-;-;-;-
6;600006;NYMOEN;F;88;1;414;2;;;Yrkesdøgn;12,5m - 16,0m;Juli;128,444;99,000;514;225
