"msnr";"msnavn";"maaned";"trafikkmengde.basisaar";"trafikkmengde.indeksaar";"indeks";"dekningsgrad"
9916060;"Haakon VII s gt , O-snitt";3;309508;337235;8,95841141424454;"100"
9916061;"Landbruksvegen, O-snitt";3;146969;150077;2,11473167810898;"100"
9916062;"Tungasletta, O-snitt";3;225089;233864;3,89845794330244;"100"
9916064;"Thorbjørn Bratts veg, O-snitt";3;351904;404686;14,9989769937256;"100"
9916065;"Bratsbergveien, O-snitt";3;186763;185502;-0,675187269427024;"100"
9916066;"Tempeveien, O-snitt";3;94637;107081;13,1491911197523;"100"
9916067;"Bøckmans veg, B-snitt";3;150017;166376;10,9047641267323;"100"
9916068;"Byåsveien, B-snitt";3;279277;287548;2,96157578318301;"100"
9916069;"Gamle Oslovei, B-snitt";3;104303;109271;4,76304612523131;"100"
9916085;"Fv 704 Torgårdsletta. K-snitt";3;169827;175388;3,27450876480182;"100"
9916086;"Tillerbrua, K-snitt";3;56489;40140;-28,9419178955195;"100"
9916051;"Klett - Rv.707, S-snitt";4;197228;149535;-24,1816577767863;"100"
9916053;"Nedre Leirfoss (Fossestuvegen), M-snitt";4;64933;52140;-19,7018465187193;"100"
9916054;"Bjørndalen (Oslovn.) M-snitt)";4;275046;244831;-10,9854351635726;"100"
9916055;"Nord for Sluppen bru (Tempevn), M-snitt";4;319374;275659;-13,6877140906899;"100"
9916056;"Kroppan bru, M-snitt";4;434871;362707;-16,5943463693831;"100"
9916058;"Være (Gml. E6), N-snitt";4;279000;234789;-15,8462365591398;"100"
9916059;"Rv 706 Leangensletta, O-snitt";4;714671;610140;-14,6264504926043;"100"
9916060;"Haakon VII s gt , O-snitt";4;340752;297335;-12,7415246278819;"100"
9916061;"Landbruksvegen, O-snitt";4;164472;116048;-29,4420934870373;"100"
9916062;"Tungasletta, O-snitt";4;262494;193603;-26,2447903571129;"100"
9916064;"Thorbjørn Bratts veg, O-snitt";4;378407;331322;-12,4429516367298;"100"
9916065;"Bratsbergveien, O-snitt";4;205008;149553;-27,0501638960431;"100"
9916066;"Tempeveien, O-snitt";4;105038;78518;-25,2480054837297;"100"
9916067;"Bøckmans veg, B-snitt";4;157479;136173;-13,5294229706818;"100"
9916068;"Byåsveien, B-snitt";4;291909;238155;-18,41464291954;"100"
9916069;"Gamle Oslovei, B-snitt";4;108803;95017;-12,6706065090117;"100"
9916085;"Fv 704 Torgårdsletta. K-snitt";4;182929;151655;-17,0962504578279;"100"
9916086;"Tillerbrua, K-snitt";4;70364;34805;-50,5357853447786;"100"
