fylkenr;trpid;trpnavn;vegkategori;vegref;døgn;lengdeklasse;periode;indeks;dekning;trafikkmengde indeksår;trafikkmengde basisår
38;20789V521466;Mælagata Petersborg;-;FV3282 S2D1 m573;Yrkesdøgn;12,5m - 16,0m;August;-;0,000;0;0
38;20789V521466;Mælagata Petersborg;-;FV3282 S2D1 m573;Yrkesdøgn;12,5m - 16,0m;September;-;0,000;0;0
38;20789V521466;Mælagata Petersborg;-;FV3282 S2D1 m573;Yrkesdøgn;12,5m - 16,0m;Oktober;-;0,000;0;0
38;20789V521466;Mælagata Petersborg;F;FV3282 S2D1 m573;Yrkesdøgn;12,5m - 16,0m;November;-;0,000;0;0
38;20789V521466;Mælagata Petersborg;F;FV3282 S2D1 m573;Yrkesdøgn;12,5m - 16,0m;Desember;-;0,000;0;0
38;20789V521466;Mælagata Petersborg;F;FV3282 S2D1 m573;Yrkesdøgn;12,5m - 16,0m;Januar;-;0,000;-;-
38;20789V521466;Mælagata Petersborg;F;FV3282 S2D1 m573;Yrkesdøgn;12,5m - 16,0m;Februar;-;0,000;-;-
38;20789V521466;Mælagata Petersborg;F;FV3282 S2D1 m573;Yrkesdøgn;12,5m - 16,0m;Mars;-;0,000;-;-
38;20789V521466;Mælagata Petersborg;F;FV3282 S2D1 m573;Yrkesdøgn;12,5m - 16,0m;April;-;0,000;-;-
38;20789V521466;Mælagata Petersborg;F;FV3282 S2D1 m573;Yrkesdøgn;12,5m - 16,0m;Siste 12 måneder;-;0,000;0;0
38;20789V521466;Mælagata Petersborg;F;FV3282 S2D1 m573;Yrkesdøgn;12,5m - 16,0m;Hittil i år;-;0,000;0;0
38;20789V521466;Mælagata Petersborg;-;FV3282 S2D1 m573;Yrkesdøgn;16,0m - 24,0m;Mai;-;0,000;0;0
38;20789V521466;Mælagata Petersborg;-;FV3282 S2D1 m573;Yrkesdøgn;16,0m - 24,0m;Juni;-;0,000;0;0
38;20789V521466;Mælagata Petersborg;-;FV3282 S2D1 m573;Yrkesdøgn;16,0m - 24,0m;Juli;-;0,000;0;0
38;20789V521466;Mælagata Petersborg;-;FV3282 S2D1 m573;Yrkesdøgn;16,0m - 24,0m;August;-;0,000;0;0
38;20789V521466;Mælagata Petersborg;-;FV3282 S2D1 m573;Yrkesdøgn;16,0m - 24,0m;September;-;0,000;0;0
38;20789V521466;Mælagata Petersborg;-;FV3282 S2D1 m573;Yrkesdøgn;16,0m - 24,0m;Oktober;-;0,000;0;0
38;20789V521466;Mælagata Petersborg;F;FV3282 S2D1 m573;Yrkesdøgn;16,0m - 24,0m;November;-;0,000;0;0
38;20789V521466;Mælagata Petersborg;F;FV3282 S2D1 m573;Yrkesdøgn;16,0m - 24,0m;Desember;-;0,000;0;0
38;20789V521466;Mælagata Petersborg;F;FV3282 S2D1 m573;Yrkesdøgn;16,0m - 24,0m;Januar;-;0,000;-;-
38;20789V521466;Mælagata Petersborg;F;FV3282 S2D1 m573;Yrkesdøgn;16,0m - 24,0m;Februar;-;0,000;-;-
