Område;Vegkategori;døgn;lengdeklasse;periode;indeks;dekning;trafikkmengde indeksår;trafikkmengde basisår;standardavvik;konfidensintervall
Kristiansand kommune;E;Alle;Alle;Januar;1,508;98,000;2901277;2858164;0.477;0.759
Kristiansand kommune;E;Alle;< 5,6m;Januar;0,563;98,000;2567338;2552957;1.022;1.626
Kristiansand kommune;E;Alle;>= 5,6m;Januar;9,455;98,000;333234;304449;10.324;16.427
Kristiansand kommune;E;Alle;5,6m - 7,6m;Januar;16,691;98,000;100089;85773;13.818;21.988
Kristiansand kommune;E;Alle;7,6m - 12,5m;Januar;6,594;98,000;112552;105589;10.963;17.445
Kristiansand kommune;E;Alle;12,5m - 16,0m;Januar;-5,194;98,000;41140;43394;17.560;27.943
Kristiansand kommune;E;Alle;>= 16,0m;Januar;14,004;98,000;79453;69693;9.491;15.102
Kristiansand kommune;E;Yrkesdøgn;Alle;Januar;1,757;98,000;2365726;2324875;0.338;0.538
Kristiansand kommune;E;Yrkesdøgn;< 5,6m;Januar;0,775;98,000;2068972;2053066;1.148;1.827
Kristiansand kommune;E;Yrkesdøgn;>= 5,6m;Januar;9,222;98,000;296161;271155;9.548;15.194
Kristiansand kommune;E;Yrkesdøgn;5,6m - 7,6m;Januar;16,541;98,000;87611;75176;12.761;20.306
Kristiansand kommune;E;Yrkesdøgn;7,6m - 12,5m;Januar;5,340;98,000;98956;93940;9.630;15.323
Kristiansand kommune;E;Yrkesdøgn;12,5m - 16,0m;Januar;-4,069;98,000;36687;38243;16.069;25.569
Kristiansand kommune;E;Yrkesdøgn;>= 16,0m;Januar;14,281;98,000;72907;63796;9.934;15.807
Kristiansand kommune;E;Helgedøgn;Alle;Januar;0,424;99,000;535551;533289;1.526;2.428
Kristiansand kommune;E;Helgedøgn;< 5,6m;Januar;-0,305;99,000;498366;499891;1.248;1.986
Kristiansand kommune;E;Helgedøgn;>= 5,6m;Januar;11,350;99,000;37073;33294;17.363;27.628
Kristiansand kommune;E;Helgedøgn;5,6m - 7,6m;Januar;17,750;99,000;12478;10597;21.514;34.233
Kristiansand kommune;E;Helgedøgn;7,6m - 12,5m;Januar;16,714;99,000;13596;11649;22.466;35.748
Kristiansand kommune;E;Helgedøgn;12,5m - 16,0m;Januar;-13,551;99,000;4453;5151;30.513;48.553
