city_area_name;legacyNortrafMpn;base_year;agreement_start;trp_id;name;traffic_type;lat;lon;road_reference;;er_med
Oslo og Akershus;NA;2019;2019;41331V443662;LOMMEDALSVEIEN;VEHICLE;59,911078;10,489273;FV168 HP 1 Meter 13328;;
Oslo og Akershus;NA;2019;2019;00222V444290;LYSAKERELVA;VEHICLE;59,952675;10,6338;FV168 HP 1 Meter 12;;
Oslo og Akershus;NA;2019;2019;04925V444232;Lysakerlokket;VEHICLE;59,911891;10,633088;EV18 HP 6 Meter 462;;
Oslo og Akershus;NA;2019;2019;62991V604777;Maridalsveien;VEHICLE;59,925009;10,750323;KV14622 HP 1 Meter 425;;x
Oslo og Akershus;NA;2019;2019;79755V625294;MARITIM-510B;VEHICLE;59,918562;10,666507;EV18 HP 2 Meter 6605;;x
Oslo og Akershus;NA;2019;2019;10924V2275488;Mastemyrveien N1;VEHICLE;59,81622;10,789545;FV152 HP 8 Meter 6160;;
Oslo og Akershus;NA;2019;2019;49763V2367192;N.KALBAKKV V/GRAVLU;VEHICLE;59,934125;10,859618;RV191 HP 1 Meter 823;;x
Oslo og Akershus;NA;2019;2019;27857V444273;Nessetveien;VEHICLE;59,724105;10,729356;FV156 HP 1 Meter 9379;;
Oslo og Akershus;NA;2019;2019;52685V444218;Nordbytunellen;VEHICLE;59,743145;10,781787;EV6 HP 3 Meter 4800;;
Oslo og Akershus;NA;2019;2019;63827V443579;NORDBYVEIEN;VEHICLE;59,97464;11,003592;FV159 HP 51 Meter 5529;;x
Oslo og Akershus;NA;2019;2019;22654V443542;Nygårdskrysset xf;VEHICLE;59,723709;10,790262;FV154 HP 1 Meter 370;;
Oslo og Akershus;NA;2019;2019;00492V443603;OSLO GRENSE;VEHICLE;59,926697;10,625609;FV160 HP 1 Meter 10;;
Oslo og Akershus;NA;2019;2019;48203V625502;Ring 2 v/Vøyenbrua ;VEHICLE;59,933207;10,757667;KV161 HP 2 Meter 3481;;x
Oslo og Akershus;NA;2019;2019;77294V2571508;ROÅS;VEHICLE;59,736308;10,842391;FV152 HP 7 Meter 1657;;
Oslo og Akershus;NA;2019;2019;28516V444278;RV159 VAREMESSA;VEHICLE;59,948201;11,057354;RV159 HP 3 Meter 5710;;x
Oslo og Akershus;NA;2019;2019;88563V444277;RÆLINGSTUNNELLEN;VEHICLE;59,944816;11,032251;RV159 HP 3 Meter 4010;;x
Oslo og Akershus;NA;2019;2019;59048V2545015;RÅKEN ENEBAKK;VEHICLE;59,739362;11,008667;FV155 HP 1 Meter 11962;;
Oslo og Akershus;NA;2019;2019;84303V443695;SAND ULLENSAKER;VEHICLE;60,151207;11,139516;FV178 HP 1 Meter 7900;;x
Oslo og Akershus;NA;2019;2019;24927V443403;SKEDSMO STRANDEN;VEHICLE;59,979783;11,013254;RV22 HP 2 Meter 909;;x
Oslo og Akershus;NA;2019;2019;42754V444240;SLATTUM;VEHICLE;60,020522;10,907732;RV4 HP 2 Meter 4112;;x
Oslo og Akershus;NA;2019;2019;89787V605343;Slemdalsveien;VEHICLE;59,94942;10,699009;KV16621 HP 1 Meter 2968;;x
Oslo og Akershus;NA;2019;2019;71081V443831;STABEKK SENIORSENTE;VEHICLE;59,910844;10,599753;FV609 HP 1 Meter 1880;;
Oslo og Akershus;NA;2019;2019;23568V444232;STARTOUR;VEHICLE;59,904733;10,605542;EV18 HP 7 Meter 970;;
Oslo og Akershus;NA;2019;2019;70816V443409;STATOIL;VEHICLE;59,927793;11,150268;RV22 HP 4 Meter 5761;;x
Oslo og Akershus;NA;2019;2019;98682V444320;TARALDRUDVEIEN;VEHICLE;59,797304;10,839749;FV129 HP 2 Meter 1158;;
Oslo og Akershus;NA;2019;2019;61469V605671;Tvetenveien v/Haugerud;VEHICLE;59,922564;10,855702;KV17852 HP 6 Meter 565;;x
Oslo og Akershus;NA;2019;2019;63730V443521;ULLERUDSLETTA;VEHICLE;59,669764;10,64825;FV152 HP 50 Meter 607;;
Oslo og Akershus;NA;2019;2019;29403V625517;VATERLANDTUNNELEN;VEHICLE;59,916034;10,749144;RV162 HP 1 Meter 2474;;x
Oslo og Akershus;NA;2019;2019;47719V443837;VOLLSVEIEN;VEHICLE;59,940893;10,626438;FV610 HP 1 Meter 1152;;
Oslo og Akershus;NA;2019;2019;25348V625498;Vækerøveien v/Ullernchaussen ;VEHICLE;59,926195;10,640477;KV160 HP 1 Meter 1424;;x
Oslo og Akershus;NA;2019;2019;99353V625530;Ø.Akersvei 1,2;VEHICLE;59,948418;10,947038;RV163 HP 1 Meter 9740;;x
Oslo og Akershus;NA;2019;2019;84851V605851;Østensjøveien v/Østensjø Skole;VEHICLE;59,899303;10,829179;KV18639 HP 4 Meter 850;;x
Oslo og Akershus;NA;2019;2019;76429V2548000;ÅS NLH VOLLEBEKK;VEHICLE;59,664586;10,758511;FV152 HP 2 Meter 698;;
