city_area_name;legacyNortrafMpn;base_year;agreement_start
Nedre Glomma;101002;2017;2017
Nord-Jæren;1100001;2017;2017
Nord-Jæren;1100009;2017;2017
Nord-Jæren;1100011;2017;2017
Nord-Jæren;1100012;2017;2017
Nord-Jæren;1100013;2017;2017
Nord-Jæren;1100014;2017;2017
Nord-Jæren;1100016;2017;2017
Nord-Jæren;1100022;2017;2017
Nord-Jæren;1100024;2017;2017
Nord-Jæren;1100025;2017;2017
Nord-Jæren;1100026;2017;2017
Nord-Jæren;1100027;2017;2017
Nord-Jæren;1100038;2017;2017
Nord-Jæren;1100069;2017;2017
Nord-Jæren;1100070;2017;2017
Nord-Jæren;1100071;2017;2017
Nord-Jæren;1100072;2017;2017
Nord-Jæren;1100104;2017;2017
Nord-Jæren;1100128;2017;2017
Nord-Jæren;1100129;2017;2017
Nord-Jæren;1100218;2017;2017
Nord-Jæren;1100332;2017;2017
Nord-Jæren;1100338;2017;2017
Nord-Jæren;1101387;2017;2017
Oslo og Akershus;200006;2017;2017
Oslo og Akershus;200025;2017;2017
Oslo og Akershus;200106;2017;2017
Oslo og Akershus;200119;2017;2017
Oslo og Akershus;200120;2017;2017
Oslo og Akershus;200135;2017;2017
Oslo og Akershus;200160;2017;2017
Oslo og Akershus;200200;2017;2017
Oslo og Akershus;200209;2017;2017
Oslo og Akershus;200211;2017;2017
Oslo og Akershus;200229;2017;2017
Oslo og Akershus;200801;2017;2017
Oslo og Akershus;200820;2017;2017
Oslo og Akershus;202077;2017;2017
Oslo og Akershus;202082;2017;2017
Oslo og Akershus;202182;2017;2017
Oslo og Akershus;202188;2017;2017
Oslo og Akershus;202194;2017;2017
Oslo og Akershus;202200;2017;2017
Oslo og Akershus;205310;2017;2017
Oslo og Akershus;209676;2017;2017
Oslo og Akershus;300016;2017;2017
Oslo og Akershus;300022;2017;2017
Oslo og Akershus;300030;2017;2017
Oslo og Akershus;300086;2017;2017
Oslo og Akershus;300093;2017;2017
Oslo og Akershus;300096;2017;2017
Oslo og Akershus;300108;2017;2017
Oslo og Akershus;300225;2017;2017
Oslo og Akershus;300231;2017;2017
Oslo og Akershus;300233;2017;2017
Oslo og Akershus;300349;2017;2017
Oslo og Akershus;302137;2017;2017
Tromsø;1900103;2017;2017
Tromsø;1900107;2017;2017
Tromsø;1900204;2017;2017
Tromsø;1900225;2017;2017
Tromsø;1900226;2017;2017
Tromsø;1900227;2017;2017
Tromsø;1900265;2017;2017
