"trp_id";"year";"day_type";"coverage";"n_days";"n_days_of_year";"valid_length_volume";"valid_speed_volume";"adt";"standard_deviation";"standard_error"
"10701V249565";2020;"WEEKEND";100;112;112;1290;1290;1290;367;0
"09726V248991";2020;"WEEKEND";100;112;112;3849;3849;3850;754;0
"19588V1060150";2020;"WEEKEND";16,07;18;112;0;0;0;2;0,43
"80949V248993";2020;"WEEKEND";100;112;112;396;405;410;673;0
"92559V248993";2020;"WEEKEND";100;112;112;530;532;540;827;0
"64373V249566";2020;"WEEKEND";100;112;112;260;263;510;678;0
"37931V249569";2020;"WEEKEND";100;112;112;820;828;1310;1018;0
"59275V249569";2020;"WEEKEND";99,98;112;112;824;831;1230;1036;0
"77722V249572";2020;"WEEKEND";100;112;112;328;396;640;719;0
"78755V249572";2020;"WEEKEND";100;112;112;738;739;740;753;0
"42556V248999";2020;"WEEKEND";99,98;112;112;5028;5028;5030;1719;0
"54946V249000";2020;"WEEKEND";99,96;112;112;3121;3121;3120;1073;0
"15482V249006";2020;"WEEKEND";100;112;112;3136;3136;3140;1277;0
"83425V249573";2020;"WEEKEND";100;112;112;1025;1032;1460;729;0
"38638V249003";2020;"WEEKEND";100;112;112;1459;1459;1460;547;0
"79445V249004";2020;"WEEKEND";100;112;112;3018;3018;3020;740;0
"05224V249575";2020;"WEEKEND";99,11;111;112;4268;4278;5810;1185;10,68
"19529V225821";2020;"WEEKEND";100;112;112;2241;2243;2280;1764;0
"34956V249577";2020;"WEEKEND";100;112;112;1389;1393;2140;557;0
"72332V249578";2020;"WEEKEND";100;112;112;1847;1847;1850;505;0
"46105V249580";2020;"WEEKEND";64,29;72;112;1824;1824;1820;894;63,25
"89208V249580";2020;"WEEKEND";100;112;112;2079;2079;2080;669;0
"93855V249581";2020;"WEEKEND";100;112;112;1948;1948;1950;626;0
"52025V1825676";2020;"WEEKEND";100;112;112;1979;1979;1980;790;0
"48755V72825";2020;"WEEKEND";82,14;92;112;3794;3794;3800;822;36,38
"01559V249583";2020;"WEEKEND";96,43;108;112;992;992;990;341;6,23
"31891V249584";2020;"WEEKEND";100;112;112;1223;1223;1230;385;0
"58281V249585";2020;"WEEKEND";100;112;112;1246;1246;1250;301;0
"98655V249011";2020;"WEEKEND";100;112;112;511;511;510;146;0
"17112V578112";2020;"WEEKEND";99,98;112;112;2217;2217;2220;394;0
"55156V578638";2020;"WEEKEND";83,04;93;112;973;973;970;255;10,94
"66419V578640";2020;"WEEKEND";100;112;112;414;414;410;226;0
"50089V578151";2020;"WEEKEND";55,36;62;112;211;211;210;228;19,43
"66110V578119";2020;"WEEKEND";99,11;111;112;160;161;320;128;1,15
"00199V578643";2020;"WEEKEND";99,11;111;112;200;201;420;121;1,09
"02013V578643";2020;"WEEKEND";99,11;111;112;144;144;230;94;0,85
"99923V578123";2020;"WEEKEND";100;112;112;91;91;90;83;0
"60069V885273";2020;"WEEKEND";100;112;112;761;761;760;282;0
"03149V885274";2020;"WEEKEND";99,95;112;112;3040;3040;3040;777;0
"95077V885274";2020;"WEEKEND";99,95;112;112;4615;4615;4620;1140;0
"23550V2490820";2020;"WEEKEND";99,11;111;112;348;351;530;257;2,32
"40186V2490870";2020;"WEEKEND";74,11;83;112;1133;1133;1130;498;27,94
"85205V2486785";2020;"WEEKEND";100;112;112;768;768;770;462;0
"85120V804911";2020;"WEEKEND";70,54;79;112;662;662;660;441;27,05
"06362V2533432";2020;"WEEKEND";100;112;112;1729;1739;2660;744;0
"02677V885310";2020;"WEEKEND";100;112;112;314;315;480;242;0
"53934V886009";2020;"WEEKEND";41,07;46;112;453;454;790;261;29,67
"03169V885952";2020;"WEEKEND";90,18;101;112;1318;1321;1890;353;11,06
"62208V885951";2020;"WEEKEND";100;112;112;2794;2794;2790;538;0
"03141V885951";2020;"WEEKEND";83,01;93;112;1459;1462;2260;350;15,02
"99680V885948";2020;"WEEKEND";NA;NA;NA;NA;NA;NA;NA;NA
"03119V886010";2020;"WEEKEND";100;112;112;1173;1175;1690;467;0
"46507V886012";2020;"WEEKEND";90,18;101;112;580;582;840;348;10,9
"84803V886013";2020;"WEEKEND";100;112;112;817;817;820;288;0
"66164V886014";2020;"WEEKEND";100;112;112;2200;2200;2200;582;0
"22810V1126313";2020;"WEEKEND";79,46;89;112;975;975;980;366;17,66
"49666V1126313";2020;"WEEKEND";99,96;112;112;1228;1229;1230;332;0
"27534V1126315";2020;"WEEKEND";99,11;111;112;168;169;280;152;1,37
"10537V1125836";2020;"WEEKEND";99,99;112;112;721;721;720;199;0
"97982V1126318";2020;"WEEKEND";100;112;112;5173;5173;5170;1354;0
"28120V1126319";2020;"WEEKEND";100;112;112;5110;5110;5110;1394;0
"30762V1126319";2020;"WEEKEND";62,5;70;112;4431;4432;4430;1027;75,51
"41574V2303908";2020;"WEEKEND";99,99;112;112;270;270;270;177;0
"07954V1125849";2020;"WEEKEND";100;112;112;903;903;900;305;0
"65593V1125854";2020;"WEEKEND";100;112;112;497;497;500;194;0
"14490V930350";2020;"WEEKEND";100;112;112;376;377;380;215;0
"61868V3257700";2020;"WEEKEND";18,75;21;112;1841;1842;1840;418;82,59
"57474V971423";2020;"WEEKEND";80,36;90;112;80;85;90;26;1,22
"09269V971425";2020;"WEEKEND";98,21;110;112;137;137;140;47;0,6
"09371V971427";2020;"WEEKEND";100;112;112;1106;1112;1830;379;0
"08132V1984223";2020;"WEEKEND";100;112;112;7555;7557;7570;1659;0
"34874V971797";2020;"WEEKEND";91,07;102;112;4524;4550;6960;2389;71
"82913V971429";2020;"WEEKEND";100;112;112;8318;8318;8320;1585;0
"05150V971798";2020;"WEEKEND";100;112;112;5971;5971;5970;2355;0
"64481V971430";2020;"WEEKEND";98,87;111;112;2729;2729;2730;1284;11,57
"69356V971439";2020;"WEEKEND";100;112;112;14659;14659;14660;4349;0
"29937V971442";2020;"WEEKEND";87,5;98;112;15052;15052;15050;4584;164,45
"26581V971445";2020;"WEEKEND";100;112;112;10922;10922;10930;2940;0
"47762V971800";2020;"WEEKEND";100;112;112;4082;4082;4080;754;0
"28001V971448";2020;"WEEKEND";100;112;112;5423;5423;5420;1530;0
"04150V971490";2020;"WEEKEND";89,29;100;112;3160;3161;3160;623;20,48
"96583V971490";2020;"WEEKEND";99,11;111;112;1670;1675;2670;454;4,09
"70918V971495";2020;"WEEKEND";8,93;10;112;642;644;1140;170;51,53
"56645V971498";2020;"WEEKEND";41,03;46;112;1759;1762;2980;445;50,59
"93031V971807";2020;"WEEKEND";15,18;17;112;1039;1041;1890;356;79,88
"04922V971497";2020;"WEEKEND";100;112;112;670;677;1090;202;0
"14296V971500";2020;"WEEKEND";76,79;86;112;1673;1682;2930;697;36,38
"29548V971808";2020;"WEEKEND";95,54;107;112;462;470;1060;218;4,47
"49827V971809";2020;"WEEKEND";94,64;106;112;1815;1824;2890;468;10,57
"87122V971809";2020;"WEEKEND";100;112;112;1834;1843;2790;463;0
"29329V971502";2020;"WEEKEND";100;112;112;1070;1076;1900;361;0
"91946V971503";2020;"WEEKEND";100;112;112;723;733;1370;281;0
"50344V444250";2020;"WEEKEND";100;112;112;1022;1029;1640;314;0
"79102V971505";2020;"WEEKEND";100;112;112;3567;3567;3570;807;0
"92069V971506";2020;"WEEKEND";97,32;109;112;2485;2493;4500;1075;16,93
"22397V971812";2020;"WEEKEND";100;112;112;1323;1323;1320;523;0
"61693V971813";2020;"WEEKEND";100;112;112;5002;5017;7530;1715;0
"35229V971507";2020;"WEEKEND";100;112;112;2197;2197;2200;3047;0
"66505V971814";2020;"WEEKEND";9,82;11;112;1083;1084;1640;287;82,54
"13990V971815";2020;"WEEKEND";99,11;111;112;2316;2327;4100;932;8,4
"93759V971815";2020;"WEEKEND";78,57;88;112;4271;4283;7050;1259;62,41
"16035V971817";2020;"WEEKEND";100;112;112;15027;15029;15040;2656;0
"82998V971817";2020;"WEEKEND";99,99;112;112;9649;9649;9650;1406;0
"26312V971509";2020;"WEEKEND";100;112;112;798;805;1270;156;0
"12216V971510";2020;"WEEKEND";100;112;112;821;831;1300;258;0
"08041V971512";2020;"WEEKEND";52,68;59;112;1553;1556;2530;740;66,57
"37187V971514";2020;"WEEKEND";100;112;112;4816;4832;7110;1511;0
"82002V2483490";2020;"WEEKEND";91,07;102;112;12729;12731;12760;2728;81,07
"81254V971521";2020;"WEEKEND";15,18;17;112;5828;5829;9010;3024;678,51
"36562V971545";2020;"WEEKEND";100;112;112;8285;8286;8290;1934;0
"84886V971545";2020;"WEEKEND";97,32;109;112;4719;4734;7240;1995;31,41
"05666V971546";2020;"WEEKEND";100;112;112;2854;2870;4640;1237;0
"01085V1875040";2020;"WEEKEND";100;112;112;6441;6441;6440;1146;0
"62514V971819";2020;"WEEKEND";100;112;112;2797;2797;2800;504;0
"33736V971548";2020;"WEEKEND";95,17;107;112;1903;1912;3020;629;12,91
"62500V2554003";2020;"WEEKEND";98,21;110;112;599;605;1830;362;4,63
"04994V444251";2020;"WEEKEND";85,71;96;112;1161;1172;1910;400;15,5
"07313V444252";2020;"WEEKEND";93,75;105;112;2302;2302;2300;496;12,16
"88046V1874722";2020;"WEEKEND";100;112;112;4534;4552;7340;1295;0
"98239V443468";2020;"WEEKEND";99,97;112;112;5990;6008;11200;1781;0
"84295V1901990";2020;"WEEKEND";95,54;107;112;8175;8191;11670;2560;52,53
"06467V971554";2020;"WEEKEND";93,75;105;112;1614;1621;2550;458;11,22
"05336V971827";2020;"WEEKEND";32,14;36;112;514;517;860;171;23,58
"89210V971561";2020;"WEEKEND";100;112;112;1886;1886;1890;346;0
"50892V971562";2020;"WEEKEND";56,25;63;112;4966;4966;4970;1177;98,52
"17412V971822";2020;"WEEKEND";63,39;71;112;1212;1218;2070;362;26,11
"24649V971564";2020;"WEEKEND";100;112;112;541;555;990;196;0
"41370V971361";2020;"WEEKEND";100;112;112;1137;1143;1720;293;0
"05732V971567";2020;"WEEKEND";98,21;110;112;119;119;120;89;1,14
"09333V2677225";2020;"WEEKEND";100;112;112;1383;1383;1380;291;0
"00438V971359";2020;"WEEKEND";100;112;112;1726;1726;1750;265;0
"37915V971568";2020;"WEEKEND";57,14;64;112;1840;1846;3200;873;71,76
"17323V1205810";2020;"WEEKEND";96,43;108;112;9131;9131;9130;1957;35,75
"30384V971782";2020;"WEEKEND";100;112;112;3046;3046;3050;526;0
"76277V971782";2020;"WEEKEND";98,21;110;112;930;937;1450;271;3,47
"99725V971782";2020;"WEEKEND";100;112;112;477;477;480;164;0
"87642V971416";2020;"WEEKEND";100;112;112;4055;4055;4060;860;0
"06966V971804";2020;"WEEKEND";100;112;112;4530;4583;7570;1614;0
"54674V971471";2020;"WEEKEND";80,36;90;112;3169;3182;5030;1462;68,61
"86688V971471";2020;"WEEKEND";20,54;23;112;2060;2062;3270;504;94,1
"69804V443499";2020;"WEEKEND";100;112;112;5513;5513;5510;1094;0
"92020V443507";2020;"WEEKEND";99,98;112;112;4240;4240;4240;947;0
"63730V443521";2020;"WEEKEND";100;112;112;10847;10847;10850;2354;0
"76429V2548000";2020;"WEEKEND";94,64;106;112;4777;4789;6980;1324;29,9
"84922V443509";2020;"WEEKEND";92,85;104;112;4280;4290;6690;1706;44,91
"79110V444262";2020;"WEEKEND";100;112;112;3489;3499;5390;1250;0
"56322V444263";2020;"WEEKEND";100;112;112;3833;3834;3830;1215;0
"77294V2571508";2020;"WEEKEND";98,21;110;112;6542;6542;6540;1695;21,69
"64407V2100984";2020;"WEEKEND";100;112;112;6035;6036;6040;1348;0
"10924V2275488";2020;"WEEKEND";100;112;112;3022;3052;4930;917;0
"22654V443542";2020;"WEEKEND";95,54;107;112;7643;7661;11090;3276;67,22
"00203V444270";2020;"WEEKEND";99,96;112;112;2109;2121;3840;861;0
"59048V2545015";2020;"WEEKEND";100;112;112;1863;1872;3010;624;0
"92533V444218";2020;"WEEKEND";98,21;110;112;1659;1668;2880;734;9,39
"92008V443199";2020;"WEEKEND";98,21;110;112;1397;1400;2140;576;7,37
"27857V444273";2020;"WEEKEND";100;112;112;6954;6954;6960;1841;0
"65523V444273";2020;"WEEKEND";100;112;112;4889;4890;4910;957;0
"44646V444275";2020;"WEEKEND";92,86;104;112;2960;2970;4400;728;19,16
"60538V443575";2020;"WEEKEND";100;112;112;5224;5230;7850;2963;0
"63827V443579";2020;"WEEKEND";100;112;112;9851;9851;9850;3104;0
"00492V443603";2020;"WEEKEND";100;112;112;7386;7388;7390;1465;0
"90390V443603";2020;"WEEKEND";99,98;112;112;5648;5648;5650;1070;0
"69931V443604";2020;"WEEKEND";30,36;34;112;5351;5351;5350;1228;176,54
"38171V443606";2020;"WEEKEND";99,96;112;112;5486;5493;7890;1503;0
"23620V443607";2020;"WEEKEND";99,11;111;112;4185;4212;6850;1380;12,43
"64412V443607";2020;"WEEKEND";100;112;112;4591;4598;6720;1201;0
"31687V443609";2020;"WEEKEND";94,64;106;112;3968;3968;3970;759;17,14
"25697V443622";2020;"WEEKEND";63,39;71;112;5020;5026;5060;1667;120,24
"52030V443626";2020;"WEEKEND";75,82;85;112;6072;6089;8790;1916;102,5
"80669V444288";2020;"WEEKEND";91,96;103;112;3800;3806;5540;1200;33,67
"03294V443636";2020;"WEEKEND";100;112;112;14766;14766;14770;3767;0
