city_area_name;legacyNortrafMpn;base_year;agreement_start;trp_id;kommentar
Grenland;800156;2017;2017;NA;aldri igangsatt?
Grenland;800167;2017;2017;22044V521398;
Grenland;800170;2017;2017;33324V521399;
Grenland;800197;2017;2017;94756V521254;
Grenland;800199;2017;2017;13087V521202;
Kristiansand;1000001;2017;2017;33412V121301;
Kristiansand;1000003;2017;2017;NA;virtuelt
Kristiansand;;2017;2017;22224V121366;erstatter for 1000003
Kristiansand;;2017;2017;98936V121303;erstatter for 1000003
Kristiansand;;2017;2017;04813V121368;erstatter for 1000003
Kristiansand;1000006;2017;2017;65613V121784;
Kristiansand;1000007;2017;2017;02489V121427;
Kristiansand;1000008;2017;2017;47215V121446;
Kristiansand;1000015;2017;2017;43920V121762;
Kristiansand;1000016;2017;2017;13278V121819;
Kristiansand;1000030;2017;2017;57166V121303;
Kristiansand;1000030;2017;2017;40820V121304;
Kristiansand;1000057;2017;2017;47077V121488;
Kristiansand;1000062;2017;2017;95764V121488;
Kristiansand;1000071;2017;2017;45924V1955584;
Kristiansand;1000073;2017;2017;28135V121429;
Kristiansand;1000074;2017;2017;78704V121429;
Kristiansand;1000075;2017;2017;00000V1702725;
Kristiansand;1000076;2017;2017;NA;aldri etablert?
Kristiansand;1000101;2017;2017;01355V1702751;
Kristiansand;1000104;2017;2017;68018V121746;
Kristiansand;1000105;2017;2017;35258V2475662;
Kristiansand;1000107;2017;2017;28020V121748;
Kristiansand;1000126;2017;2017;06702V121764;
Kristiansand;1000130;2017;2017;57502V121402;
Kristiansand;1000133;2017;2017;NA;aldri igangsatt?
Kristiansand;1000136;2017;2017;18321V121493;
Kristiansand;1000153;2017;2017;02466V121760;
Kristiansand;1000155;2017;2017;25833V121761;
Kristiansand;1000191;2017;2017;26467V121457;
Kristiansand;1000226;2017;2017;26849V121777;
Kristiansand;1000246;2017;2017;26071V121746;
Kristiansand;1000270;2017;2017;47254V121508;
Kristiansand;1000272;2017;2017;27139V121510;
Kristiansand;1000273;2017;2017;58182V1787571;
Kristiansand;1000275;2017;2017;22540V121303;
Kristiansand;1000278;2017;2017;00000V1702751;
Kristiansand;1000284;2017;2017;08057V2475663;
Kristiansand;1000287;2017;2017;22540V121303;
Kristiansand;1000288;2017;2017;12556V121486;
Kristiansand;1000293;2017;2017;05898V121506;
Kristiansand;1000315;2017;2017;04110V121776;
Kristiansand;1000730;2017;2017;16947V121800;
Nedre Glomma;100004;2017;2017;71595V971806;
Nedre Glomma;100010;2017;2017;82998V971817;
Nedre Glomma;100011;2017;2017;08132V1984223;
Nedre Glomma;100012;2017;2017;29937V971442;
Nedre Glomma;100144;2017;2017;89278V2803004;
Nedre Glomma;100145;2017;2017;69356V971439;
Nedre Glomma;100147;2017;2017;82913V971429;
Nedre Glomma;100163;2017;2017;26581V971445;
Nedre Glomma;100183;2017;2017;16035V971817;
Nedre Glomma;100227;2017;2017;95340V971469;
Nedre Glomma;100235;2017;2017;47762V971800;
Nedre Glomma;100267;2017;2017;28001V971448;
Nedre Glomma;101002;2017;2017;98723V971842;
Nord-Jæren;1100001;2017;2017;66678V320582;
Nord-Jæren;1100009;2017;2017;54577V319746;
Nord-Jæren;1100011;2017;2017;61929V2422166;
Nord-Jæren;1100012;2017;2017;73355V319671;
Nord-Jæren;1100013;2017;2017;16074V319868;
Nord-Jæren;1100014;2017;2017;74250V319516;
Nord-Jæren;1100016;2017;2017;40696V1727469;
Nord-Jæren;1100022;2017;2017;64040V320581;
Nord-Jæren;1100024;2017;2017;57279V320244;
Nord-Jæren;1100025;2017;2017;22231V320583;
Nord-Jæren;1100026;2017;2017;73689V319876;
Nord-Jæren;1100027;2017;2017;09105V320634;
Nord-Jæren;1100038;2017;2017;99781V2303021;
Nord-Jæren;1100069;2017;2017;43296V319721;
Nord-Jæren;1100070;2017;2017;71319V320685;
Nord-Jæren;1100071;2017;2017;04873V320700;
Nord-Jæren;1100072;2017;2017;68351V319882;
Nord-Jæren;1100104;2017;2017;21556V319919;
Nord-Jæren;1100128;2017;2017;83652V319725;
Nord-Jæren;1100129;2017;2017;71787V2269011;
Nord-Jæren;1100218;2017;2017;63432V319869;
Nord-Jæren;1100332;2017;2017;17949V320695;
Nord-Jæren;1100338;2017;2017;10795V320297;
Nord-Jæren;1101387;2017;2017;67511V319880;
Oslo og Akershus;200006;2017;2017;52685V444218;
Oslo og Akershus;200025;2017;2017;31818V444229;
Oslo og Akershus;200106;2017;2017;88537V444232;
Oslo og Akershus;200119;2017;2017;00492V443603;
Oslo og Akershus;200120;2017;2017;00222V444290;
Oslo og Akershus;200135;2017;2017;77294V2571508;
Oslo og Akershus;200160;2017;2017;74943V443384;
Oslo og Akershus;200200;2017;2017;80141V444220;
Oslo og Akershus;200209;2017;2017;32088V444219;
Oslo og Akershus;200211;2017;2017;30552V444220;
Oslo og Akershus;200229;2017;2017;88563V444277;
Oslo og Akershus;200801;2017;2017;23568V444232;
Oslo og Akershus;200820;2017;2017;04925V444232;
Oslo og Akershus;202077;2017;2017;24927V443403;
Oslo og Akershus;202082;2017;2017;90390V443603;
Oslo og Akershus;202182;2017;2017;69931V443604;
Oslo og Akershus;202188;2017;2017;70816V443409;
Oslo og Akershus;202194;2017;2017;41331V443662;
Oslo og Akershus;202200;2017;2017;28516V444278;
Oslo og Akershus;205310;2017;2017;47719V443837;
Oslo og Akershus;209676;2017;2017;48300V443646;
Oslo og Akershus;300016;2017;2017;31290V625405;
Oslo og Akershus;300022;2017;2017;12357V625212;
Oslo og Akershus;300030;2017;2017;33808V625649;
Oslo og Akershus;300086;2017;2017;60739V625530;
Oslo og Akershus;300093;2017;2017;82177V625405;
Oslo og Akershus;300096;2017;2017;02087V625292;
Oslo og Akershus;300108;2017;2017;29852V2460300;
