"msnr";"msnavn";"maaned";"trafikkmengde.basisaar";"trafikkmengde.indeksaar";"indeks";"dekningsgrad"
9916054;"Bjørndalen (Oslovn.) M-snitt)";"3";288866;252530;"-12.5788427852361";"100"
9916055;"Nord for Sluppen bru (Tempevn), M-snitt";"3";346902;296727;"-14.463739038691";"100"
9916056;"Kroppan bru, M-snitt";"3";483412;410772;"-15.0265198216014";"100"
9916058;"Være (Gml. E6), N-snitt";"3";277415;248594;"-10.3891282014311";"100"
9916059;"Rv 706 Leangensletta, O-snitt";"3";724093;663668;"-8.34492254447978";"100"
9916060;"Haakon VII s gt , O-snitt";"3";359052;309508;"-13.7985584260776";"100"
9916061;"Landbruksvegen, O-snitt";"3";154674;146969;"-4.98144484528751";"100"
9916062;"Tungasletta, O-snitt";"3";249638;225089;"-9.83383939945041";"100"
9916064;"Thorbjørn Bratts veg, O-snitt";"3";430476;351904;"-18.2523532090058";"100"
9916065;"Bratsbergveien, O-snitt";"3";210912;186763;"-11.4497989682901";"100"
9916066;"Tempeveien, O-snitt";"3";114796;94637;"-17.5607164012683";"100"
9916067;"Bøckmans veg, B-snitt";"3";173129;150017;"-13.3495832587261";"100"
9916068;"Byåsveien, B-snitt";"3";319757;279277;"-12.659613393921";"100"
9916069;"Gamle Oslovei, B-snitt";"3";121876;104303;"-14.4187534871509";"100"
9916085;"Fv 704 Torgårdsletta. K-snitt";"3";231629;169827;"-26.6814604388915";"100"
9916086;"Tillerbrua, K-snitt";"3";9757;56489;"478.95869632059";"100"
9916051;"Klett - Rv.707, S-snitt";"4";170037;197228;"15.9912254391691";"100"
9916052;"Klett - E6, S-snitt";"4";604309;604900;"0.0977976498777844";"100"
9916053;"Nedre Leirfoss (Fossestuvegen), M-snitt";"4";54217;64933;"19.7650183521774";"100"
9916054;"Bjørndalen (Oslovn.) M-snitt)";"4";246370;275046;"11.6394041482323";"100"
9916055;"Nord for Sluppen bru (Tempevn), M-snitt";"4";285940;319374;"11.6926627963909";"100"
9916056;"Kroppan bru, M-snitt";"4";409190;434871;"6.27605757716465";"100"
9916058;"Være (Gml. E6), N-snitt";"4";237770;279000;"17.3402868318123";"100"
9916059;"Rv 706 Leangensletta, O-snitt";"4";609663;714671;"17.2239417514266";"100"
9916060;"Haakon VII s gt , O-snitt";"4";306259;340752;"11.2626894230047";"100"
9916061;"Landbruksvegen, O-snitt";"4";128085;164472;"28.4084787445837";"100"
9916062;"Tungasletta, O-snitt";"4";197523;262494;"32.8928782977172";"100"
9916064;"Thorbjørn Bratts veg, O-snitt";"4";355997;378407;"6.29499686795114";"100"
9916065;"Bratsbergveien, O-snitt";"4";169642;205008;"20.847431650181";"100"
9916066;"Tempeveien, O-snitt";"4";92706;105038;"13.3022673829094";"100"
9916067;"Bøckmans veg, B-snitt";"4";142467;157479;"10.5371770304702";"100"
9916068;"Byåsveien, B-snitt";"4";267831;291909;"8.98999742374855";"100"
9916069;"Gamle Oslovei, B-snitt";"4";100260;108803;"8.52084580091761";"100"
9916085;"Fv 704 Torgårdsletta. K-snitt";"4";191469;182929;"-4.46025205124589";"100"
9916086;"Tillerbrua, K-snitt";"4";8352;70364;"742.480842911878";"100"
9916051;"Klett - Rv.707, S-snitt";"5";204013;216746;"6.2412689387441";"100"
9916052;"Klett - E6, S-snitt";"5";679304;639479;"-5.86261820922591";"100"
9916053;"Nedre Leirfoss (Fossestuvegen), M-snitt";"5";69654;69601;"-0.0760903896402265";"100"
9916054;"Bjørndalen (Oslovn.) M-snitt)";"5";284336;284041;"-0.103750492375221";"100"
9916055;"Nord for Sluppen bru (Tempevn), M-snitt";"5";339903;332968;"-2.04028796450753";"100"
9916056;"Kroppan bru, M-snitt";"5";472655;436163;"-7.72064190582983";"100"
9916058;"Være (Gml. E6), N-snitt";"5";288385;293310;"1.70778646600898";"100"
9916059;"Rv 706 Leangensletta, O-snitt";"5";715494;723020;"1.05186067248642";"100"
9916060;"Haakon VII s gt , O-snitt";"5";360445;341502;"-5.25544812662126";"100"
9916061;"Landbruksvegen, O-snitt";"5";142647;138999;"-2.55736187932448";"100"
9916062;"Tungasletta, O-snitt";"5";236374;229669;"-2.83660639495038";"100"
9916064;"Thorbjørn Bratts veg, O-snitt";"5";414945;374232;"-9.81166178650182";"100"
9916065;"Bratsbergveien, O-snitt";"5";200121;201522;"0.70007645374548";"100"
9916066;"Tempeveien, O-snitt";"5";110646;106677;"-3.58711566617862";"100"
9916067;"Bøckmans veg, B-snitt";"5";168093;158912;"-5.46185742416401";"100"
9916068;"Byåsveien, B-snitt";"5";317193;298839;"-5.78638242331956";"100"
9916069;"Gamle Oslovei, B-snitt";"5";122404;117340;"-4.13711970197053";"100"
9916085;"Fv 704 Torgårdsletta. K-snitt";"5";229633;185053;"-19.4135860263986";"100"
9916086;"Tillerbrua, K-snitt";"5";11107;74951;"574.808679211308";"100"
9916051;"Klett - Rv.707, S-snitt";"6";207086;214209;"3.43963377533971";"100"
9916052;"Klett - E6, S-snitt";"6";709173;665880;"-6.1047163386085";"100"
9916053;"Nedre Leirfoss (Fossestuvegen), M-snitt";"6";69314;66313;"-4.32957266930202";"100"
9916054;"Bjørndalen (Oslovn.) M-snitt)";"6";286078;280671;"-1.89004397402107";"100"
9916055;"Nord for Sluppen bru (Tempevn), M-snitt";"6";330880;321618;"-2.79920212765957";"100"
9916056;"Kroppan bru, M-snitt";"6";463063;434937;"-6.07390355092071";"100"
9916058;"Være (Gml. E6), N-snitt";"6";292016;284950;"-2.41973042573009";"100"
9916059;"Rv 706 Leangensletta, O-snitt";"6";706281;744778;"5.45066340450897";"100"
9916060;"Haakon VII s gt , O-snitt";"6";373548;372114;"-0.38388640817244";"100"
9916061;"Landbruksvegen, O-snitt";"6";154297;157005;"1.75505680602992";"100"
9916062;"Tungasletta, O-snitt";"6";231266;228768;"-1.08014148210286";"100"
9916064;"Thorbjørn Bratts veg, O-snitt";"6";398469;368092;"-7.62342867324686";"100"
9916065;"Bratsbergveien, O-snitt";"6";196119;204112;"4.07558676109914";"100"
9916066;"Tempeveien, O-snitt";"6";104367;100781;"-3.43595197715753";"100"
9916067;"Bøckmans veg, B-snitt";"6";157367;155678;"-1.07328728386511";"100"
9916068;"Byåsveien, B-snitt";"6";298549;291399;"-2.39491674733461";"100"
9916069;"Gamle Oslovei, B-snitt";"6";121448;114830;"-5.44924576773599";"100"
9916085;"Fv 704 Torgårdsletta. K-snitt";"6";191253;166040;"-13.1830611807397";"100"
9916086;"Tillerbrua, K-snitt";"6";59319;94582;"59.4463831150222";"100"
9916051;"Klett - Rv.707, S-snitt";"7";175042;179417;"2.49940014396546";"100"
9916052;"Klett - E6, S-snitt";"7";710542;672042;"-5.41839891237956";"100"
9916053;"Nedre Leirfoss (Fossestuvegen), M-snitt";"7";47216;44936;"-4.82887156895967";"100"
9916054;"Bjørndalen (Oslovn.) M-snitt)";"7";227207;221692;"-2.42730197573138";"100"
9916055;"Nord for Sluppen bru (Tempevn), M-snitt";"7";255210;244844;"-4.06175306610242";"100"
