Tellepunkt;Veg;Sted;Meter;HP;År;Felt;L.Klasse;ADT;ÅDTavvik;SDT;SDTavvik;YDT;YDTavvik;HDT;HDTavvik;JDT;JDTavvik
400207;RV3;NORDSTUMOEN N;320;12;2017;R0;20;2620;0;3745;0;2654;0;2546;0;4439;0
1100079;EV39;Mosheim;475;9;2017;R1;20;11414;95;11355;1;12468;104;9094;73;10044;1
1100079;EV39;Mosheim;475;9;2017;R2;20;12025;100;11747;1;13361;111;9082;74;10184;1
1100143;EV39;HESKESTAD V-EIDE;160;2;2017;1;20;2539;48;3439;0;2257;42;3160;62;3935;0
1100143;EV39;HESKESTAD V-EIDE;160;2;2017;2;20;2550;48;3447;0;2699;48;2222;50;3959;0
400208;RV3;SEGLA BRU ;14290;2;2017;R0;20;8538;571;11266;753;8788;582;7988;547;12487;827
1100143;EV39;HESKESTAD V-EIDE;160;2;2017;R1;20;2539;48;3439;0;2257;42;3160;62;3935;0
1100143;EV39;HESKESTAD V-EIDE;160;2;2017;R2;20;2550;48;3447;0;2699;48;2222;50;3959;0
1100170;EV39;Aksdal sør;13205;16;2017;1;20;3245;0;3557;0;3619;0;2421;0;3434;0
1100170;EV39;Aksdal sør;13205;16;2017;2;20;3260;0;3566;0;3482;0;2771;0;3456;0
400212;FV201;RØGDEN Ø;8185;4;2017;R0;20;294;0;382;0;302;0;277;0;441;0
1100170;EV39;Aksdal sør;13205;16;2017;R1;20;3245;0;3557;0;3619;0;2421;0;3434;0
1100170;EV39;Aksdal sør;13205;16;2017;R2;20;3260;0;3566;0;3482;0;2771;0;3456;0
1100195;EV39;FOLKVORD;1384;7;2017;1;20;5486;-999;5465;-999;6416;-999;3437;-999;4382;-999
1100195;EV39;FOLKVORD;1384;7;2017;2;20;8654;-999;8540;-999;9923;-999;5861;-999;7422;-999
1100195;EV39;FOLKVORD;1384;7;2017;3;20;12684;-999;12929;-999;13625;-999;10612;-999;12061;-999
1100195;EV39;FOLKVORD;1384;7;2017;4;20;9970;-999;10161;-999;11213;-999;7234;-999;9269;-999
400213;FV202;BERG Ø;4740;7;2017;R0;20;367;13;439;12;364;12;372;13;472;11
