"point_id";"point_name";"from";"total_volume";"coverage";"easter_day";"period"
"00222V444290";"LYSAKERELVA";"2020-04-03";9868;100;"Fredag";"2020"
"00222V444290";"LYSAKERELVA";"2020-04-04";8855;100;"Lørdag";"2020"
"00222V444290";"LYSAKERELVA";"2020-04-05";6044;100;"Palmesøndag";"2020"
"00222V444290";"LYSAKERELVA";"2020-04-06";10985;100;"Mandag";"2020"
"00222V444290";"LYSAKERELVA";"2020-04-07";11114;100;"Tirsdag";"2020"
"00222V444290";"LYSAKERELVA";"2020-04-08";11110;100;"Onsdag";"2020"
"00222V444290";"LYSAKERELVA";"2020-04-09";8321;100;"Skjærtorsdag";"2020"
"00222V444290";"LYSAKERELVA";"2020-04-10";8161;100;"Langfredag";"2020"
"00222V444290";"LYSAKERELVA";"2020-04-11";8043;100;"Påskeaften";"2020"
"00222V444290";"LYSAKERELVA";"2020-04-12";7683;100;"1. påskedag";"2020"
"00222V444290";"LYSAKERELVA";"2020-04-13";7999;100;"2. påskedag";"2020"
"00492V443603";"OSLO GRENSE";"2020-04-03";8920;100;"Fredag";"2020"
"00492V443603";"OSLO GRENSE";"2020-04-04";7144;100;"Lørdag";"2020"
"00492V443603";"OSLO GRENSE";"2020-04-05";4807;100;"Palmesøndag";"2020"
"00492V443603";"OSLO GRENSE";"2020-04-06";9571;100;"Mandag";"2020"
"00492V443603";"OSLO GRENSE";"2020-04-07";9441;100;"Tirsdag";"2020"
"00492V443603";"OSLO GRENSE";"2020-04-08";10114;100;"Onsdag";"2020"
"00492V443603";"OSLO GRENSE";"2020-04-09";5907;100;"Skjærtorsdag";"2020"
"00492V443603";"OSLO GRENSE";"2020-04-10";6045;100;"Langfredag";"2020"
"00492V443603";"OSLO GRENSE";"2020-04-11";7168;100;"Påskeaften";"2020"
"00492V443603";"OSLO GRENSE";"2020-04-12";5861;100;"1. påskedag";"2020"
"00492V443603";"OSLO GRENSE";"2020-04-13";5964;100;"2. påskedag";"2020"
"01615V443711";"Garmo";"2020-04-03";8885;100;"Fredag";"2020"
"01615V443711";"Garmo";"2020-04-04";6800;100;"Lørdag";"2020"
"01615V443711";"Garmo";"2020-04-05";3598;100;"Palmesøndag";"2020"
"01615V443711";"Garmo";"2020-04-06";9085;100;"Mandag";"2020"
"01615V443711";"Garmo";"2020-04-07";9129;100;"Tirsdag";"2020"
"01615V443711";"Garmo";"2020-04-08";9129;100;"Onsdag";"2020"
"01615V443711";"Garmo";"2020-04-09";4905;100;"Skjærtorsdag";"2020"
"01615V443711";"Garmo";"2020-04-10";5119;100;"Langfredag";"2020"
"01615V443711";"Garmo";"2020-04-11";6558;100;"Påskeaften";"2020"
"01615V443711";"Garmo";"2020-04-12";4507;100;"1. påskedag";"2020"
"01615V443711";"Garmo";"2020-04-13";4224;100;"2. påskedag";"2020"
"02087V625292";"EV 18 V/ MASTEMYR";"2020-04-03";11749;100;"Fredag";"2020"
"02087V625292";"EV 18 V/ MASTEMYR";"2020-04-04";8151;100;"Lørdag";"2020"
"02087V625292";"EV 18 V/ MASTEMYR";"2020-04-05";6258;100;"Palmesøndag";"2020"
"02087V625292";"EV 18 V/ MASTEMYR";"2020-04-06";12687;100;"Mandag";"2020"
"02087V625292";"EV 18 V/ MASTEMYR";"2020-04-07";13944;100;"Tirsdag";"2020"
"02087V625292";"EV 18 V/ MASTEMYR";"2020-04-08";12179;100;"Onsdag";"2020"
"02087V625292";"EV 18 V/ MASTEMYR";"2020-04-09";9682;100;"Skjærtorsdag";"2020"
